pdb,Hchain,Lchain,antigen_chain,antigen,AB,label
8p5m,G,L,I,RBD,A,offhot:인기부위가장자리
8sdf,H,L,Z,RBD,B,offhot:숨은면
8siq,H,L,A,RBD,B,offhot:코어
8sis,H,L,A,RBD,B,offhot:코어와그밖
8sit,H,L,A,RBD,B,offhot:코어
8xsi,H,L,B,RBD,B,offhot:숨은면
9ml8,H,L,A,RBD,B,offhot:숨은면
9ml9,H,L,A,RBD,B,offhot:코어
9sbb,H,L,R,RBD,B,offhot:그밖
9zdu,H,L,A,RBD,B,offhot:코어
