target,model,depth,seed,pose,dockq,recall,overrep,n_contact
9mqr_DE,protenix,d3538,seed0_r0,9mqr_de_sample_0.cif,0.007,0.0,,31
9mqr_DE,protenix,d3538,seed0_r0,9mqr_de_sample_1.cif,0.007,0.0,,36
9mqr_DE,protenix,d3538,seed0_r0,9mqr_de_sample_2.cif,0.007,0.0,,30
9mqr_DE,protenix,d3538,seed0_r0,9mqr_de_sample_3.cif,0.007,0.0,,44
9mqr_DE,protenix,d3538,seed0_r0,9mqr_de_sample_4.cif,0.007,0.0,,32
9mqr_DE,protenix,d3538,seed0_r1,9mqr_de_sample_0.cif,0.007,0.0,,32
9mqr_DE,protenix,d3538,seed0_r1,9mqr_de_sample_1.cif,0.007,0.0,,37
9mqr_DE,protenix,d3538,seed0_r1,9mqr_de_sample_2.cif,0.007,0.0,,39
9mqr_DE,protenix,d3538,seed0_r1,9mqr_de_sample_3.cif,0.007,0.0,,38
9mqr_DE,protenix,d3538,seed0_r1,9mqr_de_sample_4.cif,0.06,0.6786,,28
9mqr_DE,protenix,d3538,seed0_r2,9mqr_de_sample_0.cif,0.007,0.0,,35
9mqr_DE,protenix,d3538,seed0_r2,9mqr_de_sample_1.cif,0.009,0.0,,41
9mqr_DE,protenix,d3538,seed0_r2,9mqr_de_sample_2.cif,0.007,0.0,,38
9mqr_DE,protenix,d3538,seed0_r2,9mqr_de_sample_3.cif,0.006,0.0,,27
9mqr_DE,protenix,d3538,seed0_r2,9mqr_de_sample_4.cif,0.02,0.0638,,47
9mqr_DE,protenix,d3538,seed0_r3,9mqr_de_sample_0.cif,0.008,0.0,,47
9mqr_DE,protenix,d3538,seed0_r3,9mqr_de_sample_1.cif,0.007,0.0,,42
9mqr_DE,protenix,d3538,seed0_r3,9mqr_de_sample_2.cif,0.007,0.0,,34
9mqr_DE,protenix,d3538,seed0_r3,9mqr_de_sample_3.cif,0.006,0.0,,32
9mqr_DE,protenix,d3538,seed0_r3,9mqr_de_sample_4.cif,0.01,0.0,,36
9mqr_DE,protenix,d3538,seed1_r0,9mqr_de_sample_0.cif,0.008,0.0,,46
9mqr_DE,protenix,d3538,seed1_r0,9mqr_de_sample_1.cif,0.008,0.0,,33
9mqr_DE,protenix,d3538,seed1_r0,9mqr_de_sample_2.cif,0.008,0.0,,37
9mqr_DE,protenix,d3538,seed1_r0,9mqr_de_sample_3.cif,0.008,0.0,,42
9mqr_DE,protenix,d3538,seed1_r0,9mqr_de_sample_4.cif,0.008,0.0,,36
9mqr_DE,protenix,d3538,seed1_r1,9mqr_de_sample_0.cif,0.008,0.0,,39
9mqr_DE,protenix,d3538,seed1_r1,9mqr_de_sample_1.cif,0.008,0.0,,36
9mqr_DE,protenix,d3538,seed1_r1,9mqr_de_sample_2.cif,0.007,0.0,,33
9mqr_DE,protenix,d3538,seed1_r1,9mqr_de_sample_3.cif,0.008,0.0,,36
9mqr_DE,protenix,d3538,seed1_r1,9mqr_de_sample_4.cif,0.008,0.0,,31
