target,model,depth,seed,pose,dockq,recall,overrep,n_contact
9azr_HL,protenix,d552,seed0_r0,9azr_hl_sample_0.cif,0.006,0.0357,0.9643,28
9azr_HL,protenix,d552,seed0_r0,9azr_hl_sample_1.cif,0.015,0.0,0.94,50
9azr_HL,protenix,d552,seed0_r0,9azr_hl_sample_2.cif,0.012,0.0196,0.9804,51
9azr_HL,protenix,d552,seed0_r0,9azr_hl_sample_3.cif,0.006,0.0196,0.9804,51
9azr_HL,protenix,d552,seed0_r0,9azr_hl_sample_4.cif,0.016,0.0,0.9474,38
9azr_HL,protenix,d552,seed0_r1,9azr_hl_sample_0.cif,0.006,0.0,0.9286,28
9azr_HL,protenix,d552,seed0_r1,9azr_hl_sample_1.cif,0.018,0.0222,0.9556,45
9azr_HL,protenix,d552,seed0_r1,9azr_hl_sample_2.cif,0.034,0.4694,0.9592,49
9azr_HL,protenix,d552,seed0_r1,9azr_hl_sample_3.cif,0.01,0.0526,0.9474,38
9azr_HL,protenix,d552,seed0_r1,9azr_hl_sample_4.cif,0.01,0.0,0.9512,41
9azr_HL,protenix,d552,seed0_r2,9azr_hl_sample_0.cif,0.015,0.0,0.9474,38
9azr_HL,protenix,d552,seed0_r2,9azr_hl_sample_1.cif,0.014,0.0,0.9333,30
9azr_HL,protenix,d552,seed0_r2,9azr_hl_sample_2.cif,0.013,0.0,0.9524,42
9azr_HL,protenix,d552,seed0_r2,9azr_hl_sample_3.cif,0.015,0.0,0.931,29
9azr_HL,protenix,d552,seed0_r2,9azr_hl_sample_4.cif,0.015,0.0238,1.0,42
9azr_HL,protenix,d552,seed0_r3,9azr_hl_sample_0.cif,0.008,0.0426,0.9787,47
9azr_HL,protenix,d552,seed0_r3,9azr_hl_sample_1.cif,0.041,0.6286,0.9714,35
9azr_HL,protenix,d552,seed0_r3,9azr_hl_sample_2.cif,0.037,0.6774,1.0,31
9azr_HL,protenix,d552,seed0_r3,9azr_hl_sample_3.cif,0.032,0.7667,0.9667,30
9azr_HL,protenix,d552,seed0_r3,9azr_hl_sample_4.cif,0.009,0.0233,1.0,43
9azr_HL,protenix,d552,seed1_r0,9azr_hl_sample_0.cif,0.019,0.0,0.963,27
9azr_HL,protenix,d552,seed1_r0,9azr_hl_sample_1.cif,0.009,0.0,1.0,24
9azr_HL,protenix,d552,seed1_r0,9azr_hl_sample_2.cif,0.038,0.0286,0.9714,35
9azr_HL,protenix,d552,seed1_r0,9azr_hl_sample_3.cif,0.168,0.7419,0.9677,31
9azr_HL,protenix,d552,seed1_r0,9azr_hl_sample_4.cif,0.01,0.0213,1.0,47
9azr_HL,protenix,d552,seed1_r1,9azr_hl_sample_0.cif,0.026,0.0,1.0,22
9azr_HL,protenix,d552,seed1_r1,9azr_hl_sample_1.cif,0.034,0.3036,0.9821,56
9azr_HL,protenix,d552,seed1_r1,9azr_hl_sample_2.cif,0.036,0.0312,0.9688,32
9azr_HL,protenix,d552,seed1_r1,9azr_hl_sample_3.cif,0.105,0.6176,1.0,34
9azr_HL,protenix,d552,seed1_r1,9azr_hl_sample_4.cif,0.195,0.7037,1.0,27
9azr_HL,protenix,d552,seed1_r2,9azr_hl_sample_0.cif,0.032,0.0263,0.9737,38
9azr_HL,protenix,d552,seed1_r2,9azr_hl_sample_1.cif,0.081,0.1111,1.0,27
9azr_HL,protenix,d552,seed1_r2,9azr_hl_sample_2.cif,0.061,0.2857,1.0,21
9azr_HL,protenix,d552,seed1_r2,9azr_hl_sample_3.cif,0.108,0.5676,0.973,37
9azr_HL,protenix,d552,seed1_r2,9azr_hl_sample_4.cif,0.013,0.0,1.0,22
9azr_HL,protenix,d552,seed1_r3,9azr_hl_sample_0.cif,0.068,0.5714,0.9714,35
9azr_HL,protenix,d552,seed1_r3,9azr_hl_sample_1.cif,0.096,0.5455,0.9697,33
9azr_HL,protenix,d552,seed1_r3,9azr_hl_sample_2.cif,0.043,0.25,1.0,24
9azr_HL,protenix,d552,seed1_r3,9azr_hl_sample_3.cif,0.123,0.6129,1.0,31
9azr_HL,protenix,d552,seed1_r3,9azr_hl_sample_4.cif,0.082,0.7241,0.9655,29
9azr_HL,protenix,d552,seed2_r0,9azr_hl_sample_0.cif,0.083,0.6061,0.9697,33
9azr_HL,protenix,d552,seed2_r0,9azr_hl_sample_1.cif,0.087,0.6774,0.9677,31
9azr_HL,protenix,d552,seed2_r0,9azr_hl_sample_2.cif,0.051,0.5938,1.0,32
9azr_HL,protenix,d552,seed2_r0,9azr_hl_sample_3.cif,0.123,0.7241,0.9655,29
9azr_HL,protenix,d552,seed2_r0,9azr_hl_sample_4.cif,0.018,0.0294,0.9706,34
9azr_HL,protenix,d552,seed2_r1,9azr_hl_sample_0.cif,0.011,0.0,1.0,28
9azr_HL,protenix,d552,seed2_r1,9azr_hl_sample_1.cif,0.027,0.1636,0.9818,55
9azr_HL,protenix,d552,seed2_r1,9azr_hl_sample_2.cif,0.019,0.3396,0.9811,53
9azr_HL,protenix,d552,seed2_r1,9azr_hl_sample_3.cif,0.024,0.2391,0.9783,46
9azr_HL,protenix,d552,seed2_r1,9azr_hl_sample_4.cif,0.068,0.6667,0.963,27
9azr_HL,protenix,d552,seed2_r2,9azr_hl_sample_0.cif,0.081,0.3469,0.9592,49
