target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8sis_HL,protenix,d4169,seed0_r0,8sis_hl_sample_0.cif,0.018,0.3889,0.5185,54
8sis_HL,protenix,d4169,seed0_r0,8sis_hl_sample_1.cif,0.043,0.22,0.78,50
8sis_HL,protenix,d4169,seed0_r0,8sis_hl_sample_2.cif,0.015,0.3538,0.4154,65
8sis_HL,protenix,d4169,seed0_r0,8sis_hl_sample_3.cif,0.012,0.3043,0.5797,69
8sis_HL,protenix,d4169,seed0_r0,8sis_hl_sample_4.cif,0.006,0.3,0.725,40
8sis_HL,protenix,d4169,seed0_r1,8sis_hl_sample_0.cif,0.016,0.1026,0.9231,39
8sis_HL,protenix,d4169,seed0_r1,8sis_hl_sample_1.cif,0.011,0.2542,0.4915,59
8sis_HL,protenix,d4169,seed0_r1,8sis_hl_sample_2.cif,0.032,0.0492,0.6885,61
8sis_HL,protenix,d4169,seed0_r1,8sis_hl_sample_3.cif,0.008,0.3014,0.4658,73
8sis_HL,protenix,d4169,seed0_r1,8sis_hl_sample_4.cif,0.011,0.2826,0.6522,46
8sis_HL,protenix,d4169,seed0_r2,8sis_hl_sample_0.cif,0.009,0.3056,0.5278,72
8sis_HL,protenix,d4169,seed0_r2,8sis_hl_sample_1.cif,0.019,0.3492,0.5079,63
8sis_HL,protenix,d4169,seed0_r2,8sis_hl_sample_2.cif,0.029,0.2679,0.5893,56
8sis_HL,protenix,d4169,seed0_r2,8sis_hl_sample_3.cif,0.016,0.2245,0.7959,49
8sis_HL,protenix,d4169,seed0_r2,8sis_hl_sample_4.cif,0.006,0.1,0.8667,30
8sis_HL,protenix,d4169,seed0_r3,8sis_hl_sample_0.cif,0.016,0.04,0.76,25
8sis_HL,protenix,d4169,seed0_r3,8sis_hl_sample_1.cif,0.013,0.3684,0.0,38
8sis_HL,protenix,d4169,seed0_r3,8sis_hl_sample_2.cif,0.018,0.2346,0.4938,81
8sis_HL,protenix,d4169,seed0_r3,8sis_hl_sample_3.cif,0.033,0.303,0.1212,66
8sis_HL,protenix,d4169,seed0_r3,8sis_hl_sample_4.cif,0.011,0.0,0.7308,52
8sis_HL,protenix,d4169,seed1_r0,8sis_hl_sample_0.cif,0.021,0.3103,0.5,58
8sis_HL,protenix,d4169,seed1_r0,8sis_hl_sample_1.cif,0.01,0.3077,0.2154,65
8sis_HL,protenix,d4169,seed1_r0,8sis_hl_sample_2.cif,0.019,0.3455,0.5273,55
8sis_HL,protenix,d4169,seed1_r0,8sis_hl_sample_3.cif,0.021,0.2745,0.7059,51
8sis_HL,protenix,d4169,seed1_r0,8sis_hl_sample_4.cif,0.007,0.24,0.02,50
8sis_HL,protenix,d4169,seed1_r1,8sis_hl_sample_0.cif,0.018,0.24,0.74,50
8sis_HL,protenix,d4169,seed1_r1,8sis_hl_sample_1.cif,0.008,0.2424,0.1364,66
8sis_HL,protenix,d4169,seed1_r1,8sis_hl_sample_2.cif,0.009,0.1951,0.4512,82
8sis_HL,protenix,d4169,seed1_r1,8sis_hl_sample_3.cif,0.023,0.1765,0.5735,68
8sis_HL,protenix,d4169,seed1_r1,8sis_hl_sample_4.cif,0.012,0.4655,0.3966,58
8sis_HL,protenix,d4169,seed1_r2,8sis_hl_sample_0.cif,0.014,0.3731,0.3284,67
8sis_HL,protenix,d4169,seed1_r2,8sis_hl_sample_1.cif,0.027,0.5111,0.3778,45
8sis_HL,protenix,d4169,seed1_r2,8sis_hl_sample_2.cif,0.018,0.1915,0.7234,47
8sis_HL,protenix,d4169,seed1_r2,8sis_hl_sample_3.cif,0.011,0.202,0.4747,99
8sis_HL,protenix,d4169,seed1_r2,8sis_hl_sample_4.cif,0.008,0.2529,0.5057,87
8sis_HL,protenix,d4169,seed1_r3,8sis_hl_sample_0.cif,0.01,0.3393,0.3929,56
8sis_HL,protenix,d4169,seed1_r3,8sis_hl_sample_1.cif,0.023,0.3774,0.4717,53
8sis_HL,protenix,d4169,seed1_r3,8sis_hl_sample_2.cif,0.019,0.1818,0.7455,55
8sis_HL,protenix,d4169,seed1_r3,8sis_hl_sample_3.cif,0.008,0.2097,0.1129,62
8sis_HL,protenix,d4169,seed1_r3,8sis_hl_sample_4.cif,0.016,0.0,0.9583,24
