target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8k5h_HL,protenix,d15,seed0_r0,8k5h_hl_sample_0.cif,0.044,0.2553,0.8298,47
8k5h_HL,protenix,d15,seed0_r0,8k5h_hl_sample_1.cif,0.057,0.283,0.8302,53
8k5h_HL,protenix,d15,seed0_r0,8k5h_hl_sample_2.cif,0.009,0.027,0.3784,37
8k5h_HL,protenix,d15,seed0_r0,8k5h_hl_sample_3.cif,0.012,0.1951,0.8049,41
8k5h_HL,protenix,d15,seed0_r0,8k5h_hl_sample_4.cif,0.024,0.1622,0.8108,37
8k5h_HL,protenix,d15,seed0_r1,8k5h_hl_sample_0.cif,0.13,0.3333,0.8788,33
8k5h_HL,protenix,d15,seed0_r1,8k5h_hl_sample_1.cif,0.15,0.3421,0.8947,38
8k5h_HL,protenix,d15,seed0_r1,8k5h_hl_sample_2.cif,0.095,0.3182,0.9318,44
8k5h_HL,protenix,d15,seed0_r1,8k5h_hl_sample_3.cif,0.075,0.3448,0.9655,29
8k5h_HL,protenix,d15,seed0_r1,8k5h_hl_sample_4.cif,0.017,0.3939,0.8485,33
8k5h_HL,protenix,d15,seed0_r2,8k5h_hl_sample_0.cif,0.078,0.28,0.96,25
8k5h_HL,protenix,d15,seed0_r2,8k5h_hl_sample_1.cif,0.059,0.3333,1.0,30
8k5h_HL,protenix,d15,seed0_r2,8k5h_hl_sample_2.cif,0.076,0.3548,1.0,31
8k5h_HL,protenix,d15,seed0_r2,8k5h_hl_sample_3.cif,0.098,0.3548,0.9677,31
8k5h_HL,protenix,d15,seed0_r2,8k5h_hl_sample_4.cif,0.074,0.3704,1.0,27
8k5h_HL,protenix,d15,seed0_r3,8k5h_hl_sample_0.cif,0.042,0.2667,0.8667,45
8k5h_HL,protenix,d15,seed0_r3,8k5h_hl_sample_1.cif,0.103,0.2917,0.8958,48
8k5h_HL,protenix,d15,seed0_r3,8k5h_hl_sample_2.cif,0.019,0.2553,0.8511,47
8k5h_HL,protenix,d15,seed0_r3,8k5h_hl_sample_3.cif,0.076,0.3438,0.9062,32
8k5h_HL,protenix,d15,seed0_r3,8k5h_hl_sample_4.cif,0.013,0.2973,0.8108,37
8k5h_HL,protenix,d15,seed1_r0,8k5h_hl_sample_0.cif,0.04,0.2581,0.7097,31
8k5h_HL,protenix,d15,seed1_r0,8k5h_hl_sample_1.cif,0.039,0.2667,1.0,30
8k5h_HL,protenix,d15,seed1_r0,8k5h_hl_sample_2.cif,0.029,0.2258,0.871,31
8k5h_HL,protenix,d15,seed1_r0,8k5h_hl_sample_3.cif,0.021,0.1071,0.9286,28
8k5h_HL,protenix,d15,seed1_r0,8k5h_hl_sample_4.cif,0.017,0.4667,0.7667,30
8k5h_HL,protenix,d15,seed1_r1,8k5h_hl_sample_0.cif,0.113,0.325,0.875,40
8k5h_HL,protenix,d15,seed1_r1,8k5h_hl_sample_1.cif,0.014,0.2308,0.6923,39
8k5h_HL,protenix,d15,seed1_r1,8k5h_hl_sample_2.cif,0.028,0.225,0.775,40
8k5h_HL,protenix,d15,seed1_r1,8k5h_hl_sample_3.cif,0.029,0.2444,0.7778,45
8k5h_HL,protenix,d15,seed1_r1,8k5h_hl_sample_4.cif,0.009,0.3611,0.7778,36
8k5h_HL,protenix,d15,seed1_r2,8k5h_hl_sample_0.cif,0.019,0.22,0.76,50
8k5h_HL,protenix,d15,seed1_r2,8k5h_hl_sample_1.cif,0.025,0.2258,0.871,31
8k5h_HL,protenix,d15,seed1_r2,8k5h_hl_sample_2.cif,0.011,0.1957,0.6522,46
8k5h_HL,protenix,d15,seed1_r2,8k5h_hl_sample_3.cif,0.012,0.0882,0.7941,34
8k5h_HL,protenix,d15,seed1_r2,8k5h_hl_sample_4.cif,0.034,0.4242,0.7273,33
8k5h_HL,protenix,d15,seed1_r3,8k5h_hl_sample_0.cif,0.026,0.2449,0.7347,49
8k5h_HL,protenix,d15,seed1_r3,8k5h_hl_sample_1.cif,0.033,0.25,0.9062,32
8k5h_HL,protenix,d15,seed1_r3,8k5h_hl_sample_2.cif,0.012,0.25,0.8,40
8k5h_HL,protenix,d15,seed1_r3,8k5h_hl_sample_3.cif,0.022,0.4615,0.8462,26
8k5h_HL,protenix,d15,seed1_r3,8k5h_hl_sample_4.cif,0.027,0.1837,0.5714,49
8k5h_HL,protenix,d15,seed2_r0,8k5h_hl_sample_0.cif,0.063,0.2619,0.9048,42
