pdb,antigen,Hchain,Lchain,antigen_chain,nb,date,res,antigen_name
6W41,RBD,H,L,C,False,2020/03/09,3.084,Spike protein S1
6YLA,RBD,H,L,AD|AE|E|F|K,False,2020/04/06,2.42,DIMETHYL SULFOXIDE|Spike glycoprotein|MALONATE ION
6YLA,RBD,B,C,A|AA|AH|P|Q|Y,False,2020/04/06,2.42,Spike glycoprotein|MALONATE ION|DIMETHYL SULFOXIDE
7BWJ,RBD,H,L,E,False,2020/04/14,2.85,Spike protein S1
6YOR,RBD,B,C,A,False,2020/04/15,3.3,Spike glycoprotein
6YOR,RBD,H,L,E,False,2020/04/15,3.3,Spike glycoprotein
7BZ5,RBD,H,L,A,False,2020/04/26,1.84,Spike protein S1
6WPS,RBD,H,L,A|N,False,2020/04/27,3.1,spike glycoprotein|alpha-D-mannopyranose-(1-3)-[alpha-D-mannopyranose-(1-6)]beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose
6WPS,RBD,F,G,E|X,False,2020/04/27,3.1,spike glycoprotein|alpha-D-mannopyranose-(1-3)-[alpha-D-mannopyranose-(1-6)]beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose
6WPS,RBD,C,D,B|S,False,2020/04/27,3.1,spike glycoprotein|alpha-D-mannopyranose-(1-3)-[alpha-D-mannopyranose-(1-6)]beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-[alpha-L-fucopyranose-(1-6)]2-acetamido-2-deoxy-beta-D-glucopyranose
7C01,RBD,H,L,A,False,2020/04/29,2.88,Spike protein S1
7C01,RBD,C,D,B,False,2020/04/29,2.88,Spike protein S1
6YZ5,RBD,F,nan,E|H|Q|S,True,2020/05/06,1.8,"Spike glycoprotein|1,2-ETHANEDIOL|ACETATE ION"
6YZ7,RBD,HHH,LLL,EEE,False,2020/05/06,3.3,Spike glycoprotein
6YZ7,RBD,FFF,nan,EEE,True,2020/05/06,3.3,Spike glycoprotein
6YZ7,RBD,DDD,nan,AAA,True,2020/05/06,3.3,Spike glycoprotein
6YZ7,RBD,BBB,CCC,AAA,False,2020/05/06,3.3,Spike glycoprotein
7C2L,RBD,H,L,A,False,2020/05/08,3.1,Spike glycoprotein
7C2L,RBD,J,N,C,False,2020/05/08,3.1,Spike glycoprotein
7C2L,RBD,I,M,B,False,2020/05/08,3.1,Spike glycoprotein
6Z2M,RBD,D,nan,A,True,2020/05/17,2.71,Spike glycoprotein
6Z2M,RBD,F,nan,E,True,2020/05/17,2.71,Spike glycoprotein
6Z2M,RBD,H,L,E,False,2020/05/17,2.71,Spike glycoprotein
6Z2M,RBD,B,C,A,False,2020/05/17,2.71,Spike glycoprotein
6Z43,RBD,X,nan,A,True,2020/05/22,3.3,Spike glycoprotein
6Z43,RBD,Z,nan,C,True,2020/05/22,3.3,Spike glycoprotein
6Z43,RBD,Y,nan,A|B,True,2020/05/22,3.3,Spike glycoprotein
7C8W,RBD,A,nan,B,True,2020/06/03,2.77,Spike protein S1
7C8V,RBD,A,nan,B|C|D,True,2020/06/03,2.15,Spike protein S1|GLYCEROL
6ZBP,RBD,FFF,nan,B|EEE,True,2020/06/08,1.85,SULFATE ION|Spike glycoprotein
6XC2,RBD,H,L,A,False,2020/06/08,3.112,Spike protein S1
6XC2,RBD,X,Y,Z,False,2020/06/08,3.112,Spike protein S1
6XCM,RBD,H,L,C,False,2020/06/08,3.42,Spike glycoprotein
6XCM,RBD,N,S,B,False,2020/06/08,3.42,Spike glycoprotein
6XC3,RBD,H,L,C,False,2020/06/08,2.698,Spike protein S1
6XC4,RBD,H,L,A,False,2020/06/08,2.341,Spike protein S1
6XC4,RBD,X,Y,Z,False,2020/06/08,2.341,Spike protein S1
6XC7,RBD,C,D,A,False,2020/06/08,2.883,Spike protein S1
6XC7,RBD,H,L,A,False,2020/06/08,2.883,Spike protein S1
7CAI,RBD,E,D,A,False,2020/06/08,3.49,Spike glycoprotein
7CAI,RBD,G,F,B|C,False,2020/06/08,3.49,Spike glycoprotein
6XC3,RBD,B,A,C,False,2020/06/08,2.698,Spike protein S1
7CAN,RBD,A,nan,B,True,2020/06/09,2.94,Spike protein S1
6XE1,RBD,H,L,E,False,2020/06/11,2.75,Spike protein S1
6ZCZ,RBD,F,nan,E,True,2020/06/12,2.65,Spike protein S1
6ZCZ,RBD,H,L,D|E|G,False,2020/06/12,2.65,CHLORIDE ION|Spike protein S1
6XEY,RBD,F,G,B|P|S,False,2020/06/14,3.25,Spike glycoprotein|beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose|2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose
6XEY,RBD,H,L,A|O|T,False,2020/06/14,3.25,Spike glycoprotein|beta-D-mannopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose|2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose
6XEY,RBD,J,K,C|U,False,2020/06/14,3.25,Spike glycoprotein|2-acetamido-2-deoxy-beta-D-glucopyranose-(1-4)-2-acetamido-2-deoxy-beta-D-glucopyranose
7CDJ,RBD,H,L,E,False,2020/06/19,3.396,Spike protein S1
7CDI,RBD,H,L,E,False,2020/06/19,2.96,Spike protein S1
6ZH9,RBD,FFF,nan,EEE,True,2020/06/21,3.31,Spike glycoprotein
6ZH9,RBD,HHH,LLL,EEE,False,2020/06/21,3.31,Spike glycoprotein
6XKP,RBD,H,L,A|E|G|K|O,False,2020/06/26,2.72,Spike protein S1|SULFATE ION
6XKQ,RBD,H,L,A|C,False,2020/06/26,2.55,Spike protein S1|2-acetamido-2-deoxy-beta-D-glucopyranose
6XKP,RBD,M,N,B|I|J,False,2020/06/26,2.72,Spike protein S1|SULFATE ION
6ZLR,RBD,FFF,GGG,DDD,False,2020/07/01,3.1,Spike glycoprotein
6ZLR,RBD,BBB,CCC,AAA,False,2020/07/01,3.1,Spike glycoprotein
6ZLR,RBD,HHH,LLL,EEE,False,2020/07/01,3.1,Spike glycoprotein
7CHE,RBD,H,L,R,False,2020/07/05,3.416,Spike protein S1
7CH5,RBD,H,L,R,False,2020/07/05,2.7,Spike protein S1
7CHB,RBD,H,L,R,False,2020/07/05,2.4,Spike protein S1
7CHC,RBD,A,B,R,False,2020/07/05,2.71,Spike protein S1
7CHC,RBD,H,L,A|R,False,2020/07/05,2.71,BD-368-2 Fab H|Spike protein S1
7CHE,RBD,A,B,R,False,2020/07/05,3.416,Spike protein S1
7CH4,RBD,H,L,R,False,2020/07/05,3.15,Spike protein S1
7CHF,RBD,A,B,R,False,2020/07/05,2.674,Spike protein S1
7CHH,RBD,D,E,A,False,2020/07/05,3.49,Spike glycoprotein
7CHH,RBD,G,H,B,False,2020/07/05,3.49,Spike glycoprotein
7CHF,RBD,H,L,R,False,2020/07/05,2.674,Spike protein S1
7CHH,RBD,J,K,C|W,False,2020/07/05,3.49,Spike glycoprotein|2-acetamido-2-deoxy-beta-D-glucopyranose
7CHO,RBD,B,C,A,False,2020/07/06,2.561,Spike protein S1
7CHO,RBD,H,L,E,False,2020/07/06,2.561,Spike protein S1
7CHP,RBD,H,L,E,False,2020/07/06,2.357,Spike protein S1
7CHS,RBD,H,L,E,False,2020/07/06,2.401,Spike protein S1
7CJF,RBD,A,B,C,False,2020/07/10,2.108,Spike protein S1
7CM4,RBD,H,L,A|C|E,False,2020/07/24,2.71,"Spike glycoprotein|NICKEL (II) ION|1,2-ETHANEDIOL"
6ZXN,RBD,F,nan,C,True,2020/07/30,2.93,Spike glycoprotein
6ZXN,RBD,E,nan,B,True,2020/07/30,2.93,Spike glycoprotein
6ZXN,RBD,D,nan,A,True,2020/07/30,2.93,Spike glycoprotein
7JMO,RBD,H,L,A,False,2020/08/02,2.359,Spike protein S1
7JMP,RBD,H,L,A,False,2020/08/02,1.712,Spike protein S1
7JMW,RBD,H,L,A,False,2020/08/03,2.89,Spike protein S1
7A25,RBD,E,nan,B,True,2020/08/16,3.06,Spike glycoprotein
7A25,RBD,D,nan,A,True,2020/08/16,3.06,Spike glycoprotein
7A25,RBD,F,nan,C|W,True,2020/08/16,3.06,Spike glycoprotein|2-acetamido-2-deoxy-beta-D-glucopyranose
7A29,RBD,D,nan,A,True,2020/08/16,2.94,Spike glycoprotein
7A29,RBD,E,nan,B,True,2020/08/16,2.94,Spike glycoprotein
7A29,RBD,F,nan,C,True,2020/08/16,2.94,Spike glycoprotein
7JV4,RBD,D,E,B,False,2020/08/20,3.4,Spike glycoprotein
7JV4,RBD,F,G,C,False,2020/08/20,3.4,Spike glycoprotein
