target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8xsi_HL,protenix,d8894,seed0_r0,8xsi_hl_sample_0.cif,0.006,0.0,0.8519,27
8xsi_HL,protenix,d8894,seed0_r0,8xsi_hl_sample_1.cif,0.024,0.0,0.8125,32
8xsi_HL,protenix,d8894,seed0_r0,8xsi_hl_sample_2.cif,0.033,0.0,0.7368,38
8xsi_HL,protenix,d8894,seed0_r0,8xsi_hl_sample_3.cif,0.027,0.0,0.7576,33
8xsi_HL,protenix,d8894,seed0_r0,8xsi_hl_sample_4.cif,0.028,0.0,0.8095,21
8xsi_HL,protenix,d8894,seed0_r1,8xsi_hl_sample_0.cif,0.007,0.0,0.7097,31
8xsi_HL,protenix,d8894,seed0_r1,8xsi_hl_sample_1.cif,0.033,0.0,0.7778,36
8xsi_HL,protenix,d8894,seed0_r1,8xsi_hl_sample_2.cif,0.021,0.1818,0.0,33
8xsi_HL,protenix,d8894,seed0_r1,8xsi_hl_sample_3.cif,0.035,0.0,0.7941,34
8xsi_HL,protenix,d8894,seed0_r1,8xsi_hl_sample_4.cif,0.028,0.0,0.8214,28
8xsi_HL,protenix,d8894,seed0_r2,8xsi_hl_sample_0.cif,0.032,0.0,0.8611,36
8xsi_HL,protenix,d8894,seed0_r2,8xsi_hl_sample_1.cif,0.03,0.0,0.8286,35
8xsi_HL,protenix,d8894,seed0_r2,8xsi_hl_sample_2.cif,0.031,0.0,0.8333,36
8xsi_HL,protenix,d8894,seed0_r2,8xsi_hl_sample_3.cif,0.031,0.0,0.9118,34
8xsi_HL,protenix,d8894,seed0_r2,8xsi_hl_sample_4.cif,0.006,0.0,0.7241,29
8xsi_HL,protenix,d8894,seed0_r3,8xsi_hl_sample_0.cif,0.021,0.1471,0.0,34
8xsi_HL,protenix,d8894,seed0_r3,8xsi_hl_sample_1.cif,0.021,0.1111,0.0,27
8xsi_HL,protenix,d8894,seed0_r3,8xsi_hl_sample_2.cif,0.039,0.0,0.3235,34
8xsi_HL,protenix,d8894,seed0_r3,8xsi_hl_sample_3.cif,0.035,0.0,0.7879,33
8xsi_HL,protenix,d8894,seed0_r3,8xsi_hl_sample_4.cif,0.031,0.0,0.8378,37
8xsi_HL,protenix,d8894,seed1_r0,8xsi_hl_sample_0.cif,0.013,0.1053,0.4035,57
8xsi_HL,protenix,d8894,seed1_r0,8xsi_hl_sample_1.cif,0.021,0.1622,0.3243,37
8xsi_HL,protenix,d8894,seed1_r0,8xsi_hl_sample_2.cif,0.018,0.0,0.6792,53
8xsi_HL,protenix,d8894,seed1_r0,8xsi_hl_sample_3.cif,0.023,0.0,0.7045,44
8xsi_HL,protenix,d8894,seed1_r0,8xsi_hl_sample_4.cif,0.029,0.0,0.8571,28
8xsi_HL,protenix,d8894,seed1_r1,8xsi_hl_sample_0.cif,0.01,0.0,0.5208,48
8xsi_HL,protenix,d8894,seed1_r1,8xsi_hl_sample_1.cif,0.008,0.0,0.5263,38
8xsi_HL,protenix,d8894,seed1_r1,8xsi_hl_sample_2.cif,0.028,0.0,0.9394,33
8xsi_HL,protenix,d8894,seed1_r1,8xsi_hl_sample_3.cif,0.029,0.0,0.84,25
8xsi_HL,protenix,d8894,seed1_r1,8xsi_hl_sample_4.cif,0.011,0.0,0.2353,34
8xsi_HL,protenix,d8894,seed1_r2,8xsi_hl_sample_0.cif,0.016,0.0,0.8571,35
8xsi_HL,protenix,d8894,seed1_r2,8xsi_hl_sample_1.cif,0.02,0.1778,0.4,45
8xsi_HL,protenix,d8894,seed1_r2,8xsi_hl_sample_2.cif,0.027,0.0,0.8889,36
8xsi_HL,protenix,d8894,seed1_r2,8xsi_hl_sample_3.cif,0.018,0.0,0.6923,39
8xsi_HL,protenix,d8894,seed1_r2,8xsi_hl_sample_4.cif,0.01,0.0,0.925,40
8xsi_HL,protenix,d8894,seed1_r3,8xsi_hl_sample_0.cif,0.011,0.0152,0.5152,66
8xsi_HL,protenix,d8894,seed1_r3,8xsi_hl_sample_1.cif,0.01,0.0,0.6047,43
8xsi_HL,protenix,d8894,seed1_r3,8xsi_hl_sample_2.cif,0.016,0.0,0.9118,34
8xsi_HL,protenix,d8894,seed1_r3,8xsi_hl_sample_3.cif,0.028,0.0,0.8974,39
8xsi_HL,protenix,d8894,seed1_r3,8xsi_hl_sample_4.cif,0.01,0.0,0.2703,37
8xsi_HL,protenix,d8894,seed2_r0,8xsi_hl_sample_0.cif,0.012,0.0,0.9412,34
8xsi_HL,protenix,d8894,seed2_r0,8xsi_hl_sample_1.cif,0.013,0.0,0.8718,39
8xsi_HL,protenix,d8894,seed2_r0,8xsi_hl_sample_2.cif,0.012,0.0,0.8857,35
8xsi_HL,protenix,d8894,seed2_r0,8xsi_hl_sample_3.cif,0.012,0.0,0.9375,32
8xsi_HL,protenix,d8894,seed2_r0,8xsi_hl_sample_4.cif,0.016,0.3939,0.697,33
8xsi_HL,protenix,d8894,seed2_r1,8xsi_hl_sample_0.cif,0.012,0.0,0.8824,34
8xsi_HL,protenix,d8894,seed2_r1,8xsi_hl_sample_1.cif,0.012,0.0,0.9189,37
8xsi_HL,protenix,d8894,seed2_r1,8xsi_hl_sample_2.cif,0.012,0.0,0.8824,34
8xsi_HL,protenix,d8894,seed2_r1,8xsi_hl_sample_3.cif,0.012,0.0,0.9032,31
8xsi_HL,protenix,d8894,seed2_r1,8xsi_hl_sample_4.cif,0.019,0.04,0.0,25
8xsi_HL,protenix,d8894,seed2_r2,8xsi_hl_sample_0.cif,0.012,0.0,0.8824,34
8xsi_HL,protenix,d8894,seed2_r2,8xsi_hl_sample_1.cif,0.012,0.0,0.8649,37
8xsi_HL,protenix,d8894,seed2_r2,8xsi_hl_sample_2.cif,0.012,0.0,0.9355,31
8xsi_HL,protenix,d8894,seed2_r2,8xsi_hl_sample_3.cif,0.012,0.0,0.8649,37
8xsi_HL,protenix,d8894,seed2_r2,8xsi_hl_sample_4.cif,0.013,0.0,0.8718,39
8xsi_HL,protenix,d8894,seed2_r3,8xsi_hl_sample_0.cif,0.011,0.0,0.8966,29
8xsi_HL,protenix,d8894,seed2_r3,8xsi_hl_sample_1.cif,0.037,0.0,0.8333,36
8xsi_HL,protenix,d8894,seed2_r3,8xsi_hl_sample_2.cif,0.031,0.0,0.8333,36
8xsi_HL,protenix,d8894,seed2_r3,8xsi_hl_sample_3.cif,0.029,0.0,0.9118,34
8xsi_HL,protenix,d8894,seed2_r3,8xsi_hl_sample_4.cif,0.006,0.0,0.8333,24
8xsi_HL,protenix,d8894,seed3_r0,8xsi_hl_sample_0.cif,0.032,0.0,0.7143,35
8xsi_HL,protenix,d8894,seed3_r0,8xsi_hl_sample_1.cif,0.037,0.0,0.8929,28
8xsi_HL,protenix,d8894,seed3_r0,8xsi_hl_sample_2.cif,0.033,0.0,0.7812,32
8xsi_HL,protenix,d8894,seed3_r0,8xsi_hl_sample_3.cif,0.024,0.0,0.88,25
8xsi_HL,protenix,d8894,seed3_r0,8xsi_hl_sample_4.cif,0.036,0.0,0.7188,32
8xsi_HL,protenix,d8894,seed3_r1,8xsi_hl_sample_0.cif,0.028,0.0,0.2895,38
8xsi_HL,protenix,d8894,seed3_r1,8xsi_hl_sample_1.cif,0.014,0.0,0.8276,29
8xsi_HL,protenix,d8894,seed3_r1,8xsi_hl_sample_2.cif,0.027,0.0,0.2162,37
8xsi_HL,protenix,d8894,seed3_r1,8xsi_hl_sample_3.cif,0.024,0.0,0.175,40
8xsi_HL,protenix,d8894,seed3_r1,8xsi_hl_sample_4.cif,0.015,0.0,0.0,19
8xsi_HL,protenix,d8894,seed3_r2,8xsi_hl_sample_0.cif,0.011,0.0,0.9211,38
8xsi_HL,protenix,d8894,seed3_r2,8xsi_hl_sample_1.cif,0.013,0.0,0.913,46
8xsi_HL,protenix,d8894,seed3_r2,8xsi_hl_sample_2.cif,0.013,0.0,0.9231,39
8xsi_HL,protenix,d8894,seed3_r2,8xsi_hl_sample_3.cif,0.029,0.0,0.9333,30
8xsi_HL,protenix,d8894,seed3_r2,8xsi_hl_sample_4.cif,0.034,0.0,0.8125,32
8xsi_HL,protenix,d8894,seed3_r3,8xsi_hl_sample_0.cif,0.011,0.0,0.9737,38
8xsi_HL,protenix,d8894,seed3_r3,8xsi_hl_sample_1.cif,0.012,0.0,0.9394,33
8xsi_HL,protenix,d8894,seed3_r3,8xsi_hl_sample_2.cif,0.013,0.0,0.9333,30
8xsi_HL,protenix,d8894,seed3_r3,8xsi_hl_sample_3.cif,0.012,0.0,0.9375,32
8xsi_HL,protenix,d8894,seed3_r3,8xsi_hl_sample_4.cif,0.013,0.0,0.9375,32
8xsi_HL,protenix,d8894,seed4_r0,8xsi_hl_sample_0.cif,0.029,0.0,0.7429,35
8xsi_HL,protenix,d8894,seed4_r0,8xsi_hl_sample_1.cif,0.022,0.0,0.9286,28
8xsi_HL,protenix,d8894,seed4_r0,8xsi_hl_sample_2.cif,0.022,0.0,0.8158,38
8xsi_HL,protenix,d8894,seed4_r0,8xsi_hl_sample_3.cif,0.028,0.0,0.7353,34
8xsi_HL,protenix,d8894,seed4_r0,8xsi_hl_sample_4.cif,0.016,0.0435,0.0,23
8xsi_HL,protenix,d8894,seed4_r1,8xsi_hl_sample_0.cif,0.032,0.0,0.6774,31
8xsi_HL,protenix,d8894,seed4_r1,8xsi_hl_sample_1.cif,0.035,0.0,0.6429,28
8xsi_HL,protenix,d8894,seed4_r1,8xsi_hl_sample_2.cif,0.034,0.0,0.7647,34
8xsi_HL,protenix,d8894,seed4_r1,8xsi_hl_sample_3.cif,0.036,0.0,0.7812,32
8xsi_HL,protenix,d8894,seed4_r1,8xsi_hl_sample_4.cif,0.017,0.0455,0.0,22
8xsi_HL,protenix,d8894,seed4_r2,8xsi_hl_sample_0.cif,0.036,0.0,0.7742,31
8xsi_HL,protenix,d8894,seed4_r2,8xsi_hl_sample_1.cif,0.013,0.0,0.9268,41
8xsi_HL,protenix,d8894,seed4_r2,8xsi_hl_sample_2.cif,0.031,0.0,0.6452,31
8xsi_HL,protenix,d8894,seed4_r2,8xsi_hl_sample_3.cif,0.011,0.0,0.9355,31
8xsi_HL,protenix,d8894,seed4_r2,8xsi_hl_sample_4.cif,0.036,0.0,0.7273,33
8xsi_HL,protenix,d8894,seed4_r3,8xsi_hl_sample_0.cif,0.012,0.0,0.907,43
8xsi_HL,protenix,d8894,seed4_r3,8xsi_hl_sample_1.cif,0.01,0.0,0.9167,36
8xsi_HL,protenix,d8894,seed4_r3,8xsi_hl_sample_2.cif,0.012,0.0,0.8,35
8xsi_HL,protenix,d8894,seed4_r3,8xsi_hl_sample_3.cif,0.011,0.0,0.9677,31
8xsi_HL,protenix,d8894,seed4_r3,8xsi_hl_sample_4.cif,0.027,0.0,0.9355,31
