target,class,stage,n_tsv,n_scored,coverage,best_dockq,best_pose,best_pose_score,best_pose_unclustered,model_rank,model_pct,cluster_rank,n_clusters,clustpick_pose,clustpick_dockq,regret_clustmode,score1_pose,score1_dockq,regret_permodel,topclust_oracle_dockq,spearman_score_dockq,hit1_023,hit5_023,hit10_023,hit1_049,hit5_049,hit10_049
8P5M,RBM_edge,4_emref,200,200,1.000,0.8640,emref_6.pdb,-148.53,0,1,0.005,1,13,emref_6.pdb,0.8640,0.0000,emref_6.pdb,0.8640,0.0000,0.8640,-0.1430,1,1,1,1,1,1
8SDF,cryptic,4_emref,200,200,1.000,0.0900,emref_2.pdb,-41.19,1,158,0.790,unclustered,9,emref_8.pdb,0.0360,0.0540,emref_40.pdb,0.0200,0.0700,0.0360,-0.1728,0,0,0,0,0,0
8SIQ,core,4_emref,200,200,1.000,0.0600,emref_32.pdb,-32.47,1,157,0.785,unclustered,7,emref_35.pdb,0.0290,0.0310,emref_92.pdb,0.0160,0.0440,0.0290,-0.0199,0,0,0,0,0,0
8SIS,core_other,4_emref,200,200,1.000,0.6810,emref_155.pdb,-93.02,1,18,0.090,unclustered,12,emref_5.pdb,0.0230,0.6580,emref_106.pdb,0.0210,0.6600,0.0250,-0.1094,0,0,0,0,0,0
8SIT,core,4_emref,199,199,1.000,0.0500,emref_125.pdb,-57.45,1,98,0.492,unclustered,9,emref_9.pdb,0.0200,0.0300,emref_52.pdb,0.0320,0.0180,0.0210,-0.2506,0,0,0,0,0,0
8XSI,cryptic,4_emref,200,200,1.000,0.8210,emref_11.pdb,-104.37,1,2,0.010,unclustered,2,emref_19.pdb,0.0260,0.7950,emref_32.pdb,0.0650,0.7560,0.0260,-0.1106,0,1,1,0,1,1
9ML8,cryptic,4_emref,200,200,1.000,0.0740,emref_116.pdb,-55.35,0,108,0.540,4,8,emref_18.pdb,0.0210,0.0530,emref_27.pdb,0.0170,0.0570,0.0230,0.0041,0,0,0,0,0,0
9ML9,core,4_emref,200,200,1.000,0.4080,emref_10.pdb,-32.83,1,170,0.850,unclustered,10,emref_111.pdb,0.0310,0.3770,emref_111.pdb,0.0310,0.3770,0.0310,0.0402,0,0,0,0,0,0
9SBB,other,4_emref,200,200,1.000,0.8190,emref_38.pdb,-112.80,1,3,0.015,unclustered,15,emref_54.pdb,0.0300,0.7890,emref_45.pdb,0.4010,0.4180,0.0310,-0.2332,1,1,1,0,1,1
9ZDU,core,4_emref,200,200,1.000,0.0350,emref_65.pdb,-70.61,1,56,0.280,unclustered,12,emref_27.pdb,0.0250,0.0100,emref_72.pdb,0.0300,0.0050,0.0260,-0.2262,0,0,0,0,0,0
