target,pdb,antigen_grp,AB,label,ag_len,n_ag,nano
8t1g_GI,8t1g,HA,B,stem,526,2,False
8t1g_JK,8t1g,HA,B,stem,523,2,False
8tx3_FK,8tx3,HA,B,stem,498,2,False
8txm_HL,8txm,HA,B,stem,499,2,False
8txu_HL,8txu,HA,B,stem,493,2,False
8txt_GI,8txt,HA,B,stem,500,2,False
8txp_HL,8txp,HA,B,stem,501,2,False
8ty7_HL,8ty7,HA,B,stem,503,2,False
8txt_HL,8txt,HA,B,stem,500,2,False
8u44_ST,8u44,HA,B,stem,495,2,False
8t49_CD,8t49,Env,B,MPER,554,2,False
8tjr_HL,8tjr,Env,B,FP,264,2,False
8tl5_IJ,8tl5,Env,B,gp120gp41,566,2,False
8tq1_CD,8tq1,Env,B,MPER,244,2,False
8tjs_QT,8tjs,Env,B,FP,264,2,False
8ttw_CD,8ttw,Env,B,gp120gp41,574,2,False
8vfv_CD,8vfv,Env,B,MPER,557,2,False
8tkc_GH,8tkc,Env,B,FP,130,1,False
9evz_HL,9evz,Env,B,gp120gp41,555,2,False
8vfv_GI,8vfv,Env,B,MPER,242,2,False
8t4b_OQ,8t4b,Env,A,N332,434,1,False
8tnh_J,8tnh,Env,A,CD4bs,906,2,True
9b8b_HL,9b8b,Env,A,V2apex,850,2,False
8t4a_PR,8t4a,Env,A,N332,436,1,False
8ulr_HL,8ulr,Env,A,CD4bs,440,1,False
9b8c_HL,9b8c,Env,A,V2apex,847,2,False
8t49_PR,8t49,Env,A,N332,434,1,False
8uls_HL,8uls,Env,A,CD4bs,896,2,False
9bnp_HL,9bnp,Env,A,V2apex,436,1,False
8t4d_OQ,8t4d,Env,A,N332,434,1,False
8k3k_D,8k3k,RBD,B,class4,194,1,True
8wpy_AB,8wpy,RBD,B,class3,195,1,False
8k46_I,8k46,RBD,B,class4,220,1,True
8wyj_IK,8wyj,RBD,B,class3,223,1,False
8tm1_HL,8tm1,RBD,B,class4,334,2,False
8xsj_HL,8xsj,RBD,B,class3,195,1,False
8kdr_HL,8kdr,RBD,B,class4,276,1,False
8y6a_CD,8y6a,RBD,B,class3,182,1,False
8q7s_H,8q7s,RBD,B,class4,184,1,True
8vye_AD,8vye,RBD,B,class3,213,1,False
8k46_G,8k46,RBD,A,class1/2(RBM),438,2,True
8k5h_HL,8k5h,RBD,A,class1/2(RBM),221,1,False
8k5g_HL,8k5g,RBD,A,class1/2(RBM),201,1,False
8kdm_GF,8kdm,RBD,A,class1/2(RBM),223,1,False
8q5y_RL,8q5y,RBD,A,class1/2(RBM),223,1,False
8q5y_GH,8q5y,RBD,A,class1/2(RBM),222,1,False
8q5y_BA,8q5y,RBD,A,class1/2(RBM),223,1,False
8kep_HL,8kep,RBD,A,class1/2(RBM),196,1,False
8q7s_O,8q7s,RBD,A,class1/2(RBM),183,1,True
8q7s_C,8q7s,RBD,A,class1/2(RBM),188,1,True
8tp5_HL,8tp5,HA,A,head,322,1,False
8tp6_CD,8tp6,HA,A,head,480,1,False
8tp7_HL,8tp7,HA,A,head,962,2,False
8tp2_HL,8tp2,HA,A,head,482,1,False
8ume_HL,8ume,HA,A,head,466,1,False
9azr_HL,9azr,HA,A,head,213,1,False
9azv_HL,9azv,HA,A,head,213,1,False
9azt_HL,9azt,HA,A,head,213,1,False
9b7g_QP,9b7g,HA,A,head,344,1,False
9bdg_FI,9bdg,HA,A,head,385,1,False
9pi9_AB,9pi9,C,C,TROP2,453,2,False
9dq4_HL,9dq4,C,C,CTLA-4,108,1,False
9njy_HL,9njy,C,C,ClfA(S.aureus),302,1,False
9ncy_HL,9ncy,C,C,CSP(malaria),65,1,False
8ts0_HL,8ts0,C,C,ASGR1,129,1,False
