path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed0_r1,8k5h_hl_sample_1.cif,0.23119
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed0_r1,8k5h_hl_sample_4.cif,0.2319
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed0_r2,8k5h_hl_sample_2.cif,0.3902
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed0_r2,8k5h_hl_sample_1.cif,0.21672
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed0_r0,8k5h_hl_sample_2.cif,0.13853
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed0_r1,8k5h_hl_sample_3.cif,0.26571
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed0_r1,8k5h_hl_sample_2.cif,0.13497
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed0_r2,8k5h_hl_sample_0.cif,0.40515
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed0_r0,8k5h_hl_sample_4.cif,0.353
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed0_r2,8k5h_hl_sample_4.cif,0.33903
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed0_r0,8k5h_hl_sample_0.cif,0.05565
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed0_r3,8k5h_hl_sample_2.cif,0.17749
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed0_r0,8k5h_hl_sample_1.cif,0.29516
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed0_r3,8k5h_hl_sample_0.cif,0.06131
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed0_r3,8k5h_hl_sample_3.cif,0.16486
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed0_r3,8k5h_hl_sample_4.cif,0.06929
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed0_r0,8k5h_hl_sample_3.cif,0.19623
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed0_r3,8k5h_hl_sample_1.cif,0.05955
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed0_r2,8k5h_hl_sample_3.cif,0.18469
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed0_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed0_r1,8k5h_hl_sample_0.cif,0.31743
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed1_r1,8k5h_hl_sample_4.cif,0.1827
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed1_r3,8k5h_hl_sample_2.cif,0.21051
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed1_r3,8k5h_hl_sample_4.cif,0.24522
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed1_r3,8k5h_hl_sample_0.cif,0.34459
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed1_r0,8k5h_hl_sample_2.cif,0.18645
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed1_r3,8k5h_hl_sample_3.cif,0.14379
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed1_r1,8k5h_hl_sample_2.cif,0.2287
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed1_r2,8k5h_hl_sample_4.cif,0.36118
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed1_r0,8k5h_hl_sample_1.cif,0.14448
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed1_r3,8k5h_hl_sample_1.cif,0.26498
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed1_r2,8k5h_hl_sample_3.cif,0.29629
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed1_r2,8k5h_hl_sample_2.cif,0.27264
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed1_r1,8k5h_hl_sample_1.cif,0.292
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed1_r0,8k5h_hl_sample_4.cif,0.28188
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed1_r2,8k5h_hl_sample_0.cif,0.23271
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed1_r1,8k5h_hl_sample_3.cif,0.25385
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed1_r0,8k5h_hl_sample_3.cif,0.33
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed1_r2,8k5h_hl_sample_1.cif,0.16311
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed1_r1,8k5h_hl_sample_0.cif,0.36393
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed1_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed1_r0,8k5h_hl_sample_0.cif,0.32574
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed2_r2,8k5h_hl_sample_2.cif,0.36971
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed2_r0,8k5h_hl_sample_1.cif,0.35697
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed2_r1,8k5h_hl_sample_1.cif,0.39162
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed2_r1,8k5h_hl_sample_4.cif,0.17838
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed2_r2,8k5h_hl_sample_3.cif,0.12079
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed2_r0,8k5h_hl_sample_2.cif,0.0759
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed2_r3,8k5h_hl_sample_2.cif,0.35268
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed2_r3,8k5h_hl_sample_1.cif,0.20547
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed2_r3,8k5h_hl_sample_3.cif,0.25702
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed2_r1,8k5h_hl_sample_2.cif,0.13824
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed2_r2,8k5h_hl_sample_1.cif,0.26325
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed2_r2,8k5h_hl_sample_0.cif,0.33952
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed2_r1,8k5h_hl_sample_0.cif,0.32682
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed2_r3,8k5h_hl_sample_0.cif,0.31962
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed2_r0,8k5h_hl_sample_3.cif,0.2753
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed2_r3,8k5h_hl_sample_4.cif,0.31353
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed2_r0,8k5h_hl_sample_0.cif,0.35949
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed2_r1,8k5h_hl_sample_3.cif,0.11481
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed2_r2,8k5h_hl_sample_4.cif,0.08504
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed2_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed2_r0,8k5h_hl_sample_4.cif,0.29218
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed3_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed3_r1,8k5h_hl_sample_4.cif,0.10297
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed3_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed3_r3,8k5h_hl_sample_4.cif,0.10074
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed3_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed3_r0,8k5h_hl_sample_0.cif,0.21659
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed3_r3/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_2.cif,8k5h_HL,seed3_r3,8k5h_hl_sample_2.cif,0.09035
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed3_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed3_r2,8k5h_hl_sample_3.cif,0.15991
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed3_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_4.cif,8k5h_HL,seed3_r2,8k5h_hl_sample_4.cif,0.22543
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed3_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed3_r0,8k5h_hl_sample_3.cif,0.09218
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed3_r2/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_0.cif,8k5h_HL,seed3_r2,8k5h_hl_sample_0.cif,0.31827
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed3_r1/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_3.cif,8k5h_HL,seed3_r1,8k5h_hl_sample_3.cif,0.11687
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k5h_HL/d15/seed3_r0/results/8k5h_hl/seed_0/predictions/8k5h_hl_sample_1.cif,8k5h_HL,seed3_r0,8k5h_hl_sample_1.cif,0.22935
