path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed2_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed2_r2,8k3k_d_sample_2.cif,0.02801
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed0_r1,8k3k_d_sample_1.cif,0.08198
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed1_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed1_r1,8k3k_d_sample_4.cif,0.0999
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed1_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed1_r3,8k3k_d_sample_2.cif,0.14463
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed0_r1,8k3k_d_sample_4.cif,0.15862
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed1_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed1_r3,8k3k_d_sample_4.cif,0.0421
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed0_r2,8k3k_d_sample_2.cif,0.18923
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed0_r2,8k3k_d_sample_1.cif,0.07422
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed0_r0,8k3k_d_sample_2.cif,0.13067
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed1_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed1_r3,8k3k_d_sample_0.cif,0.21998
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed0_r1,8k3k_d_sample_3.cif,0.05275
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed2_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed2_r0,8k3k_d_sample_1.cif,0.16451
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed2_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed2_r1,8k3k_d_sample_1.cif,0.14732
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed0_r1,8k3k_d_sample_2.cif,0.173
