target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8kep_HL,protenix,d37,seed0_r0,8kep_hl_sample_0.cif,0.013,0.2254,0.662,71
8kep_HL,protenix,d37,seed0_r0,8kep_hl_sample_1.cif,0.014,0.2203,0.678,59
8kep_HL,protenix,d37,seed0_r0,8kep_hl_sample_2.cif,0.043,0.2963,0.7037,54
8kep_HL,protenix,d37,seed0_r0,8kep_hl_sample_3.cif,0.083,0.2453,0.5472,53
8kep_HL,protenix,d37,seed0_r0,8kep_hl_sample_4.cif,0.015,0.2558,0.907,43
8kep_HL,protenix,d37,seed0_r1,8kep_hl_sample_0.cif,0.007,0.2344,0.6562,64
8kep_HL,protenix,d37,seed0_r1,8kep_hl_sample_1.cif,0.008,0.2245,0.7551,49
8kep_HL,protenix,d37,seed0_r1,8kep_hl_sample_2.cif,0.008,0.2623,0.7541,61
8kep_HL,protenix,d37,seed0_r1,8kep_hl_sample_3.cif,0.013,0.2955,0.7955,44
8kep_HL,protenix,d37,seed0_r1,8kep_hl_sample_4.cif,0.005,0.303,0.9091,33
8kep_HL,protenix,d37,seed0_r2,8kep_hl_sample_0.cif,0.019,0.2,0.6333,60
8kep_HL,protenix,d37,seed0_r2,8kep_hl_sample_1.cif,0.014,0.2333,0.6833,60
8kep_HL,protenix,d37,seed0_r2,8kep_hl_sample_2.cif,0.082,0.2545,0.5455,55
8kep_HL,protenix,d37,seed0_r2,8kep_hl_sample_3.cif,0.007,0.3333,0.8095,42
8kep_HL,protenix,d37,seed0_r2,8kep_hl_sample_4.cif,0.029,0.3784,0.8108,37
8kep_HL,protenix,d37,seed0_r3,8kep_hl_sample_0.cif,0.007,0.197,0.5455,66
8kep_HL,protenix,d37,seed0_r3,8kep_hl_sample_1.cif,0.02,0.2462,0.6769,65
8kep_HL,protenix,d37,seed0_r3,8kep_hl_sample_2.cif,0.106,0.2414,0.4655,58
8kep_HL,protenix,d37,seed0_r3,8kep_hl_sample_3.cif,0.018,0.2609,0.7826,46
8kep_HL,protenix,d37,seed0_r3,8kep_hl_sample_4.cif,0.014,0.2927,0.7805,41
8kep_HL,protenix,d37,seed1_r0,8kep_hl_sample_0.cif,0.006,0.2679,0.75,56
8kep_HL,protenix,d37,seed1_r0,8kep_hl_sample_1.cif,0.006,0.2273,0.7727,44
8kep_HL,protenix,d37,seed1_r0,8kep_hl_sample_2.cif,0.006,0.2222,0.9167,36
8kep_HL,protenix,d37,seed1_r0,8kep_hl_sample_3.cif,0.007,0.3,0.9,30
8kep_HL,protenix,d37,seed1_r0,8kep_hl_sample_4.cif,0.016,0.3256,0.8837,43
8kep_HL,protenix,d37,seed1_r1,8kep_hl_sample_0.cif,0.088,0.3182,0.7576,66
8kep_HL,protenix,d37,seed1_r1,8kep_hl_sample_1.cif,0.019,0.194,0.6716,67
8kep_HL,protenix,d37,seed1_r1,8kep_hl_sample_2.cif,0.013,0.2333,0.7,60
8kep_HL,protenix,d37,seed1_r1,8kep_hl_sample_3.cif,0.017,0.3704,0.8148,54
8kep_HL,protenix,d37,seed1_r1,8kep_hl_sample_4.cif,0.006,0.4286,0.8929,28
8kep_HL,protenix,d37,seed1_r2,8kep_hl_sample_0.cif,0.007,0.4286,0.8333,42
8kep_HL,protenix,d37,seed1_r2,8kep_hl_sample_1.cif,0.025,0.3409,0.8182,44
8kep_HL,protenix,d37,seed1_r2,8kep_hl_sample_2.cif,0.007,0.2093,0.814,43
8kep_HL,protenix,d37,seed1_r2,8kep_hl_sample_3.cif,0.006,0.4242,0.8485,33
8kep_HL,protenix,d37,seed1_r2,8kep_hl_sample_4.cif,0.007,0.3846,0.9231,26
