target,epitope_class,experiment,model,condition,best_dockq,n_poses
8P5M,RBM_edge,cofolder,Boltz-2,server,0.069,5
8SDF,cryptic,cofolder,Boltz-2,server,0.023,5
8SIQ,core,cofolder,Boltz-2,server,0.028,5
8SIS,core_other,cofolder,Boltz-2,server,0.045,5
8SIT,core,cofolder,Boltz-2,server,0.803,5
8XSI,cryptic,cofolder,Boltz-2,server,0.028,5
9ML8,cryptic,cofolder,Boltz-2,server,0.059,5
9ML9,core,cofolder,Boltz-2,server,0.615,5
9SBB,other,cofolder,Boltz-2,server,0.073,5
9ZDU,core,cofolder,Boltz-2,server,0.821,5
8P5M,RBM_edge,cofolder,Chai-1,server,0.062,5
8SDF,cryptic,cofolder,Chai-1,server,0.046,5
8SIQ,core,cofolder,Chai-1,server,0.169,5
8SIS,core_other,cofolder,Chai-1,server,0.031,5
8SIT,core,cofolder,Chai-1,server,0.549,5
8XSI,cryptic,cofolder,Chai-1,server,0.037,5
9ML8,cryptic,cofolder,Chai-1,server,0.028,5
9ML9,core,cofolder,Chai-1,server,0.044,5
9SBB,other,cofolder,Chai-1,server,0.251,5
9ZDU,core,cofolder,Chai-1,server,0.795,5
8P5M,RBM_edge,cofolder,Protenix-base,server,0.075,5
8SDF,cryptic,cofolder,Protenix-base,server,0.026,5
8SIQ,core,cofolder,Protenix-base,server,0.843,5
8SIS,core_other,cofolder,Protenix-base,server,0.043,5
8SIT,core,cofolder,Protenix-base,server,0.831,5
8XSI,cryptic,cofolder,Protenix-base,server,0.024,5
9ML8,cryptic,cofolder,Protenix-base,server,0.030,5
9ML9,core,cofolder,Protenix-base,server,0.865,5
9SBB,other,cofolder,Protenix-base,server,0.177,5
9ZDU,core,cofolder,Protenix-base,server,0.908,5
8P5M,RBM_edge,cofolder,AF2-Multimer,server,0.063,5
8SDF,cryptic,cofolder,AF2-Multimer,server,0.035,5
8SIQ,core,cofolder,AF2-Multimer,server,0.029,5
8SIS,core_other,cofolder,AF2-Multimer,server,0.029,5
8SIT,core,cofolder,AF2-Multimer,server,0.032,5
8XSI,cryptic,cofolder,AF2-Multimer,server,0.048,5
9ML8,cryptic,cofolder,AF2-Multimer,server,0.045,5
9ML9,core,cofolder,AF2-Multimer,server,0.023,5
9SBB,other,cofolder,AF2-Multimer,server,0.054,5
9ZDU,core,cofolder,AF2-Multimer,server,0.057,5
8P5M,RBM_edge,cofolder,tFold-Ag,server,0.069,5
8SDF,cryptic,cofolder,tFold-Ag,server,0.027,5
8SIQ,core,cofolder,tFold-Ag,server,0.038,5
8SIS,core_other,cofolder,tFold-Ag,server,0.040,5
8SIT,core,cofolder,tFold-Ag,server,0.065,5
8XSI,cryptic,cofolder,tFold-Ag,server,0.021,5
9ML8,cryptic,cofolder,tFold-Ag,server,0.045,5
9ML9,core,cofolder,tFold-Ag,server,0.046,5
9SBB,other,cofolder,tFold-Ag,server,0.026,5
9ZDU,core,cofolder,tFold-Ag,server,0.219,5
8P5M,RBM_edge,msa_depth,Boltz-2,d143,0.740,5
8SDF,cryptic,msa_depth,Boltz-2,d143,0.029,5
8SIQ,core,msa_depth,Boltz-2,d143,0.238,5
8SIS,core_other,msa_depth,Boltz-2,d143,0.031,5
8SIT,core,msa_depth,Boltz-2,d143,0.046,5
8XSI,cryptic,msa_depth,Boltz-2,d143,0.029,5
9ML8,cryptic,msa_depth,Boltz-2,d143,0.027,5
9ML9,core,msa_depth,Boltz-2,d143,0.485,5
9SBB,other,msa_depth,Boltz-2,d143,0.036,5
9ZDU,core,msa_depth,Boltz-2,d143,0.873,5
8P5M,RBM_edge,msa_depth,Boltz-2,d8,0.064,5
8SDF,cryptic,msa_depth,Boltz-2,d8,0.030,5
8SIQ,core,msa_depth,Boltz-2,d8,0.190,5
8SIS,core_other,msa_depth,Boltz-2,d8,0.037,5
8SIT,core,msa_depth,Boltz-2,d8,0.820,5
8XSI,cryptic,msa_depth,Boltz-2,d8,0.052,5
9ML8,cryptic,msa_depth,Boltz-2,d8,0.024,5
9ML9,core,msa_depth,Boltz-2,d8,0.751,5
9SBB,other,msa_depth,Boltz-2,d8,0.028,5
9ZDU,core,msa_depth,Boltz-2,d8,0.859,5
8P5M,RBM_edge,msa_depth,Boltz-2,d1,0.063,5
8SDF,cryptic,msa_depth,Boltz-2,d1,0.017,5
8SIQ,core,msa_depth,Boltz-2,d1,0.152,5
8SIS,core_other,msa_depth,Boltz-2,d1,0.439,5
8SIT,core,msa_depth,Boltz-2,d1,0.763,5
8XSI,cryptic,msa_depth,Boltz-2,d1,0.028,5
9ML8,cryptic,msa_depth,Boltz-2,d1,0.078,5
9ML9,core,msa_depth,Boltz-2,d1,0.827,5
9SBB,other,msa_depth,Boltz-2,d1,0.060,5
9ZDU,core,msa_depth,Boltz-2,d1,0.674,5
8P5M,RBM_edge,msa_depth,Protenix-base,d143,0.036,5
8SDF,cryptic,msa_depth,Protenix-base,d143,0.040,5
8SIQ,core,msa_depth,Protenix-base,d143,0.062,5
8SIS,core_other,msa_depth,Protenix-base,d143,0.057,5
8SIT,core,msa_depth,Protenix-base,d143,0.037,5
8XSI,cryptic,msa_depth,Protenix-base,d143,0.024,5
9ML8,cryptic,msa_depth,Protenix-base,d143,0.029,5
9ML9,core,msa_depth,Protenix-base,d143,0.120,5
9SBB,other,msa_depth,Protenix-base,d143,0.035,5
9ZDU,core,msa_depth,Protenix-base,d143,0.311,5
8P5M,RBM_edge,msa_depth,Protenix-base,d8,0.067,5
8SDF,cryptic,msa_depth,Protenix-base,d8,0.036,5
8SIQ,core,msa_depth,Protenix-base,d8,0.039,5
8SIS,core_other,msa_depth,Protenix-base,d8,0.038,5
8SIT,core,msa_depth,Protenix-base,d8,0.028,5
8XSI,cryptic,msa_depth,Protenix-base,d8,0.035,5
9ML8,cryptic,msa_depth,Protenix-base,d8,0.015,5
9ML9,core,msa_depth,Protenix-base,d8,0.106,5
9SBB,other,msa_depth,Protenix-base,d8,0.142,5
9ZDU,core,msa_depth,Protenix-base,d8,0.279,5
8P5M,RBM_edge,msa_depth,Protenix-base,d1,0.082,5
8SDF,cryptic,msa_depth,Protenix-base,d1,0.068,5
8SIQ,core,msa_depth,Protenix-base,d1,0.033,5
8SIS,core_other,msa_depth,Protenix-base,d1,0.031,5
8SIT,core,msa_depth,Protenix-base,d1,0.021,5
8XSI,cryptic,msa_depth,Protenix-base,d1,0.110,5
9ML8,cryptic,msa_depth,Protenix-base,d1,0.007,5
9ML9,core,msa_depth,Protenix-base,d1,0.039,5
9SBB,other,msa_depth,Protenix-base,d1,0.039,5
9ZDU,core,msa_depth,Protenix-base,d1,0.030,5
8P5M,RBM_edge,msa_depth,Chai-1,d1,0.170,5
8SDF,cryptic,msa_depth,Chai-1,d1,0.046,5
8SIQ,core,msa_depth,Chai-1,d1,0.037,5
8SIS,core_other,msa_depth,Chai-1,d1,0.041,5
8SIT,core,msa_depth,Chai-1,d1,0.016,5
8XSI,cryptic,msa_depth,Chai-1,d1,0.038,5
9ML8,cryptic,msa_depth,Chai-1,d1,0.046,5
9ML9,core,msa_depth,Chai-1,d1,0.045,5
9SBB,other,msa_depth,Chai-1,d1,0.066,5
9ZDU,core,msa_depth,Chai-1,d1,0.044,5
8P5M,RBM_edge,msa_depth,AF2-Multimer,d1,0.162,5
8SDF,cryptic,msa_depth,AF2-Multimer,d1,0.109,5
8SIQ,core,msa_depth,AF2-Multimer,d1,0.064,5
8SIS,core_other,msa_depth,AF2-Multimer,d1,0.180,5
8SIT,core,msa_depth,AF2-Multimer,d1,0.166,5
8XSI,cryptic,msa_depth,AF2-Multimer,d1,0.022,5
9ML8,cryptic,msa_depth,AF2-Multimer,d1,0.247,5
9ML9,core,msa_depth,AF2-Multimer,d1,0.018,5
9SBB,other,msa_depth,AF2-Multimer,d1,0.013,5
9ZDU,core,msa_depth,AF2-Multimer,d1,0.114,5
8P5M,RBM_edge,msa_depth,tFold,d8,0.057,5
8SDF,cryptic,msa_depth,tFold,d8,0.080,5
8SIQ,core,msa_depth,tFold,d8,0.041,5
8SIS,core_other,msa_depth,tFold,d8,0.049,5
8SIT,core,msa_depth,tFold,d8,0.022,5
8XSI,cryptic,msa_depth,tFold,d8,0.028,5
9ML8,cryptic,msa_depth,tFold,d8,0.027,5
9ML9,core,msa_depth,tFold,d8,0.030,5
9SBB,other,msa_depth,tFold,d8,0.051,5
9ZDU,core,msa_depth,tFold,d8,0.035,5
8P5M,RBM_edge,msa_depth,tFold,d1,0.105,5
8SDF,cryptic,msa_depth,tFold,d1,0.006,5
8SIQ,core,msa_depth,tFold,d1,0.027,5
8SIS,core_other,msa_depth,tFold,d1,0.036,5
8SIT,core,msa_depth,tFold,d1,0.025,5
8XSI,cryptic,msa_depth,tFold,d1,0.055,5
9ML8,cryptic,msa_depth,tFold,d1,0.040,5
9ML9,core,msa_depth,tFold,d1,0.042,5
9SBB,other,msa_depth,tFold,d1,0.017,5
9ZDU,core,msa_depth,tFold,d1,0.057,5
