target,group,model,rung,n_rows,n_comp,n_reps,n_full,status,metric,thr,neff0,neff_pick,stratum,recall_max,dockq_max,dq23_pick,dq49_pick,overrep_full,overrep_pick
8k3k_D,RBD,protenix,2,57,6,4,8,run,recall,0.4,29.0,14.3,poor,0.57,0.05,0,0,0.86,0.59
8k46_I,RBD,protenix,4,23,6,4,8,run,recall,0.4,37.2,13.0,poor,0.74,0.09,0,0,0.85,0.77
8k5g_HL,RBD,protenix,1,90,6,4,8,run,recall,0.4,30.9,22.4,poor,0.50,0.34,0,0,0.88,0.86
8k5h_HL,RBD,protenix,5,15,6,4,8,run,recall,0.4,33.7,10.0,poor,0.44,0.12,0,0,0.89,0.88
8kdm_GF,RBD,protenix,,,,,,no_response,recall,0.4,,,,0.29,0.02,,,0.74,
8kep_HL,RBD,protenix,3,37,6,4,8,run,recall,0.4,28.7,11.8,poor,0.44,0.10,0,0,0.59,0.77
8p5m_GL,RBD,protenix,,,,,,no_response,recall,0.4,,,,0.34,0.07,,,0.23,
8q5y_GH,RBD,protenix,,,,,,no_response,recall,0.4,,,,0.30,0.05,,,0.57,
8q7s_C,RBD,protenix,1,86,6,4,8,run,recall,0.4,35.2,27.6,poor,0.87,0.25,0,0,0.91,0.68
8q7s_H,RBD,protenix,2,55,6,4,8,run,recall,0.4,35.6,22.4,poor,0.52,0.06,0,0,0.30,0.02
8q7s_O,RBD,protenix,3,35,6,4,8,run,recall,0.4,35.6,14.7,poor,0.85,0.12,0,0,0.82,0.85
8sdf_HL,RBD,protenix,,,,,,no_response,recall,0.4,,,,0.33,0.04,,,0.52,
8siq_HL,RBD,protenix,4,670,6,4,8,run,recall,0.4,27.9,4.0,poor,0.85,0.29,0,0,0.91,0.05
8sis_HL,RBD,protenix,2,4169,6,4,8,run,recall,0.4,27.8,12.0,poor,0.49,0.04,0,0,0.73,0.46
8sit_HL,RBD,protenix,2,4034,6,4,8,run,recall,0.4,27.8,11.3,poor,0.56,0.20,0,0,0.78,0.34
8t49_PR,Env,protenix,,,,,,no_response,recall,0.4,,,,0.35,0.08,,,0.12,
8t4a_PR,Env,protenix,2,1824,6,4,8,run,recall,0.4,2820.4,640.6,rich,0.46,0.06,0,0,0.07,0.15
8t4b_OQ,Env,protenix,,,,,,no_response,recall,0.4,,,,0.20,0.05,,,0.09,
8t4d_OQ,Env,protenix,5,150,6,4,8,run,recall,0.4,2935.9,81.0,rich,0.46,0.07,0,0,0.08,0.28
8tjr_HL,Env,protenix,,,,,,no_response,recall,0.4,,,,0.14,0.03,,,0.00,
8tkc_GH,Env,protenix,,,,,,no_response,recall,0.4,,,,0.24,0.05,,,0.00,
8tl5_IJ,Env,protenix,,,,,,no_response,recall,0.4,,,,0.07,0.05,,,0.29,
8tp5_HL,HA,protenix,2,307,6,4,8,run,recall,0.4,140.1,73.2,rich,0.69,0.05,0,0,0.26,0.70
8tq1_CD,Env,protenix,,,,,,no_response,recall,0.4,,,,0.16,0.03,,,0.00,
8tx3_FK,HA,protenix,,,,,,no_response,recall,0.4,,,,0.29,0.06,,,1.00,
8txu_HL,HA,protenix,,,,,,no_response,recall,0.4,,,,0.36,0.10,,,0.35,
8u44_ST,HA,protenix,1,413,6,4,8,run,recall,0.4,63.2,42.0,rich,0.85,0.08,0,0,0.09,0.04
8ulr_HL,Env,protenix,2,1746,6,4,8,run,recall,0.4,3050.9,701.8,rich,0.78,0.66,5,5,0.44,0.76
8ume_HL,HA,protenix,1,653,6,4,8,run,recall,0.4,175.1,121.4,rich,0.71,0.32,3,0,0.52,0.78
8vfv_GI,Env,protenix,,,,,,no_response,recall,0.4,,,,0.07,0.04,,,0.00,
8vye_AD,RBD,protenix,,,,,,no_response,recall,0.4,,,,0.06,0.17,,,0.25,
8wpy_AB,RBD,protenix,,,,,,no_response,recall,0.4,,,,0.30,0.02,,,0.70,
8xsi_HL,RBD,protenix,1,8893,6,4,8,run,recall,0.4,28.0,15.0,poor,0.44,0.09,0,0,0.74,0.30
8xsj_HL,RBD,protenix,,,,,,no_response,recall,0.4,,,,0.23,0.03,,,0.64,
8y6a_CD,RBD,protenix,,,,,,no_response,recall,0.4,,,,0.27,0.03,,,0.56,
9azr_HL,HA,protenix,1,552,6,4,8,run,recall,0.4,120.5,91.9,rich,0.88,0.49,0,0,0.96,0.97
9azt_HL,HA,protenix,9,4,6,4,8,run,recall,0.4,119.6,3.0,rich,0.46,0.08,0,0,0.95,0.97
9azv_HL,HA,protenix,2,293,6,4,8,run,recall,0.4,119.6,68.9,rich,0.65,0.07,0,0,0.97,0.97
9b7g_QP,HA,protenix,1,625,6,4,8,run,recall,0.4,175.8,127.6,rich,0.85,0.28,0,0,0.99,0.91
9bdg_FI,HA,protenix,3,173,6,4,8,run,recall,0.4,184.0,54.2,rich,0.83,0.08,0,0,1.00,1.00
9bnp_HL,Env,protenix,,,,,,no_response,recall,0.4,,,,0.15,0.02,,,0.00,
9j4c_HL,C,protenix,,,,,,no_response,recall,0.4,,,,0.18,0.02,,,,
9kkj_HL,C,protenix,1,2220,6,4,8,run,recall,0.4,2270.4,1269.8,rich,0.57,0.05,0,0,,
9ly5_AB,C,protenix,,,,,,no_response,recall,0.4,,,,0.26,0.08,,,,
9ml8_HL,RBD,protenix,,,,,,no_response,recall,0.4,,,,0.31,0.06,,,0.58,
9ml9_HL,RBD,protenix,1,8768,6,4,8,run,recall,0.4,27.8,15.0,poor,0.55,0.08,0,0,0.52,0.46
9mqr_DE,C,protenix,1,3538,6,4,8,run,recall,0.4,704.7,391.2,rich,0.68,0.10,0,0,,
9sbb_HL,RBD,protenix,,,,,,no_response,recall,0.4,,,,0.25,0.06,,,0.82,
9vxl_BC,C,protenix,,,,,,no_response,recall,0.4,,,,0.14,0.01,,,,
9w43_AB,C,protenix,6,51,6,4,8,run,recall,0.4,4555.2,48.0,rich,0.48,0.08,0,0,,
9xf9_HL,C,protenix,,,,,,no_response,recall,0.4,,,,0.16,0.03,,,,
9y0a_AB,C,protenix,3,289,6,4,8,run,recall,0.4,1123.2,221.4,rich,0.46,0.11,0,0,,
9yc6_HL,C,protenix,1,611,6,4,8,run,recall,0.4,271.1,169.4,rich,0.41,0.08,0,0,,
9zdu_HL,RBD,protenix,1,11017,6,4,8,run,recall,0.4,28.0,12.5,poor,0.49,0.24,1,0,0.33,0.40
