target,model,arm,n_pose,dockq_max,dockq_med,recall_max,recall_med
8k3k_D,protenix*,blind,100,0.014,0.012,0.136,0.069
8k3k_D,boltz,noconstraint,5,0.009,0.008,0.033,0.031
8k3k_D,boltz,fullmsa,5,0.015,0.014,0.154,0.069
8k3k_D,boltz,sizematch,5,0.014,0.013,0.133,0.036
8k3k_D,boltz,ours,5,0.013,0.012,0.125,0.103
8k46_I,protenix*,blind,100,0.035,0.019,0.263,0.061
8k46_I,boltz,noconstraint,5,0.009,0.009,0.032,0.000
8k46_I,boltz,fullmsa,5,0.020,0.015,0.103,0.033
8k46_I,boltz,sizematch,5,0.015,0.010,0.069,0.033
8k46_I,boltz,ours,5,0.015,0.012,0.038,0.033
8k5h_HL,protenix*,blind,40,0.588,0.048,0.667,0.369
8k5h_HL,boltz,noconstraint,5,0.842,0.808,0.867,0.812
8k5h_HL,boltz,fullmsa,5,0.845,0.802,0.867,0.778
8k5h_HL,boltz,sizematch,5,0.830,0.750,0.867,0.800
8k5h_HL,boltz,ours,5,0.829,0.755,0.867,0.778
8q7s_C,protenix*,blind,40,0.160,0.064,0.913,0.735
8q7s_C,boltz,noconstraint,5,0.915,0.832,0.962,0.958
8q7s_C,boltz,fullmsa,5,0.902,0.817,0.960,0.958
8q7s_C,boltz,sizematch,5,0.856,0.844,0.960,0.957
8q7s_C,boltz,ours,5,0.878,0.822,0.960,0.955
8q7s_H,protenix*,blind,40,0.051,0.034,0.484,0.379
8q7s_H,boltz,noconstraint,5,0.014,0.014,0.150,0.130
8q7s_H,boltz,fullmsa,5,0.014,0.014,0.143,0.143
8q7s_H,boltz,sizematch,5,0.015,0.014,0.136,0.130
8q7s_H,boltz,ours,5,0.327,0.299,0.867,0.824
8q7s_O,protenix*,blind,40,0.141,0.051,0.808,0.587
8q7s_O,boltz,noconstraint,5,0.886,0.847,0.958,0.920
8q7s_O,boltz,fullmsa,5,0.858,0.836,0.958,0.885
8q7s_O,boltz,sizematch,5,0.862,0.763,0.958,0.885
8q7s_O,boltz,ours,5,0.842,0.786,0.958,0.917
8siq_HL,protenix*,blind,40,0.190,0.032,0.700,0.239
8siq_HL,boltz,noconstraint,5,0.159,0.018,0.500,0.040
8siq_HL,boltz,fullmsa,5,0.029,0.023,0.294,0.214
8siq_HL,boltz,sizematch,5,0.032,0.025,0.303,0.243
8siq_HL,boltz,ours,5,0.027,0.025,0.219,0.152
8sis_HL,protenix*,blind,100,0.187,0.011,0.407,0.171
8sis_HL,boltz,noconstraint,5,0.034,0.027,0.154,0.032
8sis_HL,boltz,fullmsa,5,0.042,0.030,0.400,0.273
8sis_HL,boltz,sizematch,5,0.032,0.028,0.208,0.190
8sis_HL,boltz,ours,5,0.315,0.030,0.741,0.619
8sit_HL,protenix*,blind,40,0.050,0.022,0.512,0.058
8sit_HL,boltz,noconstraint,5,0.808,0.790,0.926,0.917
8sit_HL,boltz,fullmsa,5,0.025,0.020,0.304,0.036
8sit_HL,boltz,sizematch,5,0.026,0.021,0.000,0.000
8sit_HL,boltz,ours,5,0.026,0.020,0.235,0.045
8t4a_PR,protenix*,blind,40,0.106,0.013,0.205,0.147
8t4a_PR,boltz,noconstraint,5,0.190,0.060,0.480,0.200
8t4a_PR,boltz,fullmsa,5,0.014,0.011,0.000,0.000
8t4a_PR,boltz,sizematch,5,0.014,0.009,0.031,0.000
8t4a_PR,boltz,ours,5,0.010,0.009,0.000,0.000
8t4d_OQ,protenix*,blind,40,0.076,0.008,0.531,0.173
8t4d_OQ,boltz,noconstraint,5,0.138,0.043,0.682,0.188
8t4d_OQ,boltz,fullmsa,5,0.017,0.006,0.023,0.000
8t4d_OQ,boltz,sizematch,5,0.010,0.007,0.000,0.000
8t4d_OQ,boltz,ours,5,0.039,0.016,0.276,0.143
8tp5_HL,protenix*,blind,100,0.045,0.005,0.656,0.000
8tp5_HL,boltz,noconstraint,5,0.072,0.040,0.708,0.680
8tp5_HL,boltz,fullmsa,5,0.006,0.005,0.000,0.000
8tp5_HL,boltz,sizematch,5,0.006,0.005,0.000,0.000
8tp5_HL,boltz,ours,5,0.217,0.036,0.769,0.640
8u44_ST,protenix*,blind,40,0.083,0.033,0.667,0.350
8u44_ST,boltz,noconstraint,5,0.248,0.193,0.955,0.900
8u44_ST,boltz,fullmsa,5,0.227,0.169,0.905,0.773
8u44_ST,boltz,sizematch,5,0.233,0.197,0.913,0.818
8u44_ST,boltz,ours,5,0.197,0.167,0.941,0.778
8ulr_HL,protenix*,blind,150,0.658,0.012,0.714,0.291
8ulr_HL,boltz,noconstraint,5,0.844,0.816,0.900,0.853
8ulr_HL,boltz,fullmsa,5,0.813,0.786,0.848,0.839
8ulr_HL,boltz,sizematch,5,0.784,0.738,0.962,0.829
8ulr_HL,boltz,ours,5,0.793,0.784,0.882,0.818
8ume_HL,protenix*,blind,40,0.062,0.014,0.625,0.049
8ume_HL,boltz,noconstraint,5,0.027,0.018,0.393,0.103
8ume_HL,boltz,ours,5,0.109,0.096,0.615,0.571
8xsi_HL,protenix*,blind,40,0.036,0.013,0.000,0.000
8xsi_HL,boltz,noconstraint,5,0.026,0.022,0.000,0.000
8xsi_HL,boltz,fullmsa,5,0.027,0.026,0.000,0.000
8xsi_HL,boltz,sizematch,5,0.027,0.025,0.000,0.000
8xsi_HL,boltz,ours,5,0.030,0.026,0.000,0.000
9azr_HL,protenix*,blind,40,0.330,0.099,0.808,0.656
9azr_HL,boltz,noconstraint,5,0.216,0.111,0.667,0.636
9azr_HL,boltz,fullmsa,5,0.146,0.140,0.645,0.636
9azr_HL,boltz,sizematch,5,0.134,0.129,0.724,0.667
9azr_HL,boltz,ours,5,0.166,0.123,0.656,0.500
9azt_HL,protenix*,blind,40,0.085,0.012,0.531,0.008
9azt_HL,boltz,noconstraint,5,0.216,0.178,0.750,0.655
9azt_HL,boltz,fullmsa,5,0.015,0.014,0.000,0.000
9azt_HL,boltz,sizematch,5,0.015,0.014,0.000,0.000
9azt_HL,boltz,ours,5,0.021,0.014,0.000,0.000
9azv_HL,protenix*,blind,40,0.126,0.010,0.629,0.339
9azv_HL,boltz,noconstraint,5,0.207,0.176,0.760,0.708
9azv_HL,boltz,fullmsa,5,0.229,0.175,0.759,0.750
9azv_HL,boltz,sizematch,5,0.193,0.186,0.750,0.688
9azv_HL,boltz,ours,5,0.044,0.018,0.080,0.067
9b7g_QP,protenix*,blind,40,0.283,0.072,0.842,0.672
9b7g_QP,boltz,noconstraint,5,0.498,0.416,0.826,0.739
9b7g_QP,boltz,fullmsa,5,0.709,0.667,0.923,0.846
9b7g_QP,boltz,sizematch,5,0.707,0.653,0.885,0.840
9b7g_QP,boltz,ours,5,0.681,0.670,0.846,0.821
9bdg_FI,protenix*,blind,40,0.187,0.033,0.714,0.268
9bdg_FI,boltz,noconstraint,5,0.036,0.021,0.238,0.094
9bdg_FI,boltz,fullmsa,5,0.022,0.020,0.097,0.091
9bdg_FI,boltz,sizematch,5,0.022,0.009,0.129,0.111
9bdg_FI,boltz,ours,5,0.023,0.016,0.111,0.103
9mqr_DE,protenix*,blind,40,0.063,0.009,0.571,0.000
9mqr_DE,boltz,noconstraint,5,0.009,0.007,0.217,0.000
9mqr_DE,boltz,fullmsa,5,0.086,0.028,0.636,0.375
9mqr_DE,boltz,sizematch,5,0.052,0.013,0.609,0.321
9mqr_DE,boltz,ours,5,0.007,0.007,0.000,0.000
9w43_AB,protenix*,blind,40,0.064,0.013,0.280,0.188
9w43_AB,boltz,noconstraint,5,0.121,0.071,0.579,0.440
9w43_AB,boltz,fullmsa,5,0.107,0.088,0.529,0.333
9w43_AB,boltz,sizematch,5,0.170,0.113,0.529,0.400
9w43_AB,boltz,ours,5,0.115,0.072,0.783,0.739
