target,n_cand,best_cand,dq_noconstraint,dq_ours,dq_ceiling,dq_rand1,lost,rank,rc_noconstraint,rc_ours,rc_ceiling,n_pose_min
8k3k_D,2,2,0.009,0.013,0.067,0.043,0.054,2,0.033,0.125,0.593,5
8siq_HL,7,3,0.159,0.027,0.19,0.1,0.163,5,0.5,0.219,0.6,5
8sit_HL,4,2,0.808,0.026,0.815,0.257,0.789,3,0.926,0.235,0.923,5
8t4a_PR,7,1,0.19,0.01,0.228,0.051,0.218,4,0.48,0.0,0.5,5
8t4d_OQ,7,3,0.138,0.039,0.191,0.049,0.152,3,0.682,0.276,0.395,5
9azt_HL,7,2,0.216,0.021,0.239,0.104,0.218,5,0.75,0.0,0.724,5
9azv_HL,5,5,0.207,0.044,0.265,0.082,0.221,2,0.76,0.08,0.821,5
9mqr_DE,3,2,0.009,0.007,0.09,0.039,0.083,2,0.217,0.0,0.714,5
