target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8ulr_HL,protenix,d1746,seed0,8ulr_hl_sample_0.cif,0.011,0.0217,0.0435,92
8ulr_HL,protenix,d1746,seed0,8ulr_hl_sample_1.cif,0.011,0.2472,0.3708,89
8ulr_HL,protenix,d1746,seed0,8ulr_hl_sample_2.cif,0.009,0.0,0.0,82
8ulr_HL,protenix,d1746,seed0,8ulr_hl_sample_3.cif,0.008,0.0,0.0102,98
8ulr_HL,protenix,d1746,seed0,8ulr_hl_sample_4.cif,0.009,0.0,0.0,83
8ulr_HL,protenix,d1746,seed1,8ulr_hl_sample_0.cif,0.011,0.2581,0.3763,93
8ulr_HL,protenix,d1746,seed1,8ulr_hl_sample_1.cif,0.012,0.3077,0.4487,78
8ulr_HL,protenix,d1746,seed1,8ulr_hl_sample_2.cif,0.011,0.2614,0.375,88
8ulr_HL,protenix,d1746,seed1,8ulr_hl_sample_3.cif,0.01,0.2473,0.3763,93
8ulr_HL,protenix,d1746,seed1,8ulr_hl_sample_4.cif,0.01,0.2747,0.3626,91
8ulr_HL,protenix,d1746,seed2,8ulr_hl_sample_0.cif,0.049,0.144,0.28,125
8ulr_HL,protenix,d1746,seed2,8ulr_hl_sample_1.cif,0.037,0.1491,0.2982,114
8ulr_HL,protenix,d1746,seed2,8ulr_hl_sample_2.cif,0.009,0.0,0.0,71
8ulr_HL,protenix,d1746,seed2,8ulr_hl_sample_3.cif,0.008,0.0,0.0,60
8ulr_HL,protenix,d1746,seed2,8ulr_hl_sample_4.cif,0.007,0.0,0.1,90
8txu_HL,boltz,d413,seed0,input_model_0.cif,0.002,0.0,1.0,19
8txu_HL,boltz,d413,seed0,input_model_1.cif,0.003,0.0,1.0,25
8txu_HL,boltz,d413,seed0,input_model_2.cif,0.003,0.0,1.0,20
8txu_HL,boltz,d413,seed0,input_model_3.cif,0.003,0.0,1.0,25
8txu_HL,boltz,d413,seed0,input_model_4.cif,0.003,0.0,1.0,14
8txu_HL,boltz,d413,seed1,input_model_0.cif,0.002,0.0,1.0,16
8txu_HL,boltz,d413,seed1,input_model_1.cif,0.003,0.0,1.0,17
8txu_HL,boltz,d413,seed1,input_model_2.cif,0.002,0.0,1.0,24
8txu_HL,boltz,d413,seed1,input_model_3.cif,0.003,0.0,1.0,23
8txu_HL,boltz,d413,seed1,input_model_4.cif,0.003,0.0,1.0,19
8txu_HL,boltz,d413,seed2,input_model_0.cif,0.002,0.0,1.0,18
8txu_HL,boltz,d413,seed2,input_model_1.cif,0.056,0.28,0.08,25
8txu_HL,boltz,d413,seed2,input_model_2.cif,0.065,0.3478,0.0435,23
8txu_HL,boltz,d413,seed2,input_model_3.cif,0.05,0.3043,0.0435,23
8txu_HL,boltz,d413,seed2,input_model_4.cif,0.006,0.0,1.0,14
8txu_HL,boltz,d413,seed3,input_model_0.cif,0.002,0.0,1.0,18
8txu_HL,boltz,d413,seed3,input_model_1.cif,0.063,0.3077,0.0385,26
8txu_HL,boltz,d413,seed3,input_model_2.cif,0.003,0.0,1.0,23
8txu_HL,boltz,d413,seed3,input_model_3.cif,0.003,0.0,1.0,22
8txu_HL,boltz,d413,seed3,input_model_4.cif,0.003,0.0,1.0,26
8txu_HL,boltz,d413,seed4,input_model_0.cif,0.003,0.0,1.0,21
8txu_HL,boltz,d413,seed4,input_model_1.cif,0.069,0.2667,0.0667,30
8txu_HL,boltz,d413,seed4,input_model_2.cif,0.056,0.2857,0.0476,21
8txu_HL,boltz,d413,seed4,input_model_3.cif,0.055,0.3,0.05,20
8txu_HL,boltz,d413,seed4,input_model_4.cif,0.008,0.0,0.0,13
8txu_HL,boltz,d413,seed5,input_model_0.cif,0.003,0.0,1.0,23
8txu_HL,boltz,d413,seed5,input_model_1.cif,0.607,0.9474,0.0,19
8txu_HL,boltz,d413,seed5,input_model_2.cif,0.003,0.0,1.0,23
8txu_HL,boltz,d413,seed5,input_model_3.cif,0.006,0.0,0.6875,16
8txu_HL,boltz,d413,seed5,input_model_4.cif,0.003,0.0,1.0,26
8txu_HL,boltz,d413,seed6,input_model_0.cif,0.002,0.0,1.0,18
8txu_HL,boltz,d413,seed6,input_model_1.cif,0.002,0.0,1.0,15
8txu_HL,boltz,d413,seed6,input_model_2.cif,0.003,0.0,1.0,24
8txu_HL,boltz,d413,seed6,input_model_3.cif,0.003,0.0,1.0,26
8txu_HL,boltz,d413,seed6,input_model_4.cif,0.003,0.0,1.0,15
8txu_HL,boltz,d413,seed7,input_model_0.cif,0.01,0.0,0.0,17
8txu_HL,boltz,d413,seed7,input_model_1.cif,0.002,0.0,1.0,18
8txu_HL,boltz,d413,seed7,input_model_2.cif,0.003,0.0,1.0,27
8txu_HL,boltz,d413,seed7,input_model_3.cif,0.057,0.3333,0.0476,21
8txu_HL,boltz,d413,seed7,input_model_4.cif,0.002,0.0,1.0,16
9y0a_AB,boltz,d35,seed0,input_model_0.cif,0.032,0.0769,,13
9y0a_AB,boltz,d35,seed0,input_model_1.cif,0.658,0.75,,20
9y0a_AB,boltz,d35,seed0,input_model_2.cif,0.749,0.7895,,19
9y0a_AB,boltz,d35,seed0,input_model_3.cif,0.599,0.7368,,19
9y0a_AB,boltz,d35,seed0,input_model_4.cif,0.061,0.0,,17
9y0a_AB,boltz,d35,seed1,input_model_0.cif,0.048,0.0,,29
9y0a_AB,boltz,d35,seed1,input_model_1.cif,0.05,0.0,,26
9y0a_AB,boltz,d35,seed1,input_model_2.cif,0.046,0.0,,28
9y0a_AB,boltz,d35,seed1,input_model_3.cif,0.053,0.0455,,22
9y0a_AB,boltz,d35,seed1,input_model_4.cif,0.047,0.0,,15
9y0a_AB,boltz,d35,seed2,input_model_0.cif,0.046,0.0,,25
9y0a_AB,boltz,d35,seed2,input_model_1.cif,0.05,0.0,,25
9y0a_AB,boltz,d35,seed2,input_model_2.cif,0.047,0.0,,24
9y0a_AB,boltz,d35,seed2,input_model_3.cif,0.053,0.0,,26
9y0a_AB,boltz,d35,seed2,input_model_4.cif,0.036,0.0,,22
