target,group,stratum,het_p,perm_p,n_cand,best_cover,full_cover,dq_succ,dq_het,scored
8k3k_D,RBD,poor,0.0013,0.0005,2,0.9615,0.1154,0,1.0,True
8k46_I,RBD,poor,0.0309,0.0005,3,0.72,0.24,0,1.0,True
8k5g_HL,RBD,poor,0.4941,0.01249,1,1.0,1.0,3.0,0.1304,True
8k5h_HL,RBD,poor,0.0003,0.0055,1,1.0,1.0,1.0,1.0,True
8kep_HL,RBD,poor,0.1304,0.0005,1,1.0,1.0,0,1.0,True
8q7s_C,RBD,poor,1.0,0.0005,1,1.0,1.0,0,1.0,True
8q7s_H,RBD,poor,1.0,0.0005,1,0.5769,0.5769,0,1.0,True
8q7s_O,RBD,poor,1.0,0.0005,1,1.0,1.0,0,1.0,True
8siq_HL,RBD,poor,0.0457,0.0005,7,0.8148,0.5926,0,1.0,True
8sis_HL,RBD,poor,0.1116,0.0005,2,1.0,1.0,0,1.0,True
8sit_HL,RBD,poor,1.0,0.01149,2,0.8966,0.1034,0,1.0,True
8t4a_PR,Env,rich,1.0,0.001,4,1.0,0.875,0,1.0,True
8t4d_OQ,Env,rich,1.0,0.0005,4,1.0,0.64,0,1.0,True
8tp5_HL,HA,rich,0.0787,0.0005,4,0.8519,0.6296,0,1.0,True
8u44_ST,HA,rich,0.5286,0.29385,2,0.7742,0.7742,0,1.0,True
8ume_HL,HA,rich,0.083,0.02849,5,0.9545,0.2273,0,1.0,True
8xsi_HL,RBD,poor,1.0,0.0005,1,0,0.0,0,1.0,True
9azr_HL,HA,rich,0.6386,0.06297,2,0.9583,0.9583,0,1.0,True
9azt_HL,HA,rich,1.0,0.0005,7,0.875,0.875,0,1.0,True
9azv_HL,HA,rich,1.0,0.0005,5,0.9583,0.9583,0,1.0,True
9b7g_QP,HA,rich,1.0,0.0005,1,1.0,1.0,0,1.0,True
9bdg_FI,HA,rich,0.8554,0.24338,1,0.8276,0.8276,0,1.0,True
9kkj_HL,C,rich,0.083,0.04248,1,1.0,1.0,0,1.0,True
9ml9_HL,RBD,poor,0.3676,0.0005,1,0.9583,0.9583,0,1.0,True
9mqr_DE,C,rich,0.0028,0.0005,5,1.0,0.5,0,1.0,True
9w43_AB,C,rich,1.0,0.0005,2,0.4091,0.4091,0,1.0,True
9y0a_AB,C,rich,1.0,0.12844,1,0.5,0.5,0,1.0,True
9yc6_HL,C,rich,1.0,0.007,1,0.8889,0.8889,0,1.0,True
9zdu_HL,RBD,poor,0.0122,0.0015,2,1.0,1.0,0,1.0,True
