group,a,b,i,j,ag_ident,true_jac,pred_jac,ab_seqid,blocked,drop_true,drop_pred
Env,8t4a_PR,8t4d_OQ,0,1,1.0,0.5185,0.2609,0.6,1,0,0
Env,8t4a_PR,8ulr_HL,0,2,0.933,0.0,0.0,0.4386,0,0,0
Env,8t4d_OQ,8ulr_HL,1,2,0.933,0.0,0.0,0.6701,0,0,0
HA,8tp5_HL,8u44_ST,0,1,0.96,0.0,0.0,0.6129,0,0,0
HA,8tp5_HL,8ume_HL,0,2,0.533,0.0,0.0,0.5236,0,0,0
HA,8tp5_HL,9azr_HL,0,3,0.953,0.4167,0.6452,0.6197,1,0,0
HA,8tp5_HL,9azt_HL,0,4,0.948,0.5,0.5263,0.67,1,0,0
HA,8tp5_HL,9azv_HL,0,5,0.948,0.4571,0.0192,0.67,1,0,0
HA,8u44_ST,8ume_HL,1,2,0.527,0.0323,0.0,0.6133,0,21,18
HA,9azr_HL,9azt_HL,3,4,0.995,0.8462,0.5143,0.946,1,0,0
HA,9azr_HL,9azv_HL,3,5,0.995,0.92,0.0,0.9451,1,0,0
HA,9azr_HL,9bdg_FI,3,7,0.5,0.0,0.0,0.4947,0,22,22
HA,9azt_HL,9azv_HL,4,5,1.0,0.8462,0.1957,1.0,1,0,0
HA,9azt_HL,9bdg_FI,4,7,0.5,0.0,0.0,0.4632,0,22,23
HA,9azv_HL,9bdg_FI,5,7,0.5,0.0,0.0,0.4632,0,22,16
HA,9b7g_QP,9bdg_FI,6,7,0.951,0.0185,0.2857,0.6364,0,0,0
RBD,8k3k_D,8k46_I,0,1,0.954,0.7586,0.6667,1.0,1,0,0
RBD,8k3k_D,8k5g_HL,0,2,0.995,0.0,0.5588,0.5614,0,0,0
RBD,8k3k_D,8k5h_HL,0,3,0.995,0.0,0.4138,0.5614,0,0,1
RBD,8k3k_D,8kep_HL,0,4,0.995,0.0,0.6216,0.5088,0,0,0
RBD,8k3k_D,8q7s_C,0,5,0.915,0.02,0.6111,0.625,0,0,0
RBD,8k3k_D,8q7s_H,0,6,0.913,0.625,0.0,0.6842,1,0,0
RBD,8k3k_D,8q7s_O,0,7,0.913,0.0204,0.5833,0.625,0,0,0
RBD,8k46_I,8k5g_HL,1,2,0.955,0.0,0.6562,0.5536,0,0,0
RBD,8k46_I,8k5h_HL,1,3,0.963,0.0,0.4138,0.5536,0,0,1
RBD,8k46_I,8kep_HL,1,4,0.954,0.0,0.6216,0.5088,0,0,0
RBD,8k46_I,8q7s_C,1,5,0.904,0.0,0.7059,0.625,0,0,0
RBD,8k46_I,8q7s_H,1,6,0.902,0.5,0.0,0.6842,1,0,0
RBD,8k46_I,8q7s_O,1,7,0.902,0.0,0.6765,0.625,0,0,0
RBD,8k5g_HL,8k5h_HL,2,3,1.0,0.875,0.5217,1.0,1,0,0
RBD,8k5g_HL,8kep_HL,2,4,1.0,0.5652,0.5588,0.8609,1,0,0
RBD,8k5g_HL,8q7s_C,2,5,0.915,0.25,0.7586,0.5303,1,0,0
RBD,8k5g_HL,8q7s_H,2,6,0.913,0.0,0.0,0.5,0,0,0
RBD,8k5g_HL,8q7s_O,2,7,0.913,0.2581,0.7857,0.5373,1,0,0
RBD,8k5h_HL,8kep_HL,3,4,1.0,0.6364,0.4,0.8603,1,0,0
RBD,8k5h_HL,8q7s_C,3,5,0.919,0.2121,0.4286,0.5303,1,0,0
RBD,8k5h_HL,8q7s_H,3,6,0.918,0.0,0.0,0.5,0,0,0
RBD,8k5h_HL,8q7s_O,3,7,0.917,0.2188,0.4444,0.5373,1,0,0
RBD,8kep_HL,8q7s_C,4,5,0.915,0.2432,0.6571,0.6364,1,0,0
RBD,8kep_HL,8q7s_H,4,6,0.913,0.0,0.0,0.4479,0,0,0
RBD,8kep_HL,8q7s_O,4,7,0.913,0.25,0.6286,0.6444,1,0,0
RBD,8q7s_C,8q7s_H,5,6,1.0,0.02,0.0,0.6842,0,0,0
RBD,8q7s_C,8q7s_O,5,7,1.0,0.96,0.8966,1.0,1,0,0
RBD,8q7s_H,8q7s_O,6,7,1.0,0.0204,0.0,0.6875,0,0,0
