target,band,dq_no,dq_ours,delta,cand,n_cand,n_res,n_true,n_comp,cov,prec,best_cand,best_cov,from_full_msa,rec_no,rec_ours,perm_p,why
8sit_HL,이미성공,0.808,0.026,-0.782,1,4,27,29,4,0.035,0.037,4,0.759,True,0.926,0.235,0.02499,선택실패
9ml9_HL,이미성공,0.692,0.024,-0.668,1,1,37,24,7,0.25,0.162,1,0.25,True,0.952,0.08,0.04248,생성실패
8kep_HL,이미성공,0.667,0.372,-0.295,1,1,44,21,7,0.571,0.273,1,0.571,True,0.905,0.545,0.001,제약방해
9azt_HL,애매,0.216,0.021,-0.195,7,7,45,24,1,0.042,0.022,2,0.625,True,0.75,0.0,0.0005,선택실패
8t4a_PR,애매,0.19,0.01,-0.18,7,7,70,16,1,0.812,0.186,3,1.0,True,0.48,0.0,0.001,선택실패
9azv_HL,애매,0.207,0.044,-0.163,2,5,42,24,2,0.042,0.024,5,0.917,False,0.76,0.08,0.01549,선택실패
8siq_HL,애매,0.159,0.027,-0.132,7,7,35,27,1,0.37,0.286,3,0.741,True,0.5,0.219,0.0005,선택실패
8t4d_OQ,애매,0.138,0.039,-0.099,1,7,59,25,1,0.72,0.305,4,0.88,False,0.682,0.276,0.0005,선택실패
8u44_ST,이미성공,0.248,0.197,-0.051,1,3,32,31,3,0.548,0.531,1,0.548,True,0.955,0.941,0.26037,제약방해
8ulr_HL,이미성공,0.844,0.793,-0.051,2,3,40,30,3,0.9,0.675,2,0.9,False,0.9,0.882,0.0005,제약방해
9azr_HL,애매,0.216,0.166,-0.05,1,3,26,24,5,0.75,0.692,1,0.75,True,0.667,0.656,0.006,제약방해
8q7s_O,이미성공,0.886,0.842,-0.044,2,2,44,24,1,0.75,0.409,1,0.833,False,0.958,0.958,0.0005,제약방해
8q7s_C,이미성공,0.915,0.878,-0.037,1,2,26,25,6,0.8,0.769,1,0.8,True,0.962,0.96,0.0015,제약방해
8k5g_HL,이미성공,0.829,0.811,-0.018,1,1,27,15,7,0.733,0.407,1,0.733,True,0.867,0.778,0.01699,무변화
8k5h_HL,이미성공,0.842,0.829,-0.013,1,2,37,15,6,0.8,0.324,1,0.8,True,0.867,0.867,0.0005,무변화
9bdg_FI,매우낮음,0.036,0.023,-0.013,1,3,28,29,5,0.138,0.143,2,0.276,True,0.238,0.111,0.01649,생성실패
9kkj_HL,매우낮음,0.062,0.05,-0.012,1,1,29,23,7,0.391,0.31,1,0.391,True,0.786,0.471,0.25287,생성실패
9w43_AB,매우낮음,0.121,0.115,-0.006,2,2,16,22,1,0.045,0.062,1,0.227,False,0.579,0.783,0.0005,생성실패
9mqr_DE,매우낮음,0.009,0.007,-0.002,1,3,23,28,5,0.0,0.0,2,0.893,False,0.217,0.0,0.0025,선택실패
9y0a_AB,매우낮음,0.062,0.064,0.002,1,1,24,18,7,0.222,0.167,1,0.222,True,0.059,0.174,0.84308,생성실패
8k3k_D,매우낮음,0.009,0.013,0.004,1,2,22,26,5,0.038,0.045,2,0.615,True,0.033,0.125,0.0005,선택실패
8xsi_HL,매우낮음,0.026,0.03,0.004,1,3,26,18,5,0.0,0.0,2,0.333,True,0.0,0.0,0.0025,생성실패
8k46_I,매우낮음,0.009,0.015,0.006,1,2,33,25,6,0.08,0.061,1,0.08,True,0.032,0.038,0.0005,생성실패
9yc6_HL,매우낮음,0.027,0.071,0.044,1,1,55,18,7,0.667,0.218,1,0.667,True,0.174,0.208,0.009,이득
8ume_HL,매우낮음,0.027,0.109,0.082,1,4,23,22,2,0.727,0.696,1,0.727,False,0.393,0.615,0.02899,이득
8tp5_HL,매우낮음,0.072,0.217,0.145,2,3,33,27,1,0.852,0.697,2,0.852,False,0.708,0.769,0.002,이득
9b7g_QP,이미성공,0.498,0.681,0.183,1,2,30,26,6,0.923,0.8,1,0.923,True,0.826,0.846,0.0005,이득
8sis_HL,매우낮음,0.034,0.315,0.281,2,3,42,27,2,0.852,0.548,2,0.852,False,0.154,0.741,0.0005,이득
9zdu_HL,이미성공,0.577,0.863,0.286,1,1,56,26,7,0.885,0.411,1,0.885,True,0.885,0.893,0.0075,이득
8q7s_H,매우낮음,0.014,0.327,0.313,1,3,32,26,5,0.577,0.469,1,0.577,False,0.15,0.867,0.0005,이득
