path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed0_r1,9yc6_hl_sample_1.cif,0.04471
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed0_r1,9yc6_hl_sample_4.cif,0.12607
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed0_r2,9yc6_hl_sample_2.cif,0.18885
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed0_r2,9yc6_hl_sample_1.cif,0.15838
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed0_r0,9yc6_hl_sample_2.cif,0.1033
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed0_r1,9yc6_hl_sample_3.cif,0.03654
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed0_r1,9yc6_hl_sample_2.cif,0.22369
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed0_r2,9yc6_hl_sample_0.cif,0.15747
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed0_r0,9yc6_hl_sample_4.cif,0.08912
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed0_r2,9yc6_hl_sample_4.cif,0.21223
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed0_r0,9yc6_hl_sample_0.cif,0.0423
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed0_r3,9yc6_hl_sample_2.cif,0.16215
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed0_r0,9yc6_hl_sample_1.cif,0.03033
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed0_r3,9yc6_hl_sample_0.cif,0.23944
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed0_r3,9yc6_hl_sample_3.cif,0.08353
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed0_r3,9yc6_hl_sample_4.cif,0.18123
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed0_r0,9yc6_hl_sample_3.cif,0.10513
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed0_r3,9yc6_hl_sample_1.cif,0.14662
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed0_r2,9yc6_hl_sample_3.cif,0.14325
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed0_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed0_r1,9yc6_hl_sample_0.cif,0.10894
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed1_r1,9yc6_hl_sample_4.cif,0.20514
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed1_r3,9yc6_hl_sample_2.cif,0.12444
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed1_r3,9yc6_hl_sample_4.cif,0.27873
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed1_r3,9yc6_hl_sample_0.cif,0.10959
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed1_r0,9yc6_hl_sample_2.cif,0.20424
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed1_r3,9yc6_hl_sample_3.cif,0.12196
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed1_r1,9yc6_hl_sample_2.cif,0.22682
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed1_r2,9yc6_hl_sample_4.cif,0.25182
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed1_r0,9yc6_hl_sample_1.cif,0.22691
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed1_r3,9yc6_hl_sample_1.cif,0.13245
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed1_r2,9yc6_hl_sample_3.cif,0.065
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed1_r2,9yc6_hl_sample_2.cif,0.12227
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed1_r1,9yc6_hl_sample_1.cif,0.36035
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed1_r0,9yc6_hl_sample_4.cif,0.07331
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed1_r2,9yc6_hl_sample_0.cif,0.18017
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed1_r1,9yc6_hl_sample_3.cif,0.09578
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed1_r0,9yc6_hl_sample_3.cif,0.18975
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed1_r2,9yc6_hl_sample_1.cif,0.18784
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed1_r1,9yc6_hl_sample_0.cif,0.12693
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed1_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed1_r0,9yc6_hl_sample_0.cif,0.12817
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed2_r2,9yc6_hl_sample_2.cif,0.18408
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed2_r0,9yc6_hl_sample_1.cif,0.23796
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed2_r1,9yc6_hl_sample_1.cif,0.1932
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed2_r1,9yc6_hl_sample_4.cif,0.19297
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed2_r2,9yc6_hl_sample_3.cif,0.2825
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed2_r0,9yc6_hl_sample_2.cif,0.15098
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed2_r3,9yc6_hl_sample_2.cif,0.1759
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed2_r3,9yc6_hl_sample_1.cif,0.12256
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed2_r3,9yc6_hl_sample_3.cif,0.13192
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed2_r1,9yc6_hl_sample_2.cif,0.20312
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed2_r2,9yc6_hl_sample_1.cif,0.17847
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed2_r2,9yc6_hl_sample_0.cif,0.13554
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed2_r1,9yc6_hl_sample_0.cif,0.23611
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed2_r3,9yc6_hl_sample_0.cif,0.12518
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed2_r0,9yc6_hl_sample_3.cif,0.23674
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed2_r3,9yc6_hl_sample_4.cif,0.12388
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed2_r0,9yc6_hl_sample_0.cif,0.24747
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed2_r1,9yc6_hl_sample_3.cif,0.21088
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed2_r2,9yc6_hl_sample_4.cif,0.10814
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed2_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed2_r0,9yc6_hl_sample_4.cif,0.11502
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed3_r1,9yc6_hl_sample_4.cif,0.08498
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed3_r3,9yc6_hl_sample_4.cif,0.24786
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed3_r0,9yc6_hl_sample_0.cif,0.10919
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed3_r3,9yc6_hl_sample_2.cif,0.10769
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed3_r2,9yc6_hl_sample_3.cif,0.19962
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed3_r2,9yc6_hl_sample_4.cif,0.09352
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed3_r0,9yc6_hl_sample_3.cif,0.13832
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_0.cif,9yc6_HL,seed3_r2,9yc6_hl_sample_0.cif,0.05489
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed3_r1,9yc6_hl_sample_3.cif,0.17841
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed3_r0,9yc6_hl_sample_1.cif,0.12224
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed3_r2,9yc6_hl_sample_2.cif,0.08704
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_4.cif,9yc6_HL,seed3_r0,9yc6_hl_sample_4.cif,0.0363
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_3.cif,9yc6_HL,seed3_r3,9yc6_hl_sample_3.cif,0.11103
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed3_r1,9yc6_hl_sample_2.cif,0.2175
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r3/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed3_r3,9yc6_hl_sample_1.cif,0.09901
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r2/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed3_r2,9yc6_hl_sample_1.cif,0.14657
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r1/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_1.cif,9yc6_HL,seed3_r1,9yc6_hl_sample_1.cif,0.1052
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9yc6_HL/d611/seed3_r0/results/9yc6_hl/seed_0/predictions/9yc6_hl_sample_2.cif,9yc6_HL,seed3_r0,9yc6_hl_sample_2.cif,0.14791
