model,target,group,ab,full,best,best_rung,best_neff,shape,kind
boltz,8txu_HL,HA,B,0.055,0.534,1,38.1,deep-better,model_rescue
boltz,8y6a_CD,RBD,B,0.042,0.804,9,2.0,shallow-better,model_rescue
boltz,9b7g_QP,HA,A,0.115,0.631,10,1.0,shallow-better,model_rescue
boltz,9y0a_AB,C,C,0.061,0.724,6,28.0,mid-peak(sweet-spot),model_rescue
protenix,8ulr_HL,Env,A,0.013,0.662,2,701.8,deep-better,model_rescue
protenix,9azr_HL,HA,A,0.076,0.492,4,28.3,mid-peak(sweet-spot),model_rescue
boltz,8txu_HL,HA,B,0.03,0.534,,,both-full-fail,strong_rescue
boltz,8y6a_CD,RBD,B,0.024,0.804,,,both-full-fail,strong_rescue
protenix,9azr_HL,HA,A,0.076,0.492,,,both-full-fail,strong_rescue
boltz,9y0a_AB,C,C,0.06,0.724,,,both-full-fail,strong_rescue
