target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8q7s_H,protenix,d55,seed0_r0,8q7s_h_sample_0.cif,0.042,0.4667,0.0,30
8q7s_H,protenix,d55,seed0_r0,8q7s_h_sample_1.cif,0.04,0.4167,0.0,36
8q7s_H,protenix,d55,seed0_r0,8q7s_h_sample_2.cif,0.04,0.375,0.0,40
8q7s_H,protenix,d55,seed0_r0,8q7s_h_sample_3.cif,0.037,0.4545,0.0,33
8q7s_H,protenix,d55,seed0_r0,8q7s_h_sample_4.cif,0.031,0.4054,0.0,37
8q7s_H,protenix,d55,seed0_r1,8q7s_h_sample_0.cif,0.042,0.4,0.0,35
8q7s_H,protenix,d55,seed0_r1,8q7s_h_sample_1.cif,0.045,0.4118,0.0,34
8q7s_H,protenix,d55,seed0_r1,8q7s_h_sample_2.cif,0.043,0.4839,0.0,31
8q7s_H,protenix,d55,seed0_r1,8q7s_h_sample_3.cif,0.019,0.1765,0.0,17
8q7s_H,protenix,d55,seed0_r1,8q7s_h_sample_4.cif,0.014,0.15,0.0,20
8q7s_H,protenix,d55,seed0_r2,8q7s_h_sample_0.cif,0.034,0.359,0.0,39
8q7s_H,protenix,d55,seed0_r2,8q7s_h_sample_1.cif,0.035,0.4138,0.0,29
8q7s_H,protenix,d55,seed0_r2,8q7s_h_sample_2.cif,0.043,0.4118,0.0,34
8q7s_H,protenix,d55,seed0_r2,8q7s_h_sample_3.cif,0.043,0.5,0.0,30
8q7s_H,protenix,d55,seed0_r2,8q7s_h_sample_4.cif,0.014,0.15,0.0,20
8q7s_H,protenix,d55,seed0_r3,8q7s_h_sample_0.cif,0.057,0.4412,0.0,34
8q7s_H,protenix,d55,seed0_r3,8q7s_h_sample_1.cif,0.039,0.4118,0.0,34
8q7s_H,protenix,d55,seed0_r3,8q7s_h_sample_2.cif,0.035,0.44,0.0,25
8q7s_H,protenix,d55,seed0_r3,8q7s_h_sample_3.cif,0.019,0.1765,0.0,17
8q7s_H,protenix,d55,seed0_r3,8q7s_h_sample_4.cif,0.019,0.1875,0.0,16
8q7s_H,protenix,d55,seed1_r0,8q7s_h_sample_0.cif,0.035,0.3846,0.0,39
8q7s_H,protenix,d55,seed1_r0,8q7s_h_sample_1.cif,0.036,0.3784,0.0,37
8q7s_H,protenix,d55,seed1_r0,8q7s_h_sample_2.cif,0.032,0.3333,0.0,39
8q7s_H,protenix,d55,seed1_r0,8q7s_h_sample_3.cif,0.052,0.4054,0.0,37
8q7s_H,protenix,d55,seed1_r0,8q7s_h_sample_4.cif,0.04,0.3947,0.0,38
8q7s_H,protenix,d55,seed1_r1,8q7s_h_sample_0.cif,0.035,0.4054,0.0,37
8q7s_H,protenix,d55,seed1_r1,8q7s_h_sample_1.cif,0.052,0.4054,0.0,37
8q7s_H,protenix,d55,seed1_r1,8q7s_h_sample_2.cif,0.033,0.3889,0.0,36
8q7s_H,protenix,d55,seed1_r1,8q7s_h_sample_3.cif,0.041,0.3846,0.0,39
8q7s_H,protenix,d55,seed1_r1,8q7s_h_sample_4.cif,0.046,0.4054,0.0,37
8q7s_H,protenix,d55,seed1_r2,8q7s_h_sample_0.cif,0.032,0.359,0.0,39
8q7s_H,protenix,d55,seed1_r2,8q7s_h_sample_1.cif,0.052,0.4054,0.0,37
8q7s_H,protenix,d55,seed1_r2,8q7s_h_sample_2.cif,0.04,0.3947,0.0,38
8q7s_H,protenix,d55,seed1_r2,8q7s_h_sample_3.cif,0.036,0.35,0.0,40
8q7s_H,protenix,d55,seed1_r2,8q7s_h_sample_4.cif,0.051,0.4516,0.0,31
8q7s_H,protenix,d55,seed1_r3,8q7s_h_sample_0.cif,0.04,0.4688,0.0,32
8q7s_H,protenix,d55,seed1_r3,8q7s_h_sample_1.cif,0.042,0.4286,0.0,35
8q7s_H,protenix,d55,seed1_r3,8q7s_h_sample_2.cif,0.039,0.3846,0.0,39
8q7s_H,protenix,d55,seed1_r3,8q7s_h_sample_3.cif,0.048,0.3784,0.0,37
8q7s_H,protenix,d55,seed1_r3,8q7s_h_sample_4.cif,0.016,0.0333,0.8667,30
8q7s_H,protenix,d55,seed2_r0,8q7s_h_sample_0.cif,0.048,0.4516,0.0,31
8q7s_H,protenix,d55,seed2_r0,8q7s_h_sample_1.cif,0.047,0.4839,0.0,31
8q7s_H,protenix,d55,seed2_r0,8q7s_h_sample_2.cif,0.042,0.4688,0.0,32
8q7s_H,protenix,d55,seed2_r0,8q7s_h_sample_3.cif,0.039,0.4688,0.0,32
8q7s_H,protenix,d55,seed2_r0,8q7s_h_sample_4.cif,0.018,0.0,0.9545,22
8q7s_H,protenix,d55,seed2_r1,8q7s_h_sample_0.cif,0.037,0.4483,0.0,29
8q7s_H,protenix,d55,seed2_r1,8q7s_h_sample_1.cif,0.037,0.4118,0.0,34
8q7s_H,protenix,d55,seed2_r1,8q7s_h_sample_2.cif,0.039,0.3889,0.0,36
8q7s_H,protenix,d55,seed2_r1,8q7s_h_sample_3.cif,0.04,0.5,0.0,26
8q7s_H,protenix,d55,seed2_r1,8q7s_h_sample_4.cif,0.017,0.0,0.9444,18
8q7s_H,protenix,d55,seed2_r2,8q7s_h_sample_0.cif,0.042,0.4516,0.0,31
8q7s_H,protenix,d55,seed2_r2,8q7s_h_sample_1.cif,0.038,0.4667,0.0,30
8q7s_H,protenix,d55,seed2_r2,8q7s_h_sample_2.cif,0.04,0.4667,0.0,30
8q7s_H,protenix,d55,seed2_r2,8q7s_h_sample_3.cif,0.018,0.0357,0.8214,28
8q7s_H,protenix,d55,seed2_r2,8q7s_h_sample_4.cif,0.016,0.0,1.0,13
8q7s_H,protenix,d55,seed2_r3,8q7s_h_sample_0.cif,0.042,0.4516,0.0,31
8q7s_H,protenix,d55,seed2_r3,8q7s_h_sample_1.cif,0.038,0.4516,0.0,31
8q7s_H,protenix,d55,seed2_r3,8q7s_h_sample_2.cif,0.04,0.4828,0.0,29
8q7s_H,protenix,d55,seed2_r3,8q7s_h_sample_3.cif,0.043,0.4595,0.0,37
8q7s_H,protenix,d55,seed2_r3,8q7s_h_sample_4.cif,0.017,0.0,0.9231,13
8q7s_H,protenix,d55,seed3_r0,8q7s_h_sample_0.cif,0.052,0.4054,0.0,37
8q7s_H,protenix,d55,seed3_r0,8q7s_h_sample_1.cif,0.038,0.3409,0.0,44
8q7s_H,protenix,d55,seed3_r0,8q7s_h_sample_2.cif,0.051,0.4286,0.0,35
8q7s_H,protenix,d55,seed3_r0,8q7s_h_sample_3.cif,0.038,0.4412,0.0,34
8q7s_H,protenix,d55,seed3_r0,8q7s_h_sample_4.cif,0.035,0.4054,0.0,37
8q7s_H,protenix,d55,seed3_r1,8q7s_h_sample_0.cif,0.053,0.3684,0.0,38
8q7s_H,protenix,d55,seed3_r1,8q7s_h_sample_1.cif,0.04,0.3571,0.0,42
8q7s_H,protenix,d55,seed3_r1,8q7s_h_sample_2.cif,0.051,0.3947,0.0,38
8q7s_H,protenix,d55,seed3_r1,8q7s_h_sample_3.cif,0.042,0.4054,0.0,37
8q7s_H,protenix,d55,seed3_r1,8q7s_h_sample_4.cif,0.015,0.1111,0.963,27
8q7s_H,protenix,d55,seed3_r2,8q7s_h_sample_0.cif,0.052,0.4054,0.0,37
8q7s_H,protenix,d55,seed3_r2,8q7s_h_sample_1.cif,0.036,0.4167,0.0,36
8q7s_H,protenix,d55,seed3_r2,8q7s_h_sample_2.cif,0.051,0.3947,0.0,38
8q7s_H,protenix,d55,seed3_r2,8q7s_h_sample_3.cif,0.038,0.3409,0.0,44
8q7s_H,protenix,d55,seed3_r2,8q7s_h_sample_4.cif,0.037,0.325,0.0,40
8q7s_H,protenix,d55,seed3_r3,8q7s_h_sample_0.cif,0.052,0.4054,0.0,37
8q7s_H,protenix,d55,seed3_r3,8q7s_h_sample_1.cif,0.051,0.3947,0.0,38
8q7s_H,protenix,d55,seed3_r3,8q7s_h_sample_2.cif,0.033,0.3415,0.0,41
8q7s_H,protenix,d55,seed3_r3,8q7s_h_sample_3.cif,0.038,0.3409,0.0,44
8q7s_H,protenix,d55,seed3_r3,8q7s_h_sample_4.cif,0.044,0.5357,0.0,28
8q7s_H,protenix,d55,seed4_r0,8q7s_h_sample_0.cif,0.04,0.3846,0.0,39
8q7s_H,protenix,d55,seed4_r0,8q7s_h_sample_1.cif,0.041,0.3889,0.0,36
8q7s_H,protenix,d55,seed4_r0,8q7s_h_sample_2.cif,0.039,0.4545,0.0,33
8q7s_H,protenix,d55,seed4_r0,8q7s_h_sample_3.cif,0.045,0.3529,0.0,34
8q7s_H,protenix,d55,seed4_r0,8q7s_h_sample_4.cif,0.012,0.0,0.9545,22
8q7s_H,protenix,d55,seed4_r1,8q7s_h_sample_0.cif,0.041,0.3947,0.0,38
8q7s_H,protenix,d55,seed4_r1,8q7s_h_sample_1.cif,0.035,0.4286,0.0,35
8q7s_H,protenix,d55,seed4_r1,8q7s_h_sample_2.cif,0.047,0.4286,0.0,35
8q7s_H,protenix,d55,seed4_r1,8q7s_h_sample_3.cif,0.064,0.3226,0.0,31
8q7s_H,protenix,d55,seed4_r1,8q7s_h_sample_4.cif,0.013,0.0417,0.9583,24
8q7s_H,protenix,d55,seed4_r2,8q7s_h_sample_0.cif,0.041,0.4,0.0,35
8q7s_H,protenix,d55,seed4_r2,8q7s_h_sample_1.cif,0.042,0.4286,0.0,35
8q7s_H,protenix,d55,seed4_r2,8q7s_h_sample_2.cif,0.04,0.3846,0.0,39
8q7s_H,protenix,d55,seed4_r2,8q7s_h_sample_3.cif,0.065,0.3226,0.0,31
8q7s_H,protenix,d55,seed4_r2,8q7s_h_sample_4.cif,0.017,0.0312,0.9062,32
8q7s_H,protenix,d55,seed4_r3,8q7s_h_sample_0.cif,0.036,0.3947,0.0,38
8q7s_H,protenix,d55,seed4_r3,8q7s_h_sample_1.cif,0.047,0.4286,0.0,35
8q7s_H,protenix,d55,seed4_r3,8q7s_h_sample_2.cif,0.04,0.3659,0.0,41
8q7s_H,protenix,d55,seed4_r3,8q7s_h_sample_3.cif,0.064,0.3226,0.0,31
8q7s_H,protenix,d55,seed4_r3,8q7s_h_sample_4.cif,0.014,0.0,0.9615,26
8q7s_H,protenix,d55,seed5_r0,8q7s_h_sample_0.cif,0.051,0.3714,0.0,35
