target,n_cand,within,between,ratio,perm_p,best_recall,best_res,ncomp_recall,ncomp_res,significant,generated,picked
8k3k_D,2,0.7493,0.3948,1.898,0.0005,0.6154,47,0.0385,22,1,1,0
8k46_I,2,0.7112,0.4359,1.632,0.0005,0.08,33,0.08,33,1,0,0
8k5g_HL,1,0.4523,0.4002,1.13,0.01699,0.7333,27,0.7333,27,1,1,1
8k5h_HL,2,0.4532,0.363,1.249,0.0005,0.8,37,0.8,37,1,1,1
8kep_HL,1,0.5521,0.4691,1.177,0.001,0.5714,44,0.5714,44,1,1,1
8q7s_C,2,0.63,0.5228,1.205,0.0015,0.8,26,0.8,26,1,1,1
8q7s_H,3,0.5676,0.2873,1.976,0.0005,0.5769,32,0.5769,32,1,1,1
8q7s_O,2,0.6015,0.5055,1.19,0.0005,0.8333,27,0.8333,27,1,1,1
8siq_HL,7,0.4214,0.1692,2.49,0.0005,0.7407,71,0.3704,35,1,1,0
8sis_HL,3,0.4062,0.277,1.466,0.0005,0.8519,42,0.2593,47,1,1,0
8sit_HL,4,0.2985,0.241,1.239,0.02499,0.7586,70,0.0345,27,1,1,0
8t4a_PR,7,0.3012,0.227,1.327,0.001,1.0,83,0.9375,49,1,1,1
8t4d_OQ,7,0.361,0.2033,1.776,0.0005,0.88,124,0.52,47,1,1,1
8tp5_HL,3,0.4501,0.3236,1.391,0.002,0.8519,33,0.0,53,1,1,0
8u44_ST,3,0.2772,0.2619,1.058,0.26037,0.5484,32,0.0968,25,0,1,0
8ulr_HL,3,0.5655,0.3788,1.493,0.0005,0.9,40,0.7667,74,1,1,1
8ume_HL,4,0.1937,0.1259,1.539,0.02899,0.7273,23,0.0,22,1,1,0
8xsi_HL,3,0.4689,0.3375,1.389,0.0025,0.3333,56,0.0,26,1,0,0
9azr_HL,3,0.4182,0.2821,1.483,0.006,0.75,26,0.75,26,1,1,1
9azt_HL,7,0.2686,0.1863,1.442,0.0005,0.625,81,0.0417,45,1,1,0
9azv_HL,5,0.2987,0.2356,1.268,0.01549,0.9167,55,0.0417,42,1,1,0
9b7g_QP,2,0.506,0.4087,1.238,0.0005,0.9231,30,0.9231,30,1,1,1
9bdg_FI,3,0.4133,0.2999,1.378,0.01649,0.2759,30,0.1379,28,1,0,0
9kkj_HL,1,0.547,0.5294,1.033,0.25287,0.3913,29,0.3913,29,0,0,0
9ml9_HL,1,0.4226,0.3886,1.088,0.04248,0.25,37,0.25,37,1,0,0
9mqr_DE,3,0.4251,0.2939,1.446,0.0025,0.8929,56,0.0,23,1,1,0
9w43_AB,2,0.6044,0.4307,1.403,0.0005,0.2273,31,0.2273,31,1,0,0
9y0a_AB,1,0.4029,0.4346,0.927,0.84308,0.2222,24,0.2222,24,0,0,0
9yc6_HL,1,0.3796,0.315,1.205,0.009,0.6667,55,0.6667,55,1,1,1
9zdu_HL,1,0.5614,0.5039,1.114,0.0075,0.8846,56,0.8846,56,1,1,1
