target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8u44_ST,protenix,d413,seed0_r0,8u44_st_sample_0.cif,0.036,0.4043,0.0213,47
8u44_ST,protenix,d413,seed0_r0,8u44_st_sample_1.cif,0.04,0.3929,0.0357,56
8u44_ST,protenix,d413,seed0_r0,8u44_st_sample_2.cif,0.026,0.4259,0.0556,54
8u44_ST,protenix,d413,seed0_r0,8u44_st_sample_3.cif,0.032,0.4717,0.0377,53
8u44_ST,protenix,d413,seed0_r0,8u44_st_sample_4.cif,0.017,0.3438,0.5469,64
8u44_ST,protenix,d413,seed0_r1,8u44_st_sample_0.cif,0.048,0.4242,0.1515,33
8u44_ST,protenix,d413,seed0_r1,8u44_st_sample_1.cif,0.027,0.4255,0.2766,47
8u44_ST,protenix,d413,seed0_r1,8u44_st_sample_2.cif,0.025,0.4412,0.5,34
8u44_ST,protenix,d413,seed0_r1,8u44_st_sample_3.cif,0.044,0.375,0.0,24
8u44_ST,protenix,d413,seed0_r1,8u44_st_sample_4.cif,0.048,0.2857,0.0,35
8u44_ST,protenix,d413,seed0_r2,8u44_st_sample_0.cif,0.026,0.5294,0.0588,34
8u44_ST,protenix,d413,seed0_r2,8u44_st_sample_1.cif,0.027,0.6765,0.1176,34
8u44_ST,protenix,d413,seed0_r2,8u44_st_sample_2.cif,0.023,0.28,0.0,25
8u44_ST,protenix,d413,seed0_r2,8u44_st_sample_3.cif,0.047,0.3793,0.0,29
8u44_ST,protenix,d413,seed0_r2,8u44_st_sample_4.cif,0.023,0.1,0.0,30
8u44_ST,protenix,d413,seed0_r3,8u44_st_sample_0.cif,0.027,0.4722,0.1111,36
8u44_ST,protenix,d413,seed0_r3,8u44_st_sample_1.cif,0.033,0.5,0.0263,38
8u44_ST,protenix,d413,seed0_r3,8u44_st_sample_2.cif,0.033,0.4375,0.0625,32
8u44_ST,protenix,d413,seed0_r3,8u44_st_sample_3.cif,0.031,0.3636,0.0303,33
8u44_ST,protenix,d413,seed0_r3,8u44_st_sample_4.cif,0.031,0.6129,0.0323,31
8u44_ST,protenix,d413,seed1_r0,8u44_st_sample_0.cif,0.027,0.6667,0.0833,36
8u44_ST,protenix,d413,seed1_r0,8u44_st_sample_1.cif,0.058,0.3684,0.0,38
8u44_ST,protenix,d413,seed1_r0,8u44_st_sample_2.cif,0.028,0.12,0.0,25
8u44_ST,protenix,d413,seed1_r0,8u44_st_sample_3.cif,0.032,0.0833,0.0,24
8u44_ST,protenix,d413,seed1_r0,8u44_st_sample_4.cif,0.026,0.0769,0.0,26
8u44_ST,protenix,d413,seed1_r1,8u44_st_sample_0.cif,0.038,0.5312,0.0938,32
8u44_ST,protenix,d413,seed1_r1,8u44_st_sample_1.cif,0.03,0.5429,0.0286,35
8u44_ST,protenix,d413,seed1_r1,8u44_st_sample_2.cif,0.031,0.625,0.0312,32
8u44_ST,protenix,d413,seed1_r1,8u44_st_sample_3.cif,0.061,0.4333,0.0333,30
8u44_ST,protenix,d413,seed1_r1,8u44_st_sample_4.cif,0.022,0.1429,0.0,28
8u44_ST,protenix,d413,seed1_r2,8u44_st_sample_0.cif,0.04,0.4565,0.0652,46
8u44_ST,protenix,d413,seed1_r2,8u44_st_sample_1.cif,0.032,0.4694,0.0612,49
8u44_ST,protenix,d413,seed1_r2,8u44_st_sample_2.cif,0.028,0.5,0.0652,46
8u44_ST,protenix,d413,seed1_r2,8u44_st_sample_3.cif,0.037,0.4706,0.0588,51
8u44_ST,protenix,d413,seed1_r2,8u44_st_sample_4.cif,0.021,0.4182,0.2182,55
8u44_ST,protenix,d413,seed1_r3,8u44_st_sample_0.cif,0.023,0.1111,0.0,27
8u44_ST,protenix,d413,seed1_r3,8u44_st_sample_1.cif,0.023,0.125,0.0,24
8u44_ST,protenix,d413,seed1_r3,8u44_st_sample_2.cif,0.022,0.1,0.0,30
8u44_ST,protenix,d413,seed1_r3,8u44_st_sample_3.cif,0.032,0.0769,0.0,26
8u44_ST,protenix,d413,seed1_r3,8u44_st_sample_4.cif,0.038,0.375,0.0,24
8u44_ST,protenix,d413,seed2_r0,8u44_st_sample_0.cif,0.01,0.3269,0.5577,52
8u44_ST,protenix,d413,seed2_r0,8u44_st_sample_1.cif,0.006,0.3958,0.5625,48
8u44_ST,protenix,d413,seed2_r0,8u44_st_sample_2.cif,0.006,0.3137,0.6863,51
8u44_ST,protenix,d413,seed2_r0,8u44_st_sample_3.cif,0.004,0.0,0.9111,45
8u44_ST,protenix,d413,seed2_r0,8u44_st_sample_4.cif,0.003,0.0,1.0,26
8u44_ST,protenix,d413,seed2_r1,8u44_st_sample_0.cif,0.021,0.2,0.04,25
8u44_ST,protenix,d413,seed2_r1,8u44_st_sample_1.cif,0.071,0.6562,0.125,32
8u44_ST,protenix,d413,seed2_r1,8u44_st_sample_2.cif,0.083,0.6786,0.1071,28
8u44_ST,protenix,d413,seed2_r1,8u44_st_sample_3.cif,0.034,0.1111,0.0,27
8u44_ST,protenix,d413,seed2_r1,8u44_st_sample_4.cif,0.071,0.4074,0.037,27
8u44_ST,protenix,d413,seed2_r2,8u44_st_sample_0.cif,0.023,0.1071,0.0,28
8u44_ST,protenix,d413,seed2_r2,8u44_st_sample_1.cif,0.029,0.125,0.0,24
8u44_ST,protenix,d413,seed2_r2,8u44_st_sample_2.cif,0.022,0.0769,0.0,26
8u44_ST,protenix,d413,seed2_r2,8u44_st_sample_3.cif,0.031,0.1429,0.0,28
8u44_ST,protenix,d413,seed2_r2,8u44_st_sample_4.cif,0.019,0.1154,0.0,26
8u44_ST,protenix,d413,seed2_r3,8u44_st_sample_0.cif,0.023,0.4444,0.0556,54
8u44_ST,protenix,d413,seed2_r3,8u44_st_sample_1.cif,0.032,0.463,0.0556,54
8u44_ST,protenix,d413,seed2_r3,8u44_st_sample_2.cif,0.032,0.5,0.04,50
8u44_ST,protenix,d413,seed2_r3,8u44_st_sample_3.cif,0.041,0.3953,0.0698,43
8u44_ST,protenix,d413,seed2_r3,8u44_st_sample_4.cif,0.015,0.3333,0.4697,66
8u44_ST,protenix,d413,seed3_r0,8u44_st_sample_0.cif,0.024,0.5556,0.1667,36
8u44_ST,protenix,d413,seed3_r0,8u44_st_sample_1.cif,0.029,0.3488,0.3256,43
8u44_ST,protenix,d413,seed3_r0,8u44_st_sample_2.cif,0.051,0.4595,0.027,37
8u44_ST,protenix,d413,seed3_r0,8u44_st_sample_3.cif,0.109,0.4103,0.0256,39
8u44_ST,protenix,d413,seed3_r0,8u44_st_sample_4.cif,0.003,0.0,1.0,37
8u44_ST,protenix,d413,seed3_r1,8u44_st_sample_0.cif,0.038,0.4857,0.0571,35
8u44_ST,protenix,d413,seed3_r1,8u44_st_sample_1.cif,0.027,0.4872,0.0513,39
8u44_ST,protenix,d413,seed3_r1,8u44_st_sample_2.cif,0.019,0.1429,0.0,21
8u44_ST,protenix,d413,seed3_r1,8u44_st_sample_3.cif,0.026,0.2222,0.0,18
8u44_ST,protenix,d413,seed3_r1,8u44_st_sample_4.cif,0.014,0.0556,0.0,36
8u44_ST,protenix,d413,seed3_r2,8u44_st_sample_0.cif,0.003,0.0,1.0,32
8u44_ST,protenix,d413,seed3_r2,8u44_st_sample_1.cif,0.003,0.0,1.0,33
8u44_ST,protenix,d413,seed3_r2,8u44_st_sample_2.cif,0.003,0.0,1.0,33
8u44_ST,protenix,d413,seed3_r2,8u44_st_sample_3.cif,0.003,0.0,1.0,28
8u44_ST,protenix,d413,seed3_r2,8u44_st_sample_4.cif,0.003,0.0,1.0,28
8u44_ST,protenix,d413,seed3_r3,8u44_st_sample_0.cif,0.029,0.5238,0.119,42
8u44_ST,protenix,d413,seed3_r3,8u44_st_sample_1.cif,0.086,0.4595,0.0811,37
8u44_ST,protenix,d413,seed3_r3,8u44_st_sample_2.cif,0.003,0.0,1.0,36
8u44_ST,protenix,d413,seed3_r3,8u44_st_sample_3.cif,0.003,0.0,1.0,29
8u44_ST,protenix,d413,seed3_r3,8u44_st_sample_4.cif,0.003,0.0,1.0,27
8u44_ST,protenix,d413,seed4_r0,8u44_st_sample_0.cif,0.021,0.4138,0.3621,58
8u44_ST,protenix,d413,seed4_r0,8u44_st_sample_1.cif,0.02,0.4906,0.283,53
8u44_ST,protenix,d413,seed4_r0,8u44_st_sample_2.cif,0.027,0.5476,0.0476,42
8u44_ST,protenix,d413,seed4_r0,8u44_st_sample_3.cif,0.024,0.3818,0.1455,55
8u44_ST,protenix,d413,seed4_r0,8u44_st_sample_4.cif,0.01,0.3016,0.4921,63
8u44_ST,protenix,d413,seed4_r1,8u44_st_sample_0.cif,0.033,0.0833,0.0,24
8u44_ST,protenix,d413,seed4_r1,8u44_st_sample_1.cif,0.034,0.1429,0.0,21
8u44_ST,protenix,d413,seed4_r1,8u44_st_sample_2.cif,0.027,0.1154,0.0,26
8u44_ST,protenix,d413,seed4_r1,8u44_st_sample_3.cif,0.023,0.1364,0.0,22
8u44_ST,protenix,d413,seed4_r1,8u44_st_sample_4.cif,0.035,0.12,0.0,25
8u44_ST,protenix,d413,seed4_r2,8u44_st_sample_0.cif,0.022,0.0741,0.0,27
8u44_ST,protenix,d413,seed4_r2,8u44_st_sample_1.cif,0.033,0.087,0.0,23
8u44_ST,protenix,d413,seed4_r2,8u44_st_sample_2.cif,0.032,0.0741,0.0,27
8u44_ST,protenix,d413,seed4_r2,8u44_st_sample_3.cif,0.022,0.1111,0.0,27
8u44_ST,protenix,d413,seed4_r2,8u44_st_sample_4.cif,0.011,0.0,0.0,14
8u44_ST,protenix,d413,seed4_r3,8u44_st_sample_0.cif,0.003,0.0,1.0,30
8u44_ST,protenix,d413,seed4_r3,8u44_st_sample_1.cif,0.003,0.0,1.0,31
8u44_ST,protenix,d413,seed4_r3,8u44_st_sample_2.cif,0.003,0.0,1.0,31
8u44_ST,protenix,d413,seed4_r3,8u44_st_sample_3.cif,0.003,0.0,1.0,29
8u44_ST,protenix,d413,seed4_r3,8u44_st_sample_4.cif,0.003,0.0,1.0,22
8u44_ST,protenix,d413,seed5_r0,8u44_st_sample_0.cif,0.029,0.5278,0.1667,36
8u44_ST,protenix,d413,seed5_r0,8u44_st_sample_1.cif,0.023,0.5667,0.1667,30
8u44_ST,protenix,d413,seed5_r0,8u44_st_sample_2.cif,0.03,0.4872,0.3846,39
8u44_ST,protenix,d413,seed5_r0,8u44_st_sample_3.cif,0.023,0.4615,0.4872,39
8u44_ST,protenix,d413,seed5_r0,8u44_st_sample_4.cif,0.017,0.087,0.0,23
8u44_ST,protenix,d413,seed5_r1,8u44_st_sample_0.cif,0.028,0.24,0.04,25
8u44_ST,protenix,d413,seed5_r1,8u44_st_sample_1.cif,0.044,0.2903,0.0,31
8u44_ST,protenix,d413,seed5_r1,8u44_st_sample_2.cif,0.037,0.2083,0.0,24
8u44_ST,protenix,d413,seed5_r1,8u44_st_sample_3.cif,0.027,0.16,0.0,25
8u44_ST,protenix,d413,seed5_r1,8u44_st_sample_4.cif,0.017,0.0435,0.0,23
8u44_ST,protenix,d413,seed5_r2,8u44_st_sample_0.cif,0.025,0.3,0.1,30
8u44_ST,protenix,d413,seed5_r2,8u44_st_sample_1.cif,0.034,0.3333,0.0,27
8u44_ST,protenix,d413,seed5_r2,8u44_st_sample_2.cif,0.029,0.1818,0.0,22
8u44_ST,protenix,d413,seed5_r2,8u44_st_sample_3.cif,0.046,0.3182,0.0,22
8u44_ST,protenix,d413,seed5_r2,8u44_st_sample_4.cif,0.022,0.1471,0.0,34
8u44_ST,protenix,d413,seed5_r3,8u44_st_sample_0.cif,0.029,0.5227,0.0455,44
8u44_ST,protenix,d413,seed5_r3,8u44_st_sample_1.cif,0.03,0.4706,0.0392,51
8u44_ST,protenix,d413,seed5_r3,8u44_st_sample_2.cif,0.031,0.4348,0.0652,46
8u44_ST,protenix,d413,seed5_r3,8u44_st_sample_3.cif,0.033,0.3684,0.0526,57
8u44_ST,protenix,d413,seed5_r3,8u44_st_sample_4.cif,0.01,0.3276,0.5,58
8u44_ST,protenix,d413,seedfull_r0,8u44_st_sample_0.cif,0.028,0.5862,0.069,29
8u44_ST,protenix,d413,seedfull_r0,8u44_st_sample_1.cif,0.033,0.5161,0.0323,31
8u44_ST,protenix,d413,seedfull_r0,8u44_st_sample_2.cif,0.046,0.3793,0.0,29
8u44_ST,protenix,d413,seedfull_r0,8u44_st_sample_3.cif,0.025,0.1304,0.0,23
8u44_ST,protenix,d413,seedfull_r0,8u44_st_sample_4.cif,0.03,0.1951,0.0,41
8u44_ST,protenix,d413,seedfull_r1,8u44_st_sample_0.cif,0.065,0.6154,0.2051,39
8u44_ST,protenix,d413,seedfull_r1,8u44_st_sample_1.cif,0.055,0.4186,0.0233,43
8u44_ST,protenix,d413,seedfull_r1,8u44_st_sample_2.cif,0.021,0.2188,0.0,32
8u44_ST,protenix,d413,seedfull_r1,8u44_st_sample_3.cif,0.023,0.1538,0.0,26
8u44_ST,protenix,d413,seedfull_r1,8u44_st_sample_4.cif,0.003,0.0,1.0,32
8u44_ST,protenix,d413,seedfull_r2,8u44_st_sample_0.cif,0.077,0.6486,0.2432,37
8u44_ST,protenix,d413,seedfull_r2,8u44_st_sample_1.cif,0.069,0.6667,0.0667,30
8u44_ST,protenix,d413,seedfull_r2,8u44_st_sample_2.cif,0.029,0.4359,0.3077,39
8u44_ST,protenix,d413,seedfull_r2,8u44_st_sample_3.cif,0.031,0.4848,0.1212,33
8u44_ST,protenix,d413,seedfull_r2,8u44_st_sample_4.cif,0.003,0.0,1.0,29
8u44_ST,protenix,d413,seedfull_r3,8u44_st_sample_0.cif,0.028,0.5625,0.0625,32
8u44_ST,protenix,d413,seedfull_r3,8u44_st_sample_1.cif,0.057,0.5769,0.0385,26
8u44_ST,protenix,d413,seedfull_r3,8u44_st_sample_2.cif,0.024,0.1154,0.0,26
8u44_ST,protenix,d413,seedfull_r3,8u44_st_sample_3.cif,0.041,0.3077,0.0,26
8u44_ST,protenix,d413,seedfull_r3,8u44_st_sample_4.cif,0.043,0.3214,0.0,28
8u44_ST,protenix,d413,seedfull_r4,8u44_st_sample_0.cif,0.059,0.5581,0.2558,43
8u44_ST,protenix,d413,seedfull_r4,8u44_st_sample_1.cif,0.036,0.4423,0.3462,52
8u44_ST,protenix,d413,seedfull_r4,8u44_st_sample_2.cif,0.049,0.475,0.05,40
8u44_ST,protenix,d413,seedfull_r4,8u44_st_sample_3.cif,0.021,0.1034,0.0,29
8u44_ST,protenix,d413,seedfull_r4,8u44_st_sample_4.cif,0.022,0.1034,0.0,29
8u44_ST,protenix,d413,seedfull_r5,8u44_st_sample_0.cif,0.046,0.5227,0.1136,44
8u44_ST,protenix,d413,seedfull_r5,8u44_st_sample_1.cif,0.052,0.425,0.05,40
8u44_ST,protenix,d413,seedfull_r5,8u44_st_sample_2.cif,0.054,0.4545,0.0682,44
8u44_ST,protenix,d413,seedfull_r5,8u44_st_sample_3.cif,0.048,0.3214,0.0,28
8u44_ST,protenix,d413,seedfull_r5,8u44_st_sample_4.cif,0.003,0.0,1.0,34
