target,grp,site,n_rung,full_recall,red_recall,d_recall,full_overrep,red_overrep,d_overrep
8k3k_D,B,class4,11,0.064,0.105,0.04,0.86,0.565,-0.296
8k46_I,B,class4,11,0.083,0.091,0.008,0.846,0.659,-0.187
8k5g_HL,A,class1/2(RBM),11,0.247,0.221,-0.026,0.881,0.643,-0.239
8k5h_HL,A,class1/2(RBM),11,0.237,0.193,-0.044,0.891,0.612,-0.278
8kdm_GF,A,class1/2(RBM),11,0.0,0.071,0.071,0.737,0.501,-0.236
8kep_HL,A,class1/2(RBM),11,0.191,0.189,-0.001,0.587,0.571,-0.017
8q5y_GH,A,class1/2(RBM),11,0.031,0.099,0.068,0.573,0.4,-0.173
8q7s_C,A,class1/2(RBM),11,0.726,0.31,-0.416,0.911,0.524,-0.387
8q7s_H,B,class4,11,0.29,0.179,-0.111,0.299,0.1,-0.2
8q7s_O,A,class1/2(RBM),11,0.592,0.296,-0.297,0.816,0.555,-0.261
8t49_PR,A,N332,11,0.149,0.134,-0.015,0.122,0.244,0.123
8t4a_PR,A,N332,11,0.13,0.158,0.027,0.068,0.262,0.194
8t4b_OQ,A,N332,11,0.114,0.077,-0.037,0.087,0.137,0.05
8t4d_OQ,A,N332,11,0.13,0.157,0.027,0.081,0.236,0.156
8tjr_HL,B,FP,11,0.079,0.052,-0.027,0.0,0.0,0.0
8tkc_GH,B,FP,11,0.099,0.096,-0.003,0.0,0.0,0.0
8tl5_IJ,B,gp120gp41,11,0.0,0.014,0.014,0.285,0.306,0.02
8tp5_HL,A,head,11,0.0,0.094,0.094,0.258,0.569,0.31
8tq1_CD,B,MPER,11,0.028,0.038,0.01,0.0,0.0,0.0
8tx3_FK,B,stem,11,0.0,0.028,0.028,1.0,0.794,-0.206
8txu_HL,B,stem,11,0.055,0.025,-0.03,0.351,0.697,0.346
8u44_ST,B,stem,11,0.415,0.107,-0.309,0.09,0.663,0.573
8ulr_HL,A,CD4bs,11,0.327,0.296,-0.031,0.439,0.412,-0.028
8ume_HL,A,head,11,0.285,0.237,-0.048,0.516,0.624,0.107
8vfv_GI,B,MPER,11,0.037,0.03,-0.007,0.0,0.0,0.0
8vye_AD,B,class3,11,0.011,0.015,0.003,0.254,0.318,0.064
8wpy_AB,B,class3,11,0.063,0.088,0.025,0.699,0.315,-0.383
8xsj_HL,B,class3,11,0.032,0.09,0.058,0.637,0.553,-0.084
8y6a_CD,B,class3,11,0.047,0.078,0.031,0.558,0.506,-0.052
9azr_HL,A,head,11,0.077,0.153,0.076,0.964,0.966,0.002
9azt_HL,A,head,11,0.154,0.066,-0.088,0.955,0.956,0.001
9azv_HL,A,head,11,0.146,0.097,-0.049,0.969,0.961,-0.007
9b7g_QP,A,head,11,0.602,0.316,-0.286,0.988,0.766,-0.222
9bdg_FI,A,head,11,0.365,0.185,-0.18,1.0,0.868,-0.132
9bnp_HL,A,V2apex,11,0.007,0.011,0.004,0.0,0.117,0.117
