target,model,depth,seed,pose,dockq,recall,overrep,n_contact
9bdg_FI,protenix,d173,seed0_r0,9bdg_fi_sample_0.cif,0.069,0.3333,1.0,39
9bdg_FI,protenix,d173,seed0_r0,9bdg_fi_sample_1.cif,0.024,0.1081,1.0,37
9bdg_FI,protenix,d173,seed0_r0,9bdg_fi_sample_2.cif,0.012,0.1143,1.0,35
9bdg_FI,protenix,d173,seed0_r0,9bdg_fi_sample_3.cif,0.054,0.4286,1.0,28
9bdg_FI,protenix,d173,seed0_r0,9bdg_fi_sample_4.cif,0.046,0.6786,1.0,28
9bdg_FI,protenix,d173,seed0_r1,9bdg_fi_sample_0.cif,0.018,0.0909,1.0,33
9bdg_FI,protenix,d173,seed0_r1,9bdg_fi_sample_1.cif,0.023,0.1081,1.0,37
9bdg_FI,protenix,d173,seed0_r1,9bdg_fi_sample_2.cif,0.024,0.1351,1.0,37
9bdg_FI,protenix,d173,seed0_r1,9bdg_fi_sample_3.cif,0.033,0.3902,1.0,41
9bdg_FI,protenix,d173,seed0_r1,9bdg_fi_sample_4.cif,0.016,0.0588,1.0,34
9bdg_FI,protenix,d173,seed0_r2,9bdg_fi_sample_0.cif,0.049,0.3696,1.0,46
9bdg_FI,protenix,d173,seed0_r2,9bdg_fi_sample_1.cif,0.018,0.1111,1.0,27
9bdg_FI,protenix,d173,seed0_r2,9bdg_fi_sample_2.cif,0.013,0.1034,1.0,29
9bdg_FI,protenix,d173,seed0_r2,9bdg_fi_sample_3.cif,0.019,0.1154,1.0,26
9bdg_FI,protenix,d173,seed0_r2,9bdg_fi_sample_4.cif,0.024,0.1034,1.0,29
9bdg_FI,protenix,d173,seed0_r3,9bdg_fi_sample_0.cif,0.037,0.3111,1.0,45
9bdg_FI,protenix,d173,seed0_r3,9bdg_fi_sample_1.cif,0.06,0.359,1.0,39
9bdg_FI,protenix,d173,seed0_r3,9bdg_fi_sample_2.cif,0.032,0.88,1.0,25
9bdg_FI,protenix,d173,seed0_r3,9bdg_fi_sample_3.cif,0.05,0.5882,1.0,34
9bdg_FI,protenix,d173,seed0_r3,9bdg_fi_sample_4.cif,0.052,0.7333,1.0,30
9bdg_FI,protenix,d173,seed1_r0,9bdg_fi_sample_0.cif,0.056,0.3721,1.0,43
9bdg_FI,protenix,d173,seed1_r0,9bdg_fi_sample_1.cif,0.025,0.1034,1.0,29
9bdg_FI,protenix,d173,seed1_r0,9bdg_fi_sample_2.cif,0.03,0.2973,1.0,37
9bdg_FI,protenix,d173,seed1_r0,9bdg_fi_sample_3.cif,0.015,0.0625,1.0,32
9bdg_FI,protenix,d173,seed1_r0,9bdg_fi_sample_4.cif,0.014,0.069,1.0,29
9bdg_FI,protenix,d173,seed1_r1,9bdg_fi_sample_0.cif,0.025,0.1875,1.0,32
9bdg_FI,protenix,d173,seed1_r1,9bdg_fi_sample_1.cif,0.024,0.1562,1.0,32
9bdg_FI,protenix,d173,seed1_r1,9bdg_fi_sample_2.cif,0.054,0.3824,1.0,34
9bdg_FI,protenix,d173,seed1_r1,9bdg_fi_sample_3.cif,0.056,0.6333,1.0,30
9bdg_FI,protenix,d173,seed1_r1,9bdg_fi_sample_4.cif,0.044,0.5312,1.0,32
9bdg_FI,protenix,d173,seed1_r2,9bdg_fi_sample_0.cif,0.065,0.4419,1.0,43
9bdg_FI,protenix,d173,seed1_r2,9bdg_fi_sample_1.cif,0.023,0.1667,1.0,30
9bdg_FI,protenix,d173,seed1_r2,9bdg_fi_sample_2.cif,0.021,0.1154,1.0,26
9bdg_FI,protenix,d173,seed1_r2,9bdg_fi_sample_3.cif,0.023,0.125,1.0,32
9bdg_FI,protenix,d173,seed1_r2,9bdg_fi_sample_4.cif,0.01,0.037,1.0,27
9bdg_FI,protenix,d173,seed1_r3,9bdg_fi_sample_0.cif,0.083,0.5294,1.0,34
9bdg_FI,protenix,d173,seed1_r3,9bdg_fi_sample_1.cif,0.024,0.1562,1.0,32
9bdg_FI,protenix,d173,seed1_r3,9bdg_fi_sample_2.cif,0.026,0.1667,1.0,30
9bdg_FI,protenix,d173,seed1_r3,9bdg_fi_sample_3.cif,0.025,0.3125,1.0,32
9bdg_FI,protenix,d173,seed1_r3,9bdg_fi_sample_4.cif,0.023,0.0968,1.0,31
9bdg_FI,protenix,d173,seed2_r0,9bdg_fi_sample_0.cif,0.028,0.1667,1.0,30
9bdg_FI,protenix,d173,seed2_r0,9bdg_fi_sample_1.cif,0.042,0.3939,1.0,33
9bdg_FI,protenix,d173,seed2_r0,9bdg_fi_sample_2.cif,0.049,0.4688,1.0,32
9bdg_FI,protenix,d173,seed2_r0,9bdg_fi_sample_3.cif,0.038,0.3684,1.0,38
9bdg_FI,protenix,d173,seed2_r0,9bdg_fi_sample_4.cif,0.015,0.2609,1.0,23
9bdg_FI,protenix,d173,seed2_r1,9bdg_fi_sample_0.cif,0.038,0.2581,1.0,31
9bdg_FI,protenix,d173,seed2_r1,9bdg_fi_sample_1.cif,0.015,0.2917,1.0,24
9bdg_FI,protenix,d173,seed2_r1,9bdg_fi_sample_2.cif,0.051,0.425,1.0,40
9bdg_FI,protenix,d173,seed2_r1,9bdg_fi_sample_3.cif,0.082,0.5938,1.0,32
9bdg_FI,protenix,d173,seed2_r1,9bdg_fi_sample_4.cif,0.019,0.1212,1.0,33
9bdg_FI,protenix,d173,seed2_r2,9bdg_fi_sample_0.cif,0.033,0.3793,1.0,29
9bdg_FI,protenix,d173,seed2_r2,9bdg_fi_sample_1.cif,0.072,0.4762,1.0,42
9bdg_FI,protenix,d173,seed2_r2,9bdg_fi_sample_2.cif,0.024,0.1282,1.0,39
9bdg_FI,protenix,d173,seed2_r2,9bdg_fi_sample_3.cif,0.045,0.6452,1.0,31
9bdg_FI,protenix,d173,seed2_r2,9bdg_fi_sample_4.cif,0.017,0.0263,0.4737,38
9bdg_FI,protenix,d173,seed2_r3,9bdg_fi_sample_0.cif,0.026,0.2963,1.0,27
9bdg_FI,protenix,d173,seed2_r3,9bdg_fi_sample_1.cif,0.025,0.1282,1.0,39
9bdg_FI,protenix,d173,seed2_r3,9bdg_fi_sample_2.cif,0.069,0.4524,1.0,42
9bdg_FI,protenix,d173,seed2_r3,9bdg_fi_sample_3.cif,0.033,0.7419,1.0,31
9bdg_FI,protenix,d173,seed2_r3,9bdg_fi_sample_4.cif,0.024,0.2414,1.0,29
9bdg_FI,protenix,d173,seed3_r0,9bdg_fi_sample_0.cif,0.024,0.381,1.0,42
9bdg_FI,protenix,d173,seed3_r0,9bdg_fi_sample_1.cif,0.024,0.1515,1.0,33
9bdg_FI,protenix,d173,seed3_r0,9bdg_fi_sample_2.cif,0.024,0.1,1.0,30
9bdg_FI,protenix,d173,seed3_r0,9bdg_fi_sample_3.cif,0.019,0.1176,1.0,34
9bdg_FI,protenix,d173,seed3_r0,9bdg_fi_sample_4.cif,0.038,0.5161,1.0,31
9bdg_FI,protenix,d173,seed3_r1,9bdg_fi_sample_0.cif,0.04,0.3478,1.0,46
9bdg_FI,protenix,d173,seed3_r1,9bdg_fi_sample_1.cif,0.025,0.1429,1.0,28
9bdg_FI,protenix,d173,seed3_r1,9bdg_fi_sample_2.cif,0.032,0.3667,1.0,30
