target,biased_boltz,biased_protenix,both_biased
8k3k_D,False,True,False
8k46_I,False,True,False
8q7s_H,True,False,False
8tl5_IJ,True,False,False
8tx3_FK,True,True,True
8txu_HL,True,True,True
8wpy_AB,False,True,False
8xsj_HL,False,True,False
8y6a_CD,False,True,False
9evz_HL,True,False,False
