target,model,depth,seed,pose,dockq,recall,overrep,n_contact
9ml9_HL,protenix,d8769,seed0_r0,9ml9_hl_sample_0.cif,0.009,0.0196,0.8039,51
9ml9_HL,protenix,d8769,seed0_r0,9ml9_hl_sample_1.cif,0.023,0.2642,0.4906,53
9ml9_HL,protenix,d8769,seed0_r0,9ml9_hl_sample_2.cif,0.007,0.2833,0.4167,60
9ml9_HL,protenix,d8769,seed0_r0,9ml9_hl_sample_3.cif,0.024,0.2679,0.3571,56
9ml9_HL,protenix,d8769,seed0_r0,9ml9_hl_sample_4.cif,0.022,0.0541,0.8649,37
9ml9_HL,protenix,d8769,seed0_r1,9ml9_hl_sample_0.cif,0.018,0.0,0.7917,48
9ml9_HL,protenix,d8769,seed0_r1,9ml9_hl_sample_1.cif,0.016,0.027,0.9459,37
9ml9_HL,protenix,d8769,seed0_r1,9ml9_hl_sample_2.cif,0.027,0.0,0.8214,56
9ml9_HL,protenix,d8769,seed0_r1,9ml9_hl_sample_3.cif,0.021,0.0233,0.9535,43
9ml9_HL,protenix,d8769,seed0_r1,9ml9_hl_sample_4.cif,0.011,0.0926,0.4444,54
9ml9_HL,protenix,d8769,seed0_r2,9ml9_hl_sample_0.cif,0.025,0.0244,0.9024,41
9ml9_HL,protenix,d8769,seed0_r2,9ml9_hl_sample_1.cif,0.027,0.0286,0.8286,35
9ml9_HL,protenix,d8769,seed0_r2,9ml9_hl_sample_2.cif,0.024,0.0,0.8947,38
9ml9_HL,protenix,d8769,seed0_r2,9ml9_hl_sample_3.cif,0.032,0.1026,0.7436,39
9ml9_HL,protenix,d8769,seed0_r2,9ml9_hl_sample_4.cif,0.027,0.0,1.0,26
9ml9_HL,protenix,d8769,seed0_r3,9ml9_hl_sample_0.cif,0.142,0.4082,0.4898,49
9ml9_HL,protenix,d8769,seed0_r3,9ml9_hl_sample_1.cif,0.007,0.0667,0.7778,45
9ml9_HL,protenix,d8769,seed0_r3,9ml9_hl_sample_2.cif,0.008,0.1781,0.6164,73
9ml9_HL,protenix,d8769,seed0_r3,9ml9_hl_sample_3.cif,0.012,0.2436,0.4744,78
9ml9_HL,protenix,d8769,seed0_r3,9ml9_hl_sample_4.cif,0.008,0.0351,0.6491,57
9ml9_HL,protenix,d8769,seed1_r0,9ml9_hl_sample_0.cif,0.108,0.3091,0.3818,55
