path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9azv_HL/d293/seed0_r1/results/9azv_hl/seed_0/predictions/9azv_hl_sample_1.cif,9azv_HL,seed0_r1,9azv_hl_sample_1.cif,0.10849
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9azv_HL/d293/seed0_r1/results/9azv_hl/seed_0/predictions/9azv_hl_sample_4.cif,9azv_HL,seed0_r1,9azv_hl_sample_4.cif,0.25324
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9azv_HL/d293/seed0_r2/results/9azv_hl/seed_0/predictions/9azv_hl_sample_2.cif,9azv_HL,seed0_r2,9azv_hl_sample_2.cif,0.03914
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9azv_HL/d293/seed0_r2/results/9azv_hl/seed_0/predictions/9azv_hl_sample_1.cif,9azv_HL,seed0_r2,9azv_hl_sample_1.cif,0.30336
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9azv_HL/d293/seed0_r0/results/9azv_hl/seed_0/predictions/9azv_hl_sample_2.cif,9azv_HL,seed0_r0,9azv_hl_sample_2.cif,0.23106
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9azv_HL/d293/seed0_r1/results/9azv_hl/seed_0/predictions/9azv_hl_sample_3.cif,9azv_HL,seed0_r1,9azv_hl_sample_3.cif,0.05288
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9azv_HL/d293/seed0_r1/results/9azv_hl/seed_0/predictions/9azv_hl_sample_2.cif,9azv_HL,seed0_r1,9azv_hl_sample_2.cif,0.02961
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9azv_HL/d293/seed0_r2/results/9azv_hl/seed_0/predictions/9azv_hl_sample_0.cif,9azv_HL,seed0_r2,9azv_hl_sample_0.cif,0.18578
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9azv_HL/d293/seed0_r0/results/9azv_hl/seed_0/predictions/9azv_hl_sample_4.cif,9azv_HL,seed0_r0,9azv_hl_sample_4.cif,0.14207
/mnt/data/msadepth/compreps/seedrep_cand/protenix/9azv_HL/d293/seed0_r2/results/9azv_hl/seed_0/predictions/9azv_hl_sample_4.cif,9azv_HL,seed0_r2,9azv_hl_sample_4.cif,0.22235
