path,target,run,pose,score
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed0_r0,8k3k_d_sample_0.cif,0.19819
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed0_r0,8k3k_d_sample_1.cif,0.18817
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed0_r0,8k3k_d_sample_2.cif,0.18816
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed0_r0,8k3k_d_sample_3.cif,0.18109
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed0_r0,8k3k_d_sample_4.cif,0.17067
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed0_r1,8k3k_d_sample_0.cif,0.19377
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed0_r1,8k3k_d_sample_1.cif,0.19239
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed0_r1,8k3k_d_sample_2.cif,0.19056
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed0_r1,8k3k_d_sample_3.cif,0.18356
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed0_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed0_r1,8k3k_d_sample_4.cif,0.16966
