target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8t4a_PR,protenix,d1824,seed0_r0,8t4a_pr_sample_0.cif,0.02,0.2113,0.1268,71
8t4a_PR,protenix,d1824,seed0_r0,8t4a_pr_sample_1.cif,0.015,0.1711,0.0789,76
8t4a_PR,protenix,d1824,seed0_r0,8t4a_pr_sample_2.cif,0.019,0.3409,0.3636,44
8t4a_PR,protenix,d1824,seed0_r0,8t4a_pr_sample_3.cif,0.006,0.1538,0.0549,91
8t4a_PR,protenix,d1824,seed0_r0,8t4a_pr_sample_4.cif,0.044,0.2885,0.3462,52
8t4a_PR,protenix,d1824,seed0_r1,8t4a_pr_sample_0.cif,0.015,0.1446,0.0723,83
8t4a_PR,protenix,d1824,seed0_r1,8t4a_pr_sample_1.cif,0.017,0.2979,0.3191,47
8t4a_PR,protenix,d1824,seed0_r1,8t4a_pr_sample_2.cif,0.006,0.1573,0.0562,89
8t4a_PR,protenix,d1824,seed0_r1,8t4a_pr_sample_3.cif,0.011,0.1186,0.1356,59
8t4a_PR,protenix,d1824,seed0_r1,8t4a_pr_sample_4.cif,0.053,0.35,0.325,40
8t4a_PR,protenix,d1824,seed0_r2,8t4a_pr_sample_0.cif,0.023,0.1733,0.2267,75
8t4a_PR,protenix,d1824,seed0_r2,8t4a_pr_sample_1.cif,0.015,0.1529,0.0824,85
8t4a_PR,protenix,d1824,seed0_r2,8t4a_pr_sample_2.cif,0.006,0.1412,0.0588,85
8t4a_PR,protenix,d1824,seed0_r2,8t4a_pr_sample_3.cif,0.016,0.2642,0.2642,53
8t4a_PR,protenix,d1824,seed0_r2,8t4a_pr_sample_4.cif,0.021,0.3261,0.3478,46
8t4a_PR,protenix,d1824,seed0_r3,8t4a_pr_sample_0.cif,0.02,0.1648,0.1429,91
8t4a_PR,protenix,d1824,seed0_r3,8t4a_pr_sample_1.cif,0.037,0.3261,0.2391,46
8t4a_PR,protenix,d1824,seed0_r3,8t4a_pr_sample_2.cif,0.006,0.1512,0.0581,86
8t4a_PR,protenix,d1824,seed0_r3,8t4a_pr_sample_3.cif,0.024,0.3409,0.2955,44
8t4a_PR,protenix,d1824,seed0_r3,8t4a_pr_sample_4.cif,0.014,0.2203,0.1525,59
8t4a_PR,protenix,d1824,seed1_r0,8t4a_pr_sample_0.cif,0.017,0.1765,0.1059,85
8t4a_PR,protenix,d1824,seed1_r0,8t4a_pr_sample_1.cif,0.023,0.1807,0.2289,83
8t4a_PR,protenix,d1824,seed1_r0,8t4a_pr_sample_2.cif,0.017,0.2121,0.1515,66
8t4a_PR,protenix,d1824,seed1_r0,8t4a_pr_sample_3.cif,0.009,0.1316,0.2237,76
8t4a_PR,protenix,d1824,seed1_r0,8t4a_pr_sample_4.cif,0.01,0.0968,0.2581,93
8t4a_PR,protenix,d1824,seed1_r1,8t4a_pr_sample_0.cif,0.027,0.2029,0.2174,69
8t4a_PR,protenix,d1824,seed1_r1,8t4a_pr_sample_1.cif,0.018,0.1842,0.2368,76
8t4a_PR,protenix,d1824,seed1_r1,8t4a_pr_sample_2.cif,0.019,0.2029,0.2899,69
8t4a_PR,protenix,d1824,seed1_r1,8t4a_pr_sample_3.cif,0.009,0.2273,0.2727,66
8t4a_PR,protenix,d1824,seed1_r1,8t4a_pr_sample_4.cif,0.016,0.2586,0.3103,58
8t4a_PR,protenix,d1824,seed1_r2,8t4a_pr_sample_0.cif,0.006,0.1585,0.0854,82
8t4a_PR,protenix,d1824,seed1_r2,8t4a_pr_sample_1.cif,0.029,0.2167,0.2833,60
8t4a_PR,protenix,d1824,seed1_r2,8t4a_pr_sample_2.cif,0.029,0.2826,0.2826,46
8t4a_PR,protenix,d1824,seed1_r2,8t4a_pr_sample_3.cif,0.054,0.359,0.1538,39
8t4a_PR,protenix,d1824,seed1_r2,8t4a_pr_sample_4.cif,0.025,0.2979,0.2979,47
8t4a_PR,protenix,d1824,seed1_r3,8t4a_pr_sample_0.cif,0.025,0.1948,0.5325,77
8t4a_PR,protenix,d1824,seed1_r3,8t4a_pr_sample_1.cif,0.051,0.3409,0.2045,44
8t4a_PR,protenix,d1824,seed1_r3,8t4a_pr_sample_2.cif,0.031,0.3721,0.2326,43
8t4a_PR,protenix,d1824,seed1_r3,8t4a_pr_sample_3.cif,0.036,0.359,0.1538,39
8t4a_PR,protenix,d1824,seed1_r3,8t4a_pr_sample_4.cif,0.033,0.3478,0.2609,46
8t4a_PR,protenix,d1824,seed2_r0,8t4a_pr_sample_0.cif,0.007,0.1831,0.1408,71
8t4a_PR,protenix,d1824,seed2_r0,8t4a_pr_sample_1.cif,0.023,0.1806,0.1528,72
8t4a_PR,protenix,d1824,seed2_r0,8t4a_pr_sample_2.cif,0.006,0.1485,0.099,101
8t4a_PR,protenix,d1824,seed2_r0,8t4a_pr_sample_3.cif,0.043,0.3111,0.2222,45
8t4a_PR,protenix,d1824,seed2_r0,8t4a_pr_sample_4.cif,0.042,0.3404,0.2766,47
8t4a_PR,protenix,d1824,seed2_r1,8t4a_pr_sample_0.cif,0.007,0.1818,0.1061,66
8t4a_PR,protenix,d1824,seed2_r1,8t4a_pr_sample_1.cif,0.015,0.1522,0.1957,92
8t4a_PR,protenix,d1824,seed2_r1,8t4a_pr_sample_2.cif,0.014,0.1798,0.0562,89
8t4a_PR,protenix,d1824,seed2_r1,8t4a_pr_sample_3.cif,0.019,0.2727,0.2727,55
8t4a_PR,protenix,d1824,seed2_r1,8t4a_pr_sample_4.cif,0.034,0.3478,0.2826,46
8t4a_PR,protenix,d1824,seed2_r2,8t4a_pr_sample_0.cif,0.008,0.1237,0.0928,97
8t4a_PR,protenix,d1824,seed2_r2,8t4a_pr_sample_1.cif,0.017,0.25,0.2188,64
8t4a_PR,protenix,d1824,seed2_r2,8t4a_pr_sample_2.cif,0.025,0.2778,0.3148,54
8t4a_PR,protenix,d1824,seed2_r2,8t4a_pr_sample_3.cif,0.015,0.172,0.0753,93
8t4a_PR,protenix,d1824,seed2_r2,8t4a_pr_sample_4.cif,0.026,0.2586,0.2241,58
8t4a_PR,protenix,d1824,seed2_r3,8t4a_pr_sample_0.cif,0.008,0.1548,0.0714,84
8t4a_PR,protenix,d1824,seed2_r3,8t4a_pr_sample_1.cif,0.023,0.1884,0.1594,69
8t4a_PR,protenix,d1824,seed2_r3,8t4a_pr_sample_2.cif,0.006,0.1556,0.0778,90
8t4a_PR,protenix,d1824,seed2_r3,8t4a_pr_sample_3.cif,0.018,0.2885,0.2308,52
8t4a_PR,protenix,d1824,seed2_r3,8t4a_pr_sample_4.cif,0.041,0.3404,0.2553,47
8t4a_PR,protenix,d1824,seed3_r0,8t4a_pr_sample_0.cif,0.019,0.16,0.1333,75
8t4a_PR,protenix,d1824,seed3_r0,8t4a_pr_sample_1.cif,0.009,0.1368,0.2,95
8t4a_PR,protenix,d1824,seed3_r0,8t4a_pr_sample_2.cif,0.006,0.1,0.0889,90
8t4a_PR,protenix,d1824,seed3_r0,8t4a_pr_sample_3.cif,0.042,0.1122,0.1633,98
8t4a_PR,protenix,d1824,seed3_r0,8t4a_pr_sample_4.cif,0.008,0.0676,0.1486,74
8t4a_PR,protenix,d1824,seed3_r1,8t4a_pr_sample_0.cif,0.006,0.1158,0.1053,95
