target,model,depth,seed,pose,dockq,recall,overrep,n_contact
9b7g_QP,protenix,d625,seed0_r0,9b7g_qp_sample_0.cif,0.034,0.5625,1.0,32
9b7g_QP,protenix,d625,seed0_r0,9b7g_qp_sample_1.cif,0.046,0.6053,1.0,38
9b7g_QP,protenix,d625,seed0_r0,9b7g_qp_sample_2.cif,0.053,0.6875,1.0,32
9b7g_QP,protenix,d625,seed0_r0,9b7g_qp_sample_3.cif,0.15,0.625,1.0,24
9b7g_QP,protenix,d625,seed0_r0,9b7g_qp_sample_4.cif,0.111,0.7727,1.0,22
9b7g_QP,protenix,d625,seed0_r1,9b7g_qp_sample_0.cif,0.045,0.625,1.0,40
9b7g_QP,protenix,d625,seed0_r1,9b7g_qp_sample_1.cif,0.044,0.7097,1.0,31
9b7g_QP,protenix,d625,seed0_r1,9b7g_qp_sample_2.cif,0.029,0.4651,1.0,43
9b7g_QP,protenix,d625,seed0_r1,9b7g_qp_sample_3.cif,0.094,0.6875,1.0,32
9b7g_QP,protenix,d625,seed0_r1,9b7g_qp_sample_4.cif,0.005,0.0,0.4167,36
9b7g_QP,protenix,d625,seed0_r2,9b7g_qp_sample_0.cif,0.034,0.5714,1.0,35
9b7g_QP,protenix,d625,seed0_r2,9b7g_qp_sample_1.cif,0.046,0.6774,1.0,31
9b7g_QP,protenix,d625,seed0_r2,9b7g_qp_sample_2.cif,0.047,0.6471,1.0,34
9b7g_QP,protenix,d625,seed0_r2,9b7g_qp_sample_3.cif,0.068,0.8148,1.0,27
9b7g_QP,protenix,d625,seed0_r2,9b7g_qp_sample_4.cif,0.007,0.0,0.4412,34
9b7g_QP,protenix,d625,seed0_r3,9b7g_qp_sample_0.cif,0.045,0.6,1.0,40
9b7g_QP,protenix,d625,seed0_r3,9b7g_qp_sample_1.cif,0.043,0.6875,1.0,32
9b7g_QP,protenix,d625,seed0_r3,9b7g_qp_sample_2.cif,0.028,0.625,1.0,32
9b7g_QP,protenix,d625,seed0_r3,9b7g_qp_sample_3.cif,0.159,0.6286,1.0,35
9b7g_QP,protenix,d625,seed0_r3,9b7g_qp_sample_4.cif,0.102,0.72,1.0,25
9b7g_QP,protenix,d625,seed1_r0,9b7g_qp_sample_0.cif,0.04,0.6857,1.0,35
9b7g_QP,protenix,d625,seed1_r0,9b7g_qp_sample_1.cif,0.081,0.525,1.0,40
9b7g_QP,protenix,d625,seed1_r0,9b7g_qp_sample_2.cif,0.041,0.6667,1.0,33
9b7g_QP,protenix,d625,seed1_r0,9b7g_qp_sample_3.cif,0.03,0.6774,1.0,31
9b7g_QP,protenix,d625,seed1_r0,9b7g_qp_sample_4.cif,0.109,0.8571,1.0,21
9b7g_QP,protenix,d625,seed1_r1,9b7g_qp_sample_0.cif,0.177,0.7667,1.0,30
9b7g_QP,protenix,d625,seed1_r1,9b7g_qp_sample_1.cif,0.034,0.5385,1.0,39
9b7g_QP,protenix,d625,seed1_r1,9b7g_qp_sample_2.cif,0.049,0.5806,0.9677,31
9b7g_QP,protenix,d625,seed1_r1,9b7g_qp_sample_3.cif,0.03,0.6774,1.0,31
9b7g_QP,protenix,d625,seed1_r1,9b7g_qp_sample_4.cif,0.142,0.6471,1.0,34
9b7g_QP,protenix,d625,seed1_r2,9b7g_qp_sample_0.cif,0.042,0.5882,1.0,34
9b7g_QP,protenix,d625,seed1_r2,9b7g_qp_sample_1.cif,0.022,0.6296,1.0,27
9b7g_QP,protenix,d625,seed1_r2,9b7g_qp_sample_2.cif,0.021,0.5926,1.0,27
9b7g_QP,protenix,d625,seed1_r2,9b7g_qp_sample_3.cif,0.105,0.5952,1.0,42
9b7g_QP,protenix,d625,seed1_r2,9b7g_qp_sample_4.cif,0.035,0.7407,1.0,27
9b7g_QP,protenix,d625,seed1_r3,9b7g_qp_sample_0.cif,0.094,0.5789,1.0,38
9b7g_QP,protenix,d625,seed1_r3,9b7g_qp_sample_1.cif,0.041,0.6389,1.0,36
9b7g_QP,protenix,d625,seed1_r3,9b7g_qp_sample_2.cif,0.028,0.5676,1.0,37
9b7g_QP,protenix,d625,seed1_r3,9b7g_qp_sample_3.cif,0.023,0.5714,0.9714,35
9b7g_QP,protenix,d625,seed1_r3,9b7g_qp_sample_4.cif,0.123,0.8519,1.0,27
9b7g_QP,protenix,d625,seed2_r0,9b7g_qp_sample_0.cif,0.03,0.4054,1.0,37
9b7g_QP,protenix,d625,seed2_r0,9b7g_qp_sample_1.cif,0.037,0.7241,1.0,29
