path,target,run,pose,score
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed1_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed1_r0,8q7s_c_sample_1.cif,0.10298
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed1_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed1_r0,8q7s_c_sample_4.cif,0.1225
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed2_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed2_r0,8q7s_c_sample_2.cif,0.07064
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed2_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed2_r0,8q7s_c_sample_1.cif,0.09464
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed0_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed0_r0,8q7s_c_sample_2.cif,0.03441
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed1_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed1_r0,8q7s_c_sample_3.cif,0.07934
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed1_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed1_r0,8q7s_c_sample_2.cif,0.19108
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed2_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed2_r0,8q7s_c_sample_0.cif,0.1528
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed0_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed0_r0,8q7s_c_sample_4.cif,0.02783
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed2_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed2_r0,8q7s_c_sample_4.cif,0.16479
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed0_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed0_r0,8q7s_c_sample_0.cif,0.06763
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed3_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed3_r0,8q7s_c_sample_2.cif,0.18555
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed0_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed0_r0,8q7s_c_sample_1.cif,0.07313
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed3_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed3_r0,8q7s_c_sample_0.cif,0.08437
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed3_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed3_r0,8q7s_c_sample_3.cif,0.07778
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed3_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed3_r0,8q7s_c_sample_4.cif,0.04957
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed0_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed0_r0,8q7s_c_sample_3.cif,0.04771
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed3_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed3_r0,8q7s_c_sample_1.cif,0.20278
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed2_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed2_r0,8q7s_c_sample_3.cif,0.03028
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed1_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed1_r0,8q7s_c_sample_0.cif,0.25727
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seedfull_r0,8q7s_c_sample_4.cif,0.15247
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seedfull_r2,8q7s_c_sample_2.cif,0.11907
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seedfull_r2,8q7s_c_sample_4.cif,0.04814
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seedfull_r2,8q7s_c_sample_0.cif,0.05076
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed4_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed4_r0,8q7s_c_sample_2.cif,0.03308
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seedfull_r2,8q7s_c_sample_3.cif,0.19973
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seedfull_r0,8q7s_c_sample_2.cif,0.04383
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seedfull_r1,8q7s_c_sample_4.cif,0.14387
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed4_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed4_r0,8q7s_c_sample_1.cif,0.07295
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seedfull_r2,8q7s_c_sample_1.cif,0.07715
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seedfull_r1,8q7s_c_sample_3.cif,0.08139
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seedfull_r1,8q7s_c_sample_2.cif,0.07627
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seedfull_r0,8q7s_c_sample_1.cif,0.15382
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed4_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed4_r0,8q7s_c_sample_4.cif,0.11055
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seedfull_r1,8q7s_c_sample_0.cif,0.08553
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seedfull_r0,8q7s_c_sample_3.cif,0.0688
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed4_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed4_r0,8q7s_c_sample_3.cif,0.08225
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seedfull_r1,8q7s_c_sample_1.cif,0.30579
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seedfull_r0,8q7s_c_sample_0.cif,0.10391
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seed4_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed4_r0,8q7s_c_sample_0.cif,0.02629
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed0_r0,8q7s_c_sample_2.cif,0.07472
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seedfull_r3,8q7s_c_sample_1.cif,0.11833
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r4/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seedfull_r4,8q7s_c_sample_1.cif,0.15842
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r4/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seedfull_r4,8q7s_c_sample_4.cif,0.03671
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed0_r0,8q7s_c_sample_3.cif,0.11304
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seedfull_r3,8q7s_c_sample_2.cif,0.13886
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed0_r1,8q7s_c_sample_2.cif,0.09038
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed0_r1,8q7s_c_sample_1.cif,0.12163
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed0_r1,8q7s_c_sample_3.cif,0.12601
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r4/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seedfull_r4,8q7s_c_sample_2.cif,0.11134
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed0_r0,8q7s_c_sample_1.cif,0.11068
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed0_r0,8q7s_c_sample_0.cif,0.13778
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r4/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seedfull_r4,8q7s_c_sample_0.cif,0.03836
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed0_r1,8q7s_c_sample_0.cif,0.27506
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seedfull_r3,8q7s_c_sample_3.cif,0.16034
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed0_r1,8q7s_c_sample_4.cif,0.12634
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seedfull_r3,8q7s_c_sample_0.cif,0.21491
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r4/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seedfull_r4,8q7s_c_sample_3.cif,0.18585
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed0_r0,8q7s_c_sample_4.cif,0.09365
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d35/seedfull_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seedfull_r3,8q7s_c_sample_4.cif,0.05178
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed0_r3,8q7s_c_sample_4.cif,0.08354
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed1_r1,8q7s_c_sample_4.cif,0.16364
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed0_r2,8q7s_c_sample_0.cif,0.12302
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed1_r1,8q7s_c_sample_2.cif,0.05372
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed1_r0,8q7s_c_sample_3.cif,0.13828
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed1_r0,8q7s_c_sample_4.cif,0.03692
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed0_r2,8q7s_c_sample_3.cif,0.04174
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed1_r0,8q7s_c_sample_0.cif,0.05165
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed0_r3,8q7s_c_sample_3.cif,0.04218
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed0_r2,8q7s_c_sample_1.cif,0.11792
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed1_r0,8q7s_c_sample_2.cif,0.12735
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed0_r2,8q7s_c_sample_4.cif,0.1427
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed1_r1,8q7s_c_sample_3.cif,0.0453
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed0_r3,8q7s_c_sample_2.cif,0.13193
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed1_r1,8q7s_c_sample_1.cif,0.03036
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed1_r0,8q7s_c_sample_1.cif,0.10784
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed0_r3,8q7s_c_sample_1.cif,0.08677
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed0_r2,8q7s_c_sample_2.cif,0.12467
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed1_r1,8q7s_c_sample_0.cif,0.14833
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed0_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed0_r3,8q7s_c_sample_0.cif,0.29736
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed2_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed2_r0,8q7s_c_sample_4.cif,0.0454
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed2_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed2_r1,8q7s_c_sample_1.cif,0.05846
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed2_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed2_r0,8q7s_c_sample_2.cif,0.0388
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed1_r3,8q7s_c_sample_0.cif,0.13808
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed1_r2,8q7s_c_sample_0.cif,0.09198
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed1_r3,8q7s_c_sample_1.cif,0.04423
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed2_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed2_r1,8q7s_c_sample_3.cif,0.03886
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed1_r3,8q7s_c_sample_3.cif,0.05221
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed2_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_4.cif,8q7s_C,seed2_r1,8q7s_c_sample_4.cif,0.12253
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed1_r2,8q7s_c_sample_3.cif,0.03979
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed2_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_3.cif,8q7s_C,seed2_r0,8q7s_c_sample_3.cif,0.0298
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed1_r2,8q7s_c_sample_1.cif,0.04915
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r3/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed1_r3,8q7s_c_sample_2.cif,0.04138
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed2_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_1.cif,8q7s_C,seed2_r0,8q7s_c_sample_1.cif,0.0592
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed2_r0/results/8q7s_c/seed_0/predictions/8q7s_c_sample_0.cif,8q7s_C,seed2_r0,8q7s_c_sample_0.cif,0.04434
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed1_r2/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed1_r2,8q7s_c_sample_2.cif,0.08804
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_C/d86/seed2_r1/results/8q7s_c/seed_0/predictions/8q7s_c_sample_2.cif,8q7s_C,seed2_r1,8q7s_c_sample_2.cif,0.07073
