target,verdict,dq_noconstraint,dq_fullmsa,dq_sizematch,dq_ours,drop_full,drop_size,drop_ours,n_ctrl,rc_no,rc_ours
8sit_HL,제약 자체가 해로움,0.808,0.025,0.026,0.026,0.783,0.782,0.782,2,0.926,0.235
9ml9_HL,제약 자체가 해로움,0.692,,0.028,0.024,,0.664,0.668,1,0.952,0.08
8kep_HL,제약 자체가 해로움,0.667,,0.225,0.372,,0.442,0.295,1,0.905,0.545
9azt_HL,제약 자체가 해로움,0.216,0.015,0.015,0.021,0.201,0.201,0.195,2,0.75,0.0
8t4a_PR,제약 자체가 해로움,0.19,0.014,0.014,0.01,0.176,0.176,0.18,2,0.48,0.0
9azv_HL,우리만 해로움,0.207,0.229,0.193,0.044,-0.022,0.014,0.163,2,0.76,0.08
8siq_HL,제약 자체가 해로움,0.159,0.029,0.032,0.027,0.13,0.127,0.132,2,0.5,0.219
8t4d_OQ,제약 자체가 해로움,0.138,0.017,0.01,0.039,0.121,0.128,0.099,2,0.682,0.276
8u44_ST,차이 없음,0.248,0.227,0.233,0.197,0.021,0.015,0.051,2,0.955,0.941
8ulr_HL,차이 없음,0.844,0.813,0.784,0.793,0.031,0.06,0.051,2,0.9,0.882
9azr_HL,차이 없음,0.216,0.146,0.134,0.166,0.07,0.082,0.05,2,0.667,0.656
8q7s_O,차이 없음,0.886,0.858,0.862,0.842,0.028,0.024,0.044,2,0.958,0.958
8q7s_C,차이 없음,0.915,0.902,0.856,0.878,0.013,0.059,0.037,2,0.962,0.96
8k5h_HL,차이 없음,0.842,0.845,0.83,0.829,-0.003,0.012,0.013,2,0.867,0.867
9bdg_FI,차이 없음,0.036,0.022,0.022,0.023,0.014,0.014,0.013,2,0.238,0.111
9w43_AB,차이 없음,0.121,0.107,0.17,0.115,0.014,-0.049,0.006,2,0.579,0.783
9mqr_DE,차이 없음,0.009,0.086,0.052,0.007,-0.077,-0.043,0.002,2,0.217,0.0
8k3k_D,차이 없음,0.009,0.015,0.014,0.013,-0.006,-0.005,-0.004,2,0.033,0.125
8xsi_HL,차이 없음,0.026,0.027,0.027,0.03,-0.001,-0.001,-0.004,2,0.0,0.0
8k46_I,차이 없음,0.009,0.02,0.015,0.015,-0.011,-0.006,-0.006,2,0.032,0.038
8tp5_HL,우리만 이득,0.072,0.006,0.006,0.217,0.066,0.066,-0.145,2,0.708,0.769
9b7g_QP,우리가 나음,0.498,0.709,0.707,0.681,-0.211,-0.209,-0.183,2,0.826,0.846
8sis_HL,우리만 이득,0.034,0.042,0.032,0.315,-0.008,0.002,-0.281,2,0.154,0.741
8q7s_H,우리만 이득,0.014,0.014,0.015,0.327,0.0,-0.001,-0.313,2,0.15,0.867
