target,class,blind_full,guided_best,diff,n_patch
8XSI,cryptic,0.021,0.126,+0.105,18
9SBB,other,0.026,0.125,+0.099,18
8SIS,core_other,0.040,0.261,+0.221,18
9ML8,cryptic,0.045,0.110,+0.065,14
8SDF,cryptic,0.027,0.034,+0.007,20
8SIT,core,0.065,0.183,+0.118,16
9ML9,core,0.046,0.186,+0.140,15
8P5M,RBM_edge,0.069,0.137,+0.068,8
8SIQ,core,0.038,0.041,+0.003,7
9ZDU,core,0.219,0.029,-0.190,8
