target,pdb,group,ab,dirtype,ag_chains,label
8q7s_O,8q7s,RBD,A,targets,A,class1/2(RBM)
8y6a_CD,8y6a,RBD,B,targets,A,class3
9azr_HL,9azr,HA,A,targets,A,head
8txu_HL,8txu,HA,B,targets,A|B,stem
8t4b_OQ,8t4b,Env,A,targets,A,N332
8tkc_GH,8tkc,Env,B,targets,A,FP
9xf9_diverse,9xf9,C,C,diverse,A,Kasokero-endo
8q7s_C,8q7s,RBD,A,targets,A,class1/2(RBM)
8q7s_H,8q7s,RBD,B,targets,A,class4
9azv_HL,9azv,HA,A,targets,A,head
8u44_ST,8u44,HA,B,targets,A|B,stem
9bnp_HL,9bnp,Env,A,targets,A,V2apex
8vfv_GI,8vfv,Env,B,targets,A|B,MPER
9y0a_diverse,9y0a,C,C,diverse,A,Bet-v-1
8kep_HL,8kep,RBD,A,targets,A,class1/2(RBM)
8wpy_AB,8wpy,RBD,B,targets,A,class3
9azt_HL,9azt,HA,A,targets,A,head
8tx3_FK,8tx3,HA,B,targets,A|B,stem
8ulr_HL,8ulr,Env,A,targets,A,CD4bs
9evz_HL,9evz,Env,B,targets,A|B,gp120gp41
9vxl_diverse,9vxl,C,C,diverse,A,CD38
8k5g_HL,8k5g,RBD,A,targets,A,class1/2(RBM)
8k3k_D,8k3k,RBD,B,targets,A,class4
8tp5_HL,8tp5,HA,A,targets,A,head
8txm_HL,8txm,HA,B,targets,A|B,stem
8t49_PR,8t49,Env,A,targets,A,N332
8tjr_HL,8tjr,Env,B,targets,A|B,FP
9ly5_diverse,9ly5,C,C,diverse,A,B7-H3
8k5h_HL,8k5h,RBD,A,targets,A,class1/2(RBM)
8xsj_HL,8xsj,RBD,B,targets,A,class3
9b7g_QP,9b7g,HA,A,targets,A,head
8txt_GI,8txt,HA,B,targets,A|B,stem
8t4d_OQ,8t4d,Env,A,targets,A,N332
8tq1_CD,8tq1,Env,B,targets,A|B,MPER
9mqr_diverse,9mqr,C,C,diverse,A,CD97
8q5y_GH,8q5y,RBD,A,targets,A,class1/2(RBM)
8k46_I,8k46,RBD,B,targets,A,class4
9bdg_FI,9bdg,HA,A,targets,A,head
8txt_HL,8txt,HA,B,targets,A|B,stem
8t4a_PR,8t4a,Env,A,targets,A,N332
8tl5_IJ,8tl5,Env,B,targets,A|B,gp120gp41
9kkj_diverse,9kkj,C,C,diverse,A,Nectin-4
8kdm_GF,8kdm,RBD,A,targets,A,class1/2(RBM)
8vye_AD,8vye,RBD,B,targets,A,class3
8ume_HL,8ume,HA,A,targets,A,head
8txp_HL,8txp,HA,B,targets,A|B,stem
9w43_diverse,9w43,C,C,diverse,A,PD-1
9yc6_diverse,9yc6,C,C,diverse,A,uPAR
9j4c_diverse,9j4c,C,C,diverse,A,PlexinA1
