target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8tp5_HL,protenix,d307,seed0_r0,8tp5_hl_sample_0.cif,0.1,0.6,1.0,35
8tp5_HL,protenix,d307,seed0_r0,8tp5_hl_sample_1.cif,0.047,0.65,0.975,40
8tp5_HL,protenix,d307,seed0_r0,8tp5_hl_sample_2.cif,0.07,0.7419,1.0,31
8tp5_HL,protenix,d307,seed0_r0,8tp5_hl_sample_3.cif,0.017,0.3684,0.9123,57
8tp5_HL,protenix,d307,seed0_r0,8tp5_hl_sample_4.cif,0.034,0.5882,1.0,34
8tp5_HL,protenix,d307,seed0_r1,8tp5_hl_sample_0.cif,0.07,0.6053,1.0,38
8tp5_HL,protenix,d307,seed0_r1,8tp5_hl_sample_1.cif,0.07,0.7742,1.0,31
8tp5_HL,protenix,d307,seed0_r1,8tp5_hl_sample_2.cif,0.023,0.3958,0.8958,48
8tp5_HL,protenix,d307,seed0_r1,8tp5_hl_sample_3.cif,0.026,0.3729,0.8814,59
8tp5_HL,protenix,d307,seed0_r1,8tp5_hl_sample_4.cif,0.025,0.55,1.0,20
8tp5_HL,protenix,d307,seed0_r2,8tp5_hl_sample_0.cif,0.004,0.0,0.1321,53
8tp5_HL,protenix,d307,seed0_r2,8tp5_hl_sample_1.cif,0.005,0.0,0.26,50
8tp5_HL,protenix,d307,seed0_r2,8tp5_hl_sample_2.cif,0.005,0.0,0.4118,68
8tp5_HL,protenix,d307,seed0_r2,8tp5_hl_sample_3.cif,0.007,0.2903,0.371,62
8tp5_HL,protenix,d307,seed0_r2,8tp5_hl_sample_4.cif,0.007,0.2535,0.4225,71
8tp5_HL,protenix,d307,seed0_r3,8tp5_hl_sample_0.cif,0.093,0.5676,1.0,37
8tp5_HL,protenix,d307,seed0_r3,8tp5_hl_sample_1.cif,0.07,0.7188,1.0,32
8tp5_HL,protenix,d307,seed0_r3,8tp5_hl_sample_2.cif,0.023,0.3455,0.9091,55
8tp5_HL,protenix,d307,seed0_r3,8tp5_hl_sample_3.cif,0.015,0.25,0.6053,76
8tp5_HL,protenix,d307,seed0_r3,8tp5_hl_sample_4.cif,0.054,0.5588,1.0,34
8tp5_HL,protenix,d307,seed1_r0,8tp5_hl_sample_0.cif,0.007,0.0308,0.5385,65
8tp5_HL,protenix,d307,seed1_r0,8tp5_hl_sample_1.cif,0.005,0.0,0.371,62
8tp5_HL,protenix,d307,seed1_r0,8tp5_hl_sample_2.cif,0.091,0.3833,0.55,60
8tp5_HL,protenix,d307,seed1_r0,8tp5_hl_sample_3.cif,0.005,0.0,0.38,50
