target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8ume_HL,protenix,d653,seed0_r0,8ume_hl_sample_0.cif,0.014,0.0,0.5938,32
8ume_HL,protenix,d653,seed0_r0,8ume_hl_sample_1.cif,0.044,0.303,0.6364,33
8ume_HL,protenix,d653,seed0_r0,8ume_hl_sample_2.cif,0.145,0.625,0.7083,24
8ume_HL,protenix,d653,seed0_r0,8ume_hl_sample_3.cif,0.043,0.3125,0.7812,32
8ume_HL,protenix,d653,seed0_r0,8ume_hl_sample_4.cif,0.011,0.0,0.0,27
8ume_HL,protenix,d653,seed0_r1,8ume_hl_sample_0.cif,0.009,0.0,0.5926,27
8ume_HL,protenix,d653,seed0_r1,8ume_hl_sample_1.cif,0.017,0.3333,0.9,30
8ume_HL,protenix,d653,seed0_r1,8ume_hl_sample_2.cif,0.014,0.0,0.5385,26
8ume_HL,protenix,d653,seed0_r1,8ume_hl_sample_3.cif,0.012,0.0,0.375,32
8ume_HL,protenix,d653,seed0_r1,8ume_hl_sample_4.cif,0.032,0.5,0.8333,24
8ume_HL,protenix,d653,seed0_r2,8ume_hl_sample_0.cif,0.062,0.7273,0.7273,22
8ume_HL,protenix,d653,seed0_r2,8ume_hl_sample_1.cif,0.045,0.48,0.8,25
8ume_HL,protenix,d653,seed0_r2,8ume_hl_sample_2.cif,0.154,0.6667,0.75,24
8ume_HL,protenix,d653,seed0_r2,8ume_hl_sample_3.cif,0.007,0.0,1.0,22
8ume_HL,protenix,d653,seed0_r2,8ume_hl_sample_4.cif,0.012,0.0,0.0,25
8ume_HL,protenix,d653,seed0_r3,8ume_hl_sample_0.cif,0.018,0.2581,0.871,31
8ume_HL,protenix,d653,seed0_r3,8ume_hl_sample_1.cif,0.017,0.2188,0.9375,32
8ume_HL,protenix,d653,seed0_r3,8ume_hl_sample_2.cif,0.012,0.0,0.3226,31
8ume_HL,protenix,d653,seed0_r3,8ume_hl_sample_3.cif,0.043,0.3793,0.7931,29
8ume_HL,protenix,d653,seed0_r3,8ume_hl_sample_4.cif,0.057,0.6667,0.8889,27
8ume_HL,protenix,d653,seed1_r0,8ume_hl_sample_0.cif,0.007,0.0,0.0294,34
8ume_HL,protenix,d653,seed1_r0,8ume_hl_sample_1.cif,0.007,0.0,0.0833,36
8ume_HL,protenix,d653,seed1_r0,8ume_hl_sample_2.cif,0.009,0.0,0.4314,51
8ume_HL,protenix,d653,seed1_r0,8ume_hl_sample_3.cif,0.009,0.0,0.5385,52
8ume_HL,protenix,d653,seed1_r0,8ume_hl_sample_4.cif,0.007,0.0,0.0,49
8ume_HL,protenix,d653,seed1_r1,8ume_hl_sample_0.cif,0.008,0.0,0.75,52
8ume_HL,protenix,d653,seed1_r1,8ume_hl_sample_1.cif,0.008,0.0,0.8222,45
8ume_HL,protenix,d653,seed1_r1,8ume_hl_sample_2.cif,0.02,0.1458,0.4167,48
8ume_HL,protenix,d653,seed1_r1,8ume_hl_sample_3.cif,0.005,0.0,0.0,45
8ume_HL,protenix,d653,seed1_r1,8ume_hl_sample_4.cif,0.005,0.0,0.0,38
8ume_HL,protenix,d653,seed1_r2,8ume_hl_sample_0.cif,0.01,0.0,0.5128,39
8ume_HL,protenix,d653,seed1_r2,8ume_hl_sample_1.cif,0.007,0.0,0.0,30
8ume_HL,protenix,d653,seed1_r2,8ume_hl_sample_2.cif,0.007,0.0,0.0,28
8ume_HL,protenix,d653,seed1_r2,8ume_hl_sample_3.cif,0.007,0.0,0.0,28
8ume_HL,protenix,d653,seed1_r2,8ume_hl_sample_4.cif,0.011,0.0588,0.8235,34
8ume_HL,protenix,d653,seed1_r3,8ume_hl_sample_0.cif,0.018,0.2727,0.9091,33
8ume_HL,protenix,d653,seed1_r3,8ume_hl_sample_1.cif,0.018,0.2333,0.9333,30
8ume_HL,protenix,d653,seed1_r3,8ume_hl_sample_2.cif,0.054,0.4194,0.871,31
8ume_HL,protenix,d653,seed1_r3,8ume_hl_sample_3.cif,0.012,0.0,0.3636,33
8ume_HL,protenix,d653,seed1_r3,8ume_hl_sample_4.cif,0.009,0.0,0.963,27
8ume_HL,protenix,d653,seed2_r0,8ume_hl_sample_0.cif,0.325,0.5926,0.7778,27
8ume_HL,protenix,d653,seed2_r0,8ume_hl_sample_1.cif,0.048,0.5417,0.875,24
8ume_HL,protenix,d653,seed2_r0,8ume_hl_sample_2.cif,0.037,0.1053,0.2632,38
8ume_HL,protenix,d653,seed2_r0,8ume_hl_sample_3.cif,0.041,0.3333,0.5455,33
8ume_HL,protenix,d653,seed2_r0,8ume_hl_sample_4.cif,0.009,0.0,0.9062,32
8ume_HL,protenix,d653,seed2_r1,8ume_hl_sample_0.cif,0.007,0.0,0.8519,27
8ume_HL,protenix,d653,seed2_r1,8ume_hl_sample_1.cif,0.022,0.4444,0.8889,18
8ume_HL,protenix,d653,seed2_r1,8ume_hl_sample_2.cif,0.006,0.0,0.963,27
8ume_HL,protenix,d653,seed2_r1,8ume_hl_sample_3.cif,0.006,0.0,0.9615,26
8ume_HL,protenix,d653,seed2_r1,8ume_hl_sample_4.cif,0.007,0.0,0.9375,32
8ume_HL,protenix,d653,seed2_r2,8ume_hl_sample_0.cif,0.007,0.0,0.9667,30
8ume_HL,protenix,d653,seed2_r2,8ume_hl_sample_1.cif,0.006,0.0,0.9697,33
8ume_HL,protenix,d653,seed2_r2,8ume_hl_sample_2.cif,0.006,0.0,0.9667,30
