date,phase,model,target,seed,dockq_abag,global_iptm,pair_iptm_abag,success,notes
2026-07-03,Benchmark,Boltz-2,10ZO,0,0.83,0.94,0.929,True,DockQ(Ab-Ag) B-A 0.830; pair ipTM 0.93-0.94; interfaces=1
2026-07-03,Benchmark,Boltz-2,10ZO,1,0.844,0.943,0.931,True,DockQ(Ab-Ag) B-A 0.844; pair ipTM 0.93-0.94; interfaces=1
2026-07-03,Benchmark,Boltz-2,10ZO,2,0.832,0.935,0.922,True,DockQ(Ab-Ag) B-A 0.832; pair ipTM 0.92-0.93; interfaces=1
2026-07-03,Benchmark,Boltz-2,10ZO,3,0.804,0.934,0.92,True,DockQ(Ab-Ag) B-A 0.804; pair ipTM 0.92-0.93; interfaces=1
2026-07-03,Benchmark,Boltz-2,10ZO,4,0.817,0.924,0.908,True,DockQ(Ab-Ag) B-A 0.817; pair ipTM 0.91-0.92; interfaces=1
2026-07-03,Benchmark,Boltz-2,9Y0A,0,0.036,0.732,0.466,False,DockQ(Ab-Ag) C-A 0.047 / C-B 0.036; pair ipTM 0.47-0.59; interfaces=3
2026-07-03,Benchmark,Boltz-2,9Y0A,1,0.03,0.731,0.421,False,DockQ(Ab-Ag) C-A 0.030 / C-B 0.030; pair ipTM 0.42-0.61; interfaces=3
2026-07-03,Benchmark,Boltz-2,9Y0A,2,0.06,0.722,0.418,False,DockQ(Ab-Ag) C-A 0.060 / C-B 0.061; pair ipTM 0.42-0.58; interfaces=3
2026-07-03,Benchmark,Boltz-2,9Y0A,3,0.059,0.703,0.323,False,DockQ(Ab-Ag) C-A 0.060 / C-B 0.059; pair ipTM 0.32-0.53; interfaces=3
2026-07-03,Benchmark,Boltz-2,9Y0A,4,0.035,0.585,0.152,False,DockQ(Ab-Ag) C-A 0.046 / C-B 0.035; pair ipTM 0.15-0.25; interfaces=3
2026-07-03,Benchmark,Boltz-2,9K6J,0,0.025,0.805,0.61,False,DockQ(Ab-Ag) C-A 0.042 / C-B 0.025; pair ipTM 0.61-0.72; interfaces=3
2026-07-03,Benchmark,Boltz-2,9K6J,1,0.024,0.776,0.535,False,DockQ(Ab-Ag) C-A 0.036 / C-B 0.024; pair ipTM 0.53-0.67; interfaces=3
2026-07-03,Benchmark,Boltz-2,9K6J,2,0.025,0.762,0.514,False,DockQ(Ab-Ag) C-A 0.042 / C-B 0.025; pair ipTM 0.51-0.65; interfaces=3
2026-07-03,Benchmark,Boltz-2,9K6J,3,0.026,0.745,0.461,False,DockQ(Ab-Ag) C-A 0.032 / C-B 0.026; pair ipTM 0.46-0.61; interfaces=3
2026-07-03,Benchmark,Boltz-2,9K6J,4,0.028,0.728,0.434,False,DockQ(Ab-Ag) C-A 0.033 / C-B 0.028; pair ipTM 0.43-0.58; interfaces=3
2026-07-03,Benchmark,Boltz-2,9XF9,0,0.075,0.828,0.642,False,DockQ(Ab-Ag) A-H 0.154 / A-L 0.075; pair ipTM 0.64-0.79; interfaces=3
2026-07-03,Benchmark,Boltz-2,9XF9,1,0.157,0.716,0.435,False,DockQ(Ab-Ag) A-H 0.171 / A-L 0.157; pair ipTM 0.43-0.59; interfaces=3
2026-07-03,Benchmark,Boltz-2,9XF9,2,0.05,0.673,0.363,False,DockQ(Ab-Ag) A-H 0.050 / A-L 0.070; pair ipTM 0.36-0.50; interfaces=3
2026-07-03,Benchmark,Boltz-2,9XF9,3,0.01,0.661,0.363,False,DockQ(Ab-Ag) A-H 0.013 / A-L 0.010; pair ipTM 0.36-0.48; interfaces=3
2026-07-03,Benchmark,Boltz-2,9XF9,4,0.049,0.549,0.178,False,DockQ(Ab-Ag) A-H 0.049 / A-L 0.061; pair ipTM 0.18-0.27; interfaces=3
2026-07-03,Benchmark,Boltz-2,9OBN,0,0.671,0.905,0.889,True,DockQ(Ab-Ag) A-E 0.671; pair ipTM 0.89-0.91; interfaces=1
2026-07-03,Benchmark,Boltz-2,9OBN,1,0.685,0.905,0.904,True,DockQ(Ab-Ag) A-E 0.685; pair ipTM 0.90-0.90; interfaces=1
2026-07-03,Benchmark,Boltz-2,9OBN,2,0.684,0.895,0.89,True,DockQ(Ab-Ag) A-E 0.684; pair ipTM 0.89-0.89; interfaces=1
2026-07-03,Benchmark,Boltz-2,9OBN,3,0.678,0.894,0.888,True,DockQ(Ab-Ag) A-E 0.678; pair ipTM 0.89-0.89; interfaces=1
2026-07-03,Benchmark,Boltz-2,9OBN,4,0.664,0.89,0.889,True,DockQ(Ab-Ag) A-E 0.664; pair ipTM 0.89-0.89; interfaces=1
2026-07-04,Benchmark,Chai-1,10ZO,0,0.783,0.766,0.744,True,DockQ(Ab-Ag) B-A 0.783; pair ipTM 0.74-0.77; interfaces=1
2026-07-04,Benchmark,Chai-1,10ZO,1,0.75,0.767,0.744,True,DockQ(Ab-Ag) B-A 0.750; pair ipTM 0.74-0.77; interfaces=1
2026-07-04,Benchmark,Chai-1,10ZO,2,0.776,0.766,0.732,True,DockQ(Ab-Ag) B-A 0.776; pair ipTM 0.73-0.77; interfaces=1
2026-07-04,Benchmark,Chai-1,10ZO,3,0.771,0.767,0.746,True,DockQ(Ab-Ag) B-A 0.771; pair ipTM 0.75-0.77; interfaces=1
2026-07-04,Benchmark,Chai-1,10ZO,4,0.762,0.767,0.748,True,DockQ(Ab-Ag) B-A 0.762; pair ipTM 0.75-0.77; interfaces=1
2026-07-04,Benchmark,Chai-1,9OBN,0,0.66,0.735,0.693,True,DockQ(Ab-Ag) A-E 0.660; pair ipTM 0.69-0.74; interfaces=1
2026-07-04,Benchmark,Chai-1,9OBN,1,0.728,0.738,0.698,True,DockQ(Ab-Ag) A-E 0.728; pair ipTM 0.70-0.74; interfaces=1
2026-07-04,Benchmark,Chai-1,9OBN,2,0.589,0.739,0.695,True,DockQ(Ab-Ag) A-E 0.589; pair ipTM 0.69-0.74; interfaces=1
2026-07-04,Benchmark,Chai-1,9OBN,3,0.645,0.738,0.7,True,DockQ(Ab-Ag) A-E 0.645; pair ipTM 0.70-0.74; interfaces=1
2026-07-04,Benchmark,Chai-1,9OBN,4,0.684,0.74,0.7,True,DockQ(Ab-Ag) A-E 0.684; pair ipTM 0.70-0.74; interfaces=1
2026-07-04,Benchmark,Chai-1,9K6J,0,0.018,0.61,0.191,False,DockQ(Ab-Ag) C-A 0.043 / C-B 0.018; pair ipTM 0.19-0.22; interfaces=3
2026-07-04,Benchmark,Chai-1,9K6J,1,0.018,0.602,0.175,False,DockQ(Ab-Ag) C-A 0.048 / C-B 0.018; pair ipTM 0.18-0.22; interfaces=3
2026-07-04,Benchmark,Chai-1,9K6J,2,0.007,0.567,0.149,False,DockQ(Ab-Ag) C-A 0.007 / C-B 0.009; pair ipTM 0.15-0.16; interfaces=3
2026-07-04,Benchmark,Chai-1,9K6J,3,0.078,0.6,0.156,False,DockQ(Ab-Ag) C-A 0.133 / C-B 0.078; pair ipTM 0.16-0.20; interfaces=3
2026-07-04,Benchmark,Chai-1,9K6J,4,0.018,0.597,0.18,False,DockQ(Ab-Ag) C-A 0.053 / C-B 0.018; pair ipTM 0.18-0.22; interfaces=3
2026-07-04,Benchmark,Chai-1,9XF9,0,0.014,0.574,0.162,False,DockQ(Ab-Ag) A-H 0.014 / A-L 0.029; pair ipTM 0.16-0.22; interfaces=3
2026-07-04,Benchmark,Chai-1,9XF9,1,0.054,0.591,0.178,False,DockQ(Ab-Ag) A-H 0.082 / A-L 0.054; pair ipTM 0.18-0.25; interfaces=3
2026-07-04,Benchmark,Chai-1,9XF9,2,0.028,0.586,0.178,False,DockQ(Ab-Ag) A-H 0.049 / A-L 0.028; pair ipTM 0.18-0.24; interfaces=3
2026-07-04,Benchmark,Chai-1,9XF9,3,0.201,0.588,0.173,False,DockQ(Ab-Ag) A-H 0.275 / A-L 0.201; pair ipTM 0.17-0.23; interfaces=3
2026-07-04,Benchmark,Chai-1,9XF9,4,0.075,0.586,0.166,False,DockQ(Ab-Ag) A-H 0.107 / A-L 0.075; pair ipTM 0.17-0.23; interfaces=3
2026-07-04,Benchmark,Chai-1,9Y0A,0,0.564,0.576,0.189,True,DockQ(Ab-Ag) C-A 0.564 / C-B 0.596; pair ipTM 0.19-0.25; interfaces=3
2026-07-04,Benchmark,Chai-1,9Y0A,1,0.49,0.583,0.196,True,DockQ(Ab-Ag) C-A 0.599 / C-B 0.490; pair ipTM 0.20-0.25; interfaces=3
2026-07-04,Benchmark,Chai-1,9Y0A,2,0.368,0.587,0.192,True,DockQ(Ab-Ag) C-A 0.564 / C-B 0.368; pair ipTM 0.19-0.25; interfaces=3
2026-07-04,Benchmark,Chai-1,9Y0A,3,0.306,0.579,0.199,True,DockQ(Ab-Ag) C-A 0.569 / C-B 0.306; pair ipTM 0.20-0.25; interfaces=3
2026-07-04,Benchmark,Chai-1,9Y0A,4,0.129,0.561,0.172,False,DockQ(Ab-Ag) C-A 0.133 / C-B 0.129; pair ipTM 0.17-0.21; interfaces=3
2026-07-04,Benchmark,Protenix,10ZO,0,0.893,0.911,0.911,True,DockQ(Ab-Ag) B-A 0.893; pair ipTM 0.91-0.91; interfaces=1; MSA=protenix
2026-07-04,Benchmark,Protenix,10ZO,1,0.879,0.911,0.911,True,DockQ(Ab-Ag) B-A 0.879; pair ipTM 0.91-0.91; interfaces=1; MSA=protenix
2026-07-04,Benchmark,Protenix,10ZO,2,0.874,0.911,0.911,True,DockQ(Ab-Ag) B-A 0.874; pair ipTM 0.91-0.91; interfaces=1; MSA=protenix
2026-07-04,Benchmark,Protenix,10ZO,3,0.873,0.911,0.911,True,DockQ(Ab-Ag) B-A 0.873; pair ipTM 0.91-0.91; interfaces=1; MSA=protenix
2026-07-04,Benchmark,Protenix,10ZO,4,0.888,0.911,0.911,True,DockQ(Ab-Ag) B-A 0.888; pair ipTM 0.91-0.91; interfaces=1; MSA=protenix
2026-07-04,Benchmark,Protenix,9Y0A,0,0.05,0.597,0.228,False,DockQ(Ab-Ag) C-A 0.050 / C-B 0.050; pair ipTM 0.23-0.25; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9Y0A,1,0.031,0.587,0.206,False,DockQ(Ab-Ag) C-A 0.032 / C-B 0.031; pair ipTM 0.21-0.22; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9Y0A,2,0.034,0.586,0.201,False,DockQ(Ab-Ag) C-A 0.034 / C-B 0.035; pair ipTM 0.20-0.21; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9Y0A,3,0.043,0.585,0.199,False,DockQ(Ab-Ag) C-A 0.043 / C-B 0.044; pair ipTM 0.20-0.21; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9Y0A,4,0.027,0.581,0.183,False,DockQ(Ab-Ag) C-A 0.027 / C-B 0.028; pair ipTM 0.18-0.19; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9OBN,0,0.714,0.912,0.912,True,DockQ(Ab-Ag) A-E 0.714; pair ipTM 0.91-0.91; interfaces=1; MSA=protenix
2026-07-04,Benchmark,Protenix,9OBN,1,0.707,0.911,0.911,True,DockQ(Ab-Ag) A-E 0.707; pair ipTM 0.91-0.91; interfaces=1; MSA=protenix
2026-07-04,Benchmark,Protenix,9OBN,2,0.705,0.911,0.911,True,DockQ(Ab-Ag) A-E 0.705; pair ipTM 0.91-0.91; interfaces=1; MSA=protenix
2026-07-04,Benchmark,Protenix,9OBN,3,0.7,0.911,0.911,True,DockQ(Ab-Ag) A-E 0.700; pair ipTM 0.91-0.91; interfaces=1; MSA=protenix
2026-07-04,Benchmark,Protenix,9OBN,4,0.701,0.91,0.91,True,DockQ(Ab-Ag) A-E 0.701; pair ipTM 0.91-0.91; interfaces=1; MSA=protenix
2026-07-04,Benchmark,Protenix,9K6J,0,0.023,0.703,0.431,False,DockQ(Ab-Ag) C-A 0.041 / C-B 0.023; pair ipTM 0.43-0.44; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9K6J,1,0.02,0.702,0.431,False,DockQ(Ab-Ag) C-A 0.054 / C-B 0.020; pair ipTM 0.43-0.46; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9K6J,2,0.022,0.699,0.421,False,DockQ(Ab-Ag) C-A 0.040 / C-B 0.022; pair ipTM 0.42-0.44; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9K6J,3,0.022,0.699,0.429,False,DockQ(Ab-Ag) C-A 0.050 / C-B 0.022; pair ipTM 0.43-0.45; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9K6J,4,0.045,0.695,0.407,False,DockQ(Ab-Ag) C-A 0.045 / C-B 0.108; pair ipTM 0.41-0.42; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9XF9,0,0.007,0.595,0.27,False,DockQ(Ab-Ag) A-H 0.007 / A-L 0.008; pair ipTM 0.27-0.30; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9XF9,1,0.006,0.561,0.212,False,DockQ(Ab-Ag) A-H 0.007 / A-L 0.006; pair ipTM 0.21-0.22; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9XF9,2,0.014,0.551,0.204,False,DockQ(Ab-Ag) A-H 0.028 / A-L 0.014; pair ipTM 0.20-0.21; interfaces=3; MSA=protenix
2026-07-04,Benchmark,Protenix,9XF9,3,0.022,0.542,0.172,False,DockQ(Ab-Ag) A-H 0.090 / A-L 0.022; pair ipTM 0.17-0.19; interfaces=3; MSA=protenix
