path,target,run,pose,score
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r1/results/8ume_hl/seed_0/predictions/8ume_hl_sample_1.cif,8ume_HL,seed0_r1,8ume_hl_sample_1.cif,0.03562
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r1/results/8ume_hl/seed_0/predictions/8ume_hl_sample_4.cif,8ume_HL,seed0_r1,8ume_hl_sample_4.cif,0.02985
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r2/results/8ume_hl/seed_0/predictions/8ume_hl_sample_2.cif,8ume_HL,seed0_r2,8ume_hl_sample_2.cif,0.28576
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r2/results/8ume_hl/seed_0/predictions/8ume_hl_sample_1.cif,8ume_HL,seed0_r2,8ume_hl_sample_1.cif,0.03398
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r0/results/8ume_hl/seed_0/predictions/8ume_hl_sample_2.cif,8ume_HL,seed0_r0,8ume_hl_sample_2.cif,0.23403
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r1/results/8ume_hl/seed_0/predictions/8ume_hl_sample_3.cif,8ume_HL,seed0_r1,8ume_hl_sample_3.cif,0.07928
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r1/results/8ume_hl/seed_0/predictions/8ume_hl_sample_2.cif,8ume_HL,seed0_r1,8ume_hl_sample_2.cif,0.03709
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r2/results/8ume_hl/seed_0/predictions/8ume_hl_sample_0.cif,8ume_HL,seed0_r2,8ume_hl_sample_0.cif,0.14039
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r0/results/8ume_hl/seed_0/predictions/8ume_hl_sample_4.cif,8ume_HL,seed0_r0,8ume_hl_sample_4.cif,0.04513
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r2/results/8ume_hl/seed_0/predictions/8ume_hl_sample_4.cif,8ume_HL,seed0_r2,8ume_hl_sample_4.cif,0.09605
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r0/results/8ume_hl/seed_0/predictions/8ume_hl_sample_0.cif,8ume_HL,seed0_r0,8ume_hl_sample_0.cif,0.0356
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r3/results/8ume_hl/seed_0/predictions/8ume_hl_sample_2.cif,8ume_HL,seed0_r3,8ume_hl_sample_2.cif,0.15435
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r0/results/8ume_hl/seed_0/predictions/8ume_hl_sample_1.cif,8ume_HL,seed0_r0,8ume_hl_sample_1.cif,0.29905
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r3/results/8ume_hl/seed_0/predictions/8ume_hl_sample_0.cif,8ume_HL,seed0_r3,8ume_hl_sample_0.cif,0.03006
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r3/results/8ume_hl/seed_0/predictions/8ume_hl_sample_3.cif,8ume_HL,seed0_r3,8ume_hl_sample_3.cif,0.15516
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r3/results/8ume_hl/seed_0/predictions/8ume_hl_sample_4.cif,8ume_HL,seed0_r3,8ume_hl_sample_4.cif,0.2093
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r0/results/8ume_hl/seed_0/predictions/8ume_hl_sample_3.cif,8ume_HL,seed0_r0,8ume_hl_sample_3.cif,0.16477
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r3/results/8ume_hl/seed_0/predictions/8ume_hl_sample_1.cif,8ume_HL,seed0_r3,8ume_hl_sample_1.cif,0.14331
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r2/results/8ume_hl/seed_0/predictions/8ume_hl_sample_3.cif,8ume_HL,seed0_r2,8ume_hl_sample_3.cif,0.05853
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed0_r1/results/8ume_hl/seed_0/predictions/8ume_hl_sample_0.cif,8ume_HL,seed0_r1,8ume_hl_sample_0.cif,0.1066
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r1/results/8ume_hl/seed_0/predictions/8ume_hl_sample_4.cif,8ume_HL,seed1_r1,8ume_hl_sample_4.cif,0.03958
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r3/results/8ume_hl/seed_0/predictions/8ume_hl_sample_2.cif,8ume_HL,seed1_r3,8ume_hl_sample_2.cif,0.04595
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r3/results/8ume_hl/seed_0/predictions/8ume_hl_sample_4.cif,8ume_HL,seed1_r3,8ume_hl_sample_4.cif,0.10224
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r3/results/8ume_hl/seed_0/predictions/8ume_hl_sample_0.cif,8ume_HL,seed1_r3,8ume_hl_sample_0.cif,0.07117
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r0/results/8ume_hl/seed_0/predictions/8ume_hl_sample_2.cif,8ume_HL,seed1_r0,8ume_hl_sample_2.cif,0.03734
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r3/results/8ume_hl/seed_0/predictions/8ume_hl_sample_3.cif,8ume_HL,seed1_r3,8ume_hl_sample_3.cif,0.03616
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r1/results/8ume_hl/seed_0/predictions/8ume_hl_sample_2.cif,8ume_HL,seed1_r1,8ume_hl_sample_2.cif,0.05135
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r2/results/8ume_hl/seed_0/predictions/8ume_hl_sample_4.cif,8ume_HL,seed1_r2,8ume_hl_sample_4.cif,0.05836
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r0/results/8ume_hl/seed_0/predictions/8ume_hl_sample_1.cif,8ume_HL,seed1_r0,8ume_hl_sample_1.cif,0.03091
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r3/results/8ume_hl/seed_0/predictions/8ume_hl_sample_1.cif,8ume_HL,seed1_r3,8ume_hl_sample_1.cif,0.02472
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r2/results/8ume_hl/seed_0/predictions/8ume_hl_sample_3.cif,8ume_HL,seed1_r2,8ume_hl_sample_3.cif,0.09427
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r2/results/8ume_hl/seed_0/predictions/8ume_hl_sample_2.cif,8ume_HL,seed1_r2,8ume_hl_sample_2.cif,0.05472
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r1/results/8ume_hl/seed_0/predictions/8ume_hl_sample_1.cif,8ume_HL,seed1_r1,8ume_hl_sample_1.cif,0.0787
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r0/results/8ume_hl/seed_0/predictions/8ume_hl_sample_4.cif,8ume_HL,seed1_r0,8ume_hl_sample_4.cif,0.09903
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r2/results/8ume_hl/seed_0/predictions/8ume_hl_sample_0.cif,8ume_HL,seed1_r2,8ume_hl_sample_0.cif,0.05108
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r1/results/8ume_hl/seed_0/predictions/8ume_hl_sample_3.cif,8ume_HL,seed1_r1,8ume_hl_sample_3.cif,0.056
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r0/results/8ume_hl/seed_0/predictions/8ume_hl_sample_3.cif,8ume_HL,seed1_r0,8ume_hl_sample_3.cif,0.15871
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8ume_HL/d653/seed1_r2/results/8ume_hl/seed_0/predictions/8ume_hl_sample_1.cif,8ume_HL,seed1_r2,8ume_hl_sample_1.cif,0.11929
