target,group,ab,model,rung,neff80,best_dockq,n_pose
8q7s_O,RBD,A,boltz,0,35.589,0.666,5
8q7s_O,RBD,A,boltz,1,27.526,0.686,5
8q7s_O,RBD,A,boltz,2,21.933,0.671,5
8q7s_O,RBD,A,boltz,3,14.733,0.668,5
8q7s_O,RBD,A,boltz,4,14.0,0.658,5
8q7s_O,RBD,A,boltz,5,8.0,0.811,5
8q7s_O,RBD,A,boltz,6,7.0,0.711,5
8q7s_O,RBD,A,boltz,7,4.0,0.712,5
8q7s_O,RBD,A,boltz,8,3.0,0.705,5
8q7s_O,RBD,A,boltz,9,2.0,0.68,5
8y6a_CD,RBD,B,boltz,0,33.388,0.042,5
8y6a_CD,RBD,B,boltz,1,26.079,0.052,5
8y6a_CD,RBD,B,boltz,2,22.568,0.052,5
8y6a_CD,RBD,B,boltz,3,16.2,0.028,5
8y6a_CD,RBD,B,boltz,4,13.333,0.052,5
8y6a_CD,RBD,B,boltz,5,10.0,0.052,5
8y6a_CD,RBD,B,boltz,6,5.0,0.052,5
8y6a_CD,RBD,B,boltz,7,6.0,0.145,5
8y6a_CD,RBD,B,boltz,8,3.0,0.052,5
8y6a_CD,RBD,B,boltz,9,2.0,0.804,5
8y6a_CD,RBD,B,boltz,10,2.0,0.086,5
9azr_HL,HA,A,boltz,0,120.544,0.154,5
9azr_HL,HA,A,boltz,1,91.887,0.272,5
9azr_HL,HA,A,boltz,2,68.359,0.152,5
9azr_HL,HA,A,boltz,3,51.422,0.144,5
9azr_HL,HA,A,boltz,4,28.345,0.14,5
9azr_HL,HA,A,boltz,5,22.355,0.14,5
9azr_HL,HA,A,boltz,6,14.167,0.238,5
9azr_HL,HA,A,boltz,7,9.0,0.154,5
9azr_HL,HA,A,boltz,8,6.0,0.13,5
9azr_HL,HA,A,boltz,9,3.0,0.108,5
9azr_HL,HA,A,boltz,10,2.0,0.117,5
8txu_HL,HA,B,boltz,0,52.955,0.055,5
8txu_HL,HA,B,boltz,1,38.101,0.534,5
8txu_HL,HA,B,boltz,2,28.121,0.056,5
8txu_HL,HA,B,boltz,3,20.959,0.055,5
8txu_HL,HA,B,boltz,4,15.707,0.057,5
8txu_HL,HA,B,boltz,5,11.471,0.056,5
8txu_HL,HA,B,boltz,6,9.167,0.061,5
8txu_HL,HA,B,boltz,7,8.0,0.476,5
8txu_HL,HA,B,boltz,8,5.0,0.047,5
8txu_HL,HA,B,boltz,9,2.0,0.05,5
8txu_HL,HA,B,boltz,10,2.0,0.049,5
8t4b_OQ,Env,A,boltz,0,2935.914,0.099,5
8t4b_OQ,Env,A,boltz,1,1433.539,0.098,5
8t4b_OQ,Env,A,boltz,2,674.603,0.095,5
8t4b_OQ,Env,A,boltz,3,319.087,0.073,5
8t4b_OQ,Env,A,boltz,4,153.583,0.079,5
8t4b_OQ,Env,A,boltz,5,81.0,0.115,5
8t4b_OQ,Env,A,boltz,6,31.0,0.095,5
8t4b_OQ,Env,A,boltz,7,14.0,0.055,5
8t4b_OQ,Env,A,boltz,8,4.0,0.083,5
8t4b_OQ,Env,A,boltz,9,3.0,0.115,5
8t4b_OQ,Env,A,boltz,10,1.0,0.108,5
8tkc_GH,Env,B,boltz,0,209.114,0.049,5
8tkc_GH,Env,B,boltz,1,145.773,0.026,5
8tkc_GH,Env,B,boltz,2,101.098,0.021,5
8tkc_GH,Env,B,boltz,3,67.901,0.023,5
8tkc_GH,Env,B,boltz,4,43.801,0.045,5
8tkc_GH,Env,B,boltz,5,33.118,0.019,5
8tkc_GH,Env,B,boltz,6,20.151,0.038,5
8tkc_GH,Env,B,boltz,7,8.149,0.018,5
8tkc_GH,Env,B,boltz,8,4.077,0.037,5
8tkc_GH,Env,B,boltz,9,4.0,0.031,5
8tkc_GH,Env,B,boltz,10,2.0,0.022,5
9xf9_HL,C,C,boltz,0,49.8,0.018,5
9xf9_HL,C,C,boltz,1,37.333,0.015,5
9xf9_HL,C,C,boltz,2,26.45,0.027,5
9xf9_HL,C,C,boltz,3,20.167,0.038,5
9xf9_HL,C,C,boltz,4,15.0,0.018,5
9xf9_HL,C,C,boltz,5,10.0,0.068,5
9xf9_HL,C,C,boltz,6,8.0,0.022,5
9xf9_HL,C,C,boltz,7,6.0,0.017,5
9xf9_HL,C,C,boltz,8,3.0,0.025,5
9xf9_HL,C,C,boltz,9,2.0,0.021,5
8q7s_C,RBD,A,boltz,0,35.184,0.776,5
8q7s_C,RBD,A,boltz,1,27.594,0.687,5
8q7s_C,RBD,A,boltz,2,21.833,0.706,5
8q7s_C,RBD,A,boltz,3,14.707,0.664,5
8q7s_C,RBD,A,boltz,4,14.0,0.673,5
8q7s_C,RBD,A,boltz,5,8.0,0.789,5
8q7s_C,RBD,A,boltz,6,7.0,0.731,5
8q7s_C,RBD,A,boltz,7,4.0,0.722,5
8q7s_C,RBD,A,boltz,8,4.0,0.7,5
8q7s_C,RBD,A,boltz,9,2.0,0.662,5
8q7s_H,RBD,B,boltz,0,35.589,0.014,5
8q7s_H,RBD,B,boltz,1,27.022,0.014,5
8q7s_H,RBD,B,boltz,2,22.35,0.014,5
8q7s_H,RBD,B,boltz,3,14.733,0.015,5
8q7s_H,RBD,B,boltz,4,14.0,0.014,5
8q7s_H,RBD,B,boltz,5,9.0,0.052,5
8q7s_H,RBD,B,boltz,6,7.0,0.013,5
8q7s_H,RBD,B,boltz,7,4.0,0.013,5
8q7s_H,RBD,B,boltz,8,4.0,0.097,5
8q7s_H,RBD,B,boltz,9,2.0,0.014,5
9azv_HL,HA,A,boltz,0,119.616,0.346,5
9azv_HL,HA,A,boltz,1,88.834,0.279,5
9azv_HL,HA,A,boltz,2,68.907,0.248,5
9azv_HL,HA,A,boltz,3,45.001,0.377,5
9azv_HL,HA,A,boltz,4,29.735,0.403,5
9azv_HL,HA,A,boltz,5,21.936,0.328,5
9azv_HL,HA,A,boltz,6,14.0,0.292,5
9azv_HL,HA,A,boltz,7,9.333,0.275,5
9azv_HL,HA,A,boltz,8,5.0,0.392,5
9azv_HL,HA,A,boltz,9,3.0,0.358,5
9azv_HL,HA,A,boltz,10,2.0,0.17,5
8u44_ST,HA,B,boltz,0,63.164,0.325,5
8u44_ST,HA,B,boltz,1,42.043,0.322,5
8u44_ST,HA,B,boltz,2,34.284,0.311,5
8u44_ST,HA,B,boltz,3,24.977,0.303,5
8u44_ST,HA,B,boltz,4,16.673,0.288,5
8u44_ST,HA,B,boltz,5,10.076,0.331,5
8u44_ST,HA,B,boltz,6,10.333,0.265,5
8u44_ST,HA,B,boltz,7,8.333,0.316,5
8u44_ST,HA,B,boltz,8,5.0,0.362,5
8u44_ST,HA,B,boltz,9,3.0,0.226,5
8u44_ST,HA,B,boltz,10,2.0,0.272,5
9bnp_HL,Env,A,boltz,0,2582.986,0.079,5
9bnp_HL,Env,A,boltz,1,1252.756,0.024,5
9bnp_HL,Env,A,boltz,2,614.293,0.039,5
9bnp_HL,Env,A,boltz,3,288.364,0.114,5
9bnp_HL,Env,A,boltz,4,143.434,0.119,5
9bnp_HL,Env,A,boltz,5,64.333,0.112,5
9bnp_HL,Env,A,boltz,6,29.333,0.059,5
9bnp_HL,Env,A,boltz,7,13.0,0.106,5
9bnp_HL,Env,A,boltz,8,7.0,0.013,5
9bnp_HL,Env,A,boltz,9,1.0,0.091,5
9bnp_HL,Env,A,boltz,10,2.0,0.037,5
9y0a_AB,C,C,boltz,0,1123.223,0.061,5
9y0a_AB,C,C,boltz,1,688.404,0.574,5
9y0a_AB,C,C,boltz,2,409.989,0.058,5
9y0a_AB,C,C,boltz,3,221.42,0.058,5
9y0a_AB,C,C,boltz,4,112.719,0.06,5
9y0a_AB,C,C,boltz,5,59.833,0.057,5
9y0a_AB,C,C,boltz,6,28.0,0.724,5
9y0a_AB,C,C,boltz,7,14.0,0.057,5
9y0a_AB,C,C,boltz,8,8.0,0.061,5
9y0a_AB,C,C,boltz,9,3.0,0.055,5
9y0a_AB,C,C,boltz,10,2.0,0.707,5
8kep_HL,RBD,A,boltz,0,28.735,0.659,5
8kep_HL,RBD,A,boltz,1,21.687,0.71,5
8kep_HL,RBD,A,boltz,2,15.319,0.698,5
8kep_HL,RBD,A,boltz,3,11.75,0.695,5
8kep_HL,RBD,A,boltz,4,9.067,0.671,5
8kep_HL,RBD,A,boltz,5,9.0,0.637,5
8kep_HL,RBD,A,boltz,6,6.0,0.732,5
8kep_HL,RBD,A,boltz,7,3.0,0.712,5
8kep_HL,RBD,A,boltz,8,3.0,0.51,5
8kep_HL,RBD,A,boltz,9,2.0,0.643,5
8wpy_AB,RBD,B,boltz,0,35.938,0.854,5
8wpy_AB,RBD,B,boltz,1,23.026,0.852,5
8wpy_AB,RBD,B,boltz,2,19.368,0.859,5
8wpy_AB,RBD,B,boltz,3,17.975,0.043,5
8wpy_AB,RBD,B,boltz,4,12.75,0.041,5
8wpy_AB,RBD,B,boltz,5,9.083,0.043,5
8wpy_AB,RBD,B,boltz,6,7.0,0.042,5
8wpy_AB,RBD,B,boltz,7,5.0,0.042,5
8wpy_AB,RBD,B,boltz,8,2.0,0.045,5
8wpy_AB,RBD,B,boltz,9,2.0,0.044,5
9azt_HL,HA,A,boltz,0,119.616,0.426,5
9azt_HL,HA,A,boltz,1,88.834,0.419,5
9azt_HL,HA,A,boltz,2,68.907,0.444,5
9azt_HL,HA,A,boltz,3,45.001,0.288,5
9azt_HL,HA,A,boltz,4,29.735,0.263,5
9azt_HL,HA,A,boltz,5,21.936,0.393,5
9azt_HL,HA,A,boltz,6,14.0,0.285,5
9azt_HL,HA,A,boltz,7,9.333,0.398,5
9azt_HL,HA,A,boltz,8,5.0,0.576,5
9azt_HL,HA,A,boltz,9,3.0,0.28,5
9azt_HL,HA,A,boltz,10,2.0,0.385,5
8tx3_FK,HA,B,boltz,0,59.723,0.007,5
8tx3_FK,HA,B,boltz,1,45.597,0.006,5
8tx3_FK,HA,B,boltz,2,37.619,0.006,5
8tx3_FK,HA,B,boltz,3,22.394,0.007,5
8tx3_FK,HA,B,boltz,4,14.609,0.007,5
8tx3_FK,HA,B,boltz,5,10.425,0.007,5
8tx3_FK,HA,B,boltz,6,12.333,0.007,5
8tx3_FK,HA,B,boltz,7,6.0,0.006,5
8tx3_FK,HA,B,boltz,8,5.0,0.008,5
8tx3_FK,HA,B,boltz,9,3.0,0.007,5
8tx3_FK,HA,B,boltz,10,2.0,0.008,5
8ulr_HL,Env,A,boltz,0,3050.887,0.745,5
8ulr_HL,Env,A,boltz,1,1511.812,0.788,5
8ulr_HL,Env,A,boltz,2,701.811,0.804,5
8ulr_HL,Env,A,boltz,3,342.686,0.779,5
8ulr_HL,Env,A,boltz,4,159.769,0.784,5
8ulr_HL,Env,A,boltz,5,79.083,0.769,5
8ulr_HL,Env,A,boltz,6,32.0,0.771,5
8ulr_HL,Env,A,boltz,7,19.0,0.792,5
8ulr_HL,Env,A,boltz,8,11.0,0.772,5
8ulr_HL,Env,A,boltz,9,4.0,0.733,5
8ulr_HL,Env,A,boltz,10,1.0,0.754,5
9evz_HL,Env,B,boltz,0,184.805,0.004,5
9evz_HL,Env,B,boltz,1,132.33,0.004,5
9evz_HL,Env,B,boltz,2,83.296,0.004,5
9evz_HL,Env,B,boltz,3,50.224,0.004,5
9evz_HL,Env,B,boltz,4,34.159,0.004,5
9evz_HL,Env,B,boltz,5,21.279,0.003,5
9evz_HL,Env,B,boltz,6,15.977,0.004,5
9evz_HL,Env,B,boltz,7,6.63,0.004,5
9evz_HL,Env,B,boltz,8,5.017,0.004,5
9evz_HL,Env,B,boltz,9,5.0,0.003,5
9evz_HL,Env,B,boltz,10,1.0,0.004,5
9vxl_BC,C,C,boltz,0,607.011,0.004,5
9vxl_BC,C,C,boltz,1,387.973,0.004,5
9vxl_BC,C,C,boltz,2,228.407,0.006,5
9vxl_BC,C,C,boltz,3,134.012,0.005,5
9vxl_BC,C,C,boltz,4,70.438,0.005,5
9vxl_BC,C,C,boltz,5,42.0,0.005,5
9vxl_BC,C,C,boltz,6,21.0,0.005,5
9vxl_BC,C,C,boltz,7,13.0,0.005,5
9vxl_BC,C,C,boltz,8,6.0,0.005,5
9vxl_BC,C,C,boltz,9,4.0,0.006,5
9vxl_BC,C,C,boltz,10,2.0,0.004,5
8k5g_HL,RBD,A,boltz,0,30.926,0.815,5
8k5g_HL,RBD,A,boltz,1,22.373,0.808,5
8k5g_HL,RBD,A,boltz,2,16.222,0.817,5
8k5g_HL,RBD,A,boltz,3,14.842,0.821,5
8k5g_HL,RBD,A,boltz,4,10.667,0.813,5
8k5g_HL,RBD,A,boltz,5,8.417,0.841,5
8k5g_HL,RBD,A,boltz,6,6.5,0.826,5
8k5g_HL,RBD,A,boltz,7,4.0,0.834,5
8k5g_HL,RBD,A,boltz,8,3.0,0.794,5
8k5g_HL,RBD,A,boltz,9,1.0,0.83,5
8k3k_D,RBD,B,boltz,0,28.989,0.068,5
8k3k_D,RBD,B,boltz,1,20.875,0.159,5
8k3k_D,RBD,B,boltz,2,14.258,0.02,5
8k3k_D,RBD,B,boltz,3,12.75,0.169,5
8k3k_D,RBD,B,boltz,4,10.267,0.06,5
8k3k_D,RBD,B,boltz,5,9.0,0.138,5
8k3k_D,RBD,B,boltz,6,6.0,0.069,5
8k3k_D,RBD,B,boltz,7,3.0,0.056,5
8k3k_D,RBD,B,boltz,8,3.0,0.077,5
8k3k_D,RBD,B,boltz,9,2.0,0.059,5
8tp5_HL,HA,A,boltz,0,140.052,0.073,5
8tp5_HL,HA,A,boltz,1,104.853,0.102,5
8tp5_HL,HA,A,boltz,2,73.226,0.088,5
8tp5_HL,HA,A,boltz,3,48.992,0.101,5
8tp5_HL,HA,A,boltz,4,29.993,0.092,5
