target,model,depth,seed,pose,dockq,recall,overrep,n_contact
9yc6_HL,protenix,d611,seed0_r0,9yc6_hl_sample_0.cif,0.019,0.2083,,72
9yc6_HL,protenix,d611,seed0_r0,9yc6_hl_sample_1.cif,0.011,0.0,,64
9yc6_HL,protenix,d611,seed0_r0,9yc6_hl_sample_2.cif,0.027,0.1348,,89
9yc6_HL,protenix,d611,seed0_r0,9yc6_hl_sample_3.cif,0.018,0.0,,71
9yc6_HL,protenix,d611,seed0_r0,9yc6_hl_sample_4.cif,0.074,0.2727,,55
9yc6_HL,protenix,d611,seed0_r1,9yc6_hl_sample_0.cif,0.013,0.141,,78
9yc6_HL,protenix,d611,seed0_r1,9yc6_hl_sample_1.cif,0.026,0.2029,,69
9yc6_HL,protenix,d611,seed0_r1,9yc6_hl_sample_2.cif,0.045,0.2963,,54
9yc6_HL,protenix,d611,seed0_r1,9yc6_hl_sample_3.cif,0.015,0.0,,72
9yc6_HL,protenix,d611,seed0_r1,9yc6_hl_sample_4.cif,0.062,0.2308,,65
9yc6_HL,protenix,d611,seed0_r2,9yc6_hl_sample_0.cif,0.031,0.2143,,56
9yc6_HL,protenix,d611,seed0_r2,9yc6_hl_sample_1.cif,0.007,0.2281,,57
9yc6_HL,protenix,d611,seed0_r2,9yc6_hl_sample_2.cif,0.016,0.0449,,89
9yc6_HL,protenix,d611,seed0_r2,9yc6_hl_sample_3.cif,0.006,0.1857,,70
9yc6_HL,protenix,d611,seed0_r2,9yc6_hl_sample_4.cif,0.018,0.1047,,86
9yc6_HL,protenix,d611,seed0_r3,9yc6_hl_sample_0.cif,0.034,0.2449,,49
9yc6_HL,protenix,d611,seed0_r3,9yc6_hl_sample_1.cif,0.021,0.125,,104
9yc6_HL,protenix,d611,seed0_r3,9yc6_hl_sample_2.cif,0.035,0.2143,,56
9yc6_HL,protenix,d611,seed0_r3,9yc6_hl_sample_3.cif,0.045,0.2069,,58
9yc6_HL,protenix,d611,seed0_r3,9yc6_hl_sample_4.cif,0.007,0.0526,,95
9yc6_HL,protenix,d611,seed1_r0,9yc6_hl_sample_0.cif,0.011,0.2059,,68
9yc6_HL,protenix,d611,seed1_r0,9yc6_hl_sample_1.cif,0.019,0.0,,47
9yc6_HL,protenix,d611,seed1_r0,9yc6_hl_sample_2.cif,0.04,0.087,,69
9yc6_HL,protenix,d611,seed1_r0,9yc6_hl_sample_3.cif,0.025,0.0426,,47
9yc6_HL,protenix,d611,seed1_r0,9yc6_hl_sample_4.cif,0.019,0.0781,,64
9yc6_HL,protenix,d611,seed1_r1,9yc6_hl_sample_0.cif,0.011,0.2692,,26
9yc6_HL,protenix,d611,seed1_r1,9yc6_hl_sample_1.cif,0.021,0.0411,,73
9yc6_HL,protenix,d611,seed1_r1,9yc6_hl_sample_2.cif,0.031,0.1143,,70
9yc6_HL,protenix,d611,seed1_r1,9yc6_hl_sample_3.cif,0.033,0.0488,,41
9yc6_HL,protenix,d611,seed1_r1,9yc6_hl_sample_4.cif,0.037,0.3514,,37
9yc6_HL,protenix,d611,seed1_r2,9yc6_hl_sample_0.cif,0.015,0.2143,,56
9yc6_HL,protenix,d611,seed1_r2,9yc6_hl_sample_1.cif,0.027,0.2,,60
9yc6_HL,protenix,d611,seed1_r2,9yc6_hl_sample_2.cif,0.033,0.2027,,74
9yc6_HL,protenix,d611,seed1_r2,9yc6_hl_sample_3.cif,0.011,0.1818,,33
9yc6_HL,protenix,d611,seed1_r2,9yc6_hl_sample_4.cif,0.015,0.1067,,75
9yc6_HL,protenix,d611,seed1_r3,9yc6_hl_sample_0.cif,0.014,0.1222,,90
9yc6_HL,protenix,d611,seed1_r3,9yc6_hl_sample_1.cif,0.016,0.2373,,59
9yc6_HL,protenix,d611,seed1_r3,9yc6_hl_sample_2.cif,0.015,0.1392,,79
9yc6_HL,protenix,d611,seed1_r3,9yc6_hl_sample_3.cif,0.039,0.2683,,41
9yc6_HL,protenix,d611,seed1_r3,9yc6_hl_sample_4.cif,0.03,0.0645,,31
9yc6_HL,protenix,d611,seed2_r0,9yc6_hl_sample_0.cif,0.028,0.2295,,61
9yc6_HL,protenix,d611,seed2_r0,9yc6_hl_sample_1.cif,0.03,0.34,,50
9yc6_HL,protenix,d611,seed2_r0,9yc6_hl_sample_2.cif,0.046,0.2927,,41
9yc6_HL,protenix,d611,seed2_r0,9yc6_hl_sample_3.cif,0.021,0.1111,,81
9yc6_HL,protenix,d611,seed2_r0,9yc6_hl_sample_4.cif,0.023,0.1489,,47
9yc6_HL,protenix,d611,seed2_r1,9yc6_hl_sample_0.cif,0.052,0.3111,,45
9yc6_HL,protenix,d611,seed2_r1,9yc6_hl_sample_1.cif,0.03,0.2154,,65
9yc6_HL,protenix,d611,seed2_r1,9yc6_hl_sample_2.cif,0.022,0.169,,71
9yc6_HL,protenix,d611,seed2_r1,9yc6_hl_sample_3.cif,0.027,0.1493,,67
9yc6_HL,protenix,d611,seed2_r1,9yc6_hl_sample_4.cif,0.019,0.2,,55
9yc6_HL,protenix,d611,seed2_r2,9yc6_hl_sample_0.cif,0.027,0.2075,,53
9yc6_HL,protenix,d611,seed2_r2,9yc6_hl_sample_1.cif,0.021,0.3077,,39
9yc6_HL,protenix,d611,seed2_r2,9yc6_hl_sample_2.cif,0.014,0.0286,,70
9yc6_HL,protenix,d611,seed2_r2,9yc6_hl_sample_3.cif,0.032,0.28,,50
9yc6_HL,protenix,d611,seed2_r2,9yc6_hl_sample_4.cif,0.007,0.0,,64
9yc6_HL,protenix,d611,seed2_r3,9yc6_hl_sample_0.cif,0.014,0.0678,,59
9yc6_HL,protenix,d611,seed2_r3,9yc6_hl_sample_1.cif,0.029,0.1594,,69
9yc6_HL,protenix,d611,seed2_r3,9yc6_hl_sample_2.cif,0.016,0.0508,,59
9yc6_HL,protenix,d611,seed2_r3,9yc6_hl_sample_3.cif,0.018,0.1053,,76
9yc6_HL,protenix,d611,seed2_r3,9yc6_hl_sample_4.cif,0.026,0.1594,,69
9yc6_HL,protenix,d611,seed3_r0,9yc6_hl_sample_0.cif,0.033,0.2069,,58
9yc6_HL,protenix,d611,seed3_r0,9yc6_hl_sample_1.cif,0.011,0.2105,,57
9yc6_HL,protenix,d611,seed3_r0,9yc6_hl_sample_2.cif,0.019,0.2424,,33
9yc6_HL,protenix,d611,seed3_r0,9yc6_hl_sample_3.cif,0.033,0.2115,,52
9yc6_HL,protenix,d611,seed3_r0,9yc6_hl_sample_4.cif,0.019,0.0135,,74
9yc6_HL,protenix,d611,seed3_r1,9yc6_hl_sample_0.cif,0.02,0.2222,,54
9yc6_HL,protenix,d611,seed3_r1,9yc6_hl_sample_1.cif,0.013,0.2292,,48
9yc6_HL,protenix,d611,seed3_r1,9yc6_hl_sample_2.cif,0.019,0.2222,,45
9yc6_HL,protenix,d611,seed3_r1,9yc6_hl_sample_3.cif,0.023,0.0444,,45
9yc6_HL,protenix,d611,seed3_r1,9yc6_hl_sample_4.cif,0.01,0.2059,,34
9yc6_HL,protenix,d611,seed3_r2,9yc6_hl_sample_0.cif,0.021,0.0,,64
9yc6_HL,protenix,d611,seed3_r2,9yc6_hl_sample_1.cif,0.032,0.3056,,36
9yc6_HL,protenix,d611,seed3_r2,9yc6_hl_sample_2.cif,0.03,0.2154,,65
9yc6_HL,protenix,d611,seed3_r2,9yc6_hl_sample_3.cif,0.015,0.1333,,90
9yc6_HL,protenix,d611,seed3_r2,9yc6_hl_sample_4.cif,0.017,0.0476,,42
9yc6_HL,protenix,d611,seed3_r3,9yc6_hl_sample_0.cif,0.036,0.2807,,57
9yc6_HL,protenix,d611,seed3_r3,9yc6_hl_sample_1.cif,0.015,0.1444,,90
9yc6_HL,protenix,d611,seed3_r3,9yc6_hl_sample_2.cif,0.041,0.35,,40
9yc6_HL,protenix,d611,seed3_r3,9yc6_hl_sample_3.cif,0.032,0.1892,,74
9yc6_HL,protenix,d611,seed3_r3,9yc6_hl_sample_4.cif,0.027,0.2222,,63
9yc6_HL,protenix,d611,seed4_r0,9yc6_hl_sample_0.cif,0.016,0.2308,,52
9yc6_HL,protenix,d611,seed4_r0,9yc6_hl_sample_1.cif,0.023,0.2031,,64
9yc6_HL,protenix,d611,seed4_r0,9yc6_hl_sample_2.cif,0.017,0.0635,,63
9yc6_HL,protenix,d611,seed4_r0,9yc6_hl_sample_3.cif,0.005,0.1096,,73
9yc6_HL,protenix,d611,seed4_r0,9yc6_hl_sample_4.cif,0.042,0.2821,,39
9yc6_HL,protenix,d611,seed4_r1,9yc6_hl_sample_0.cif,0.027,0.1897,,58
9yc6_HL,protenix,d611,seed4_r1,9yc6_hl_sample_1.cif,0.023,0.4571,,35
9yc6_HL,protenix,d611,seed4_r1,9yc6_hl_sample_2.cif,0.032,0.1053,,38
9yc6_HL,protenix,d611,seed4_r1,9yc6_hl_sample_3.cif,0.017,0.1139,,79
9yc6_HL,protenix,d611,seed4_r1,9yc6_hl_sample_4.cif,0.012,0.131,,84
9yc6_HL,protenix,d611,seed4_r2,9yc6_hl_sample_0.cif,0.015,0.1605,,81
9yc6_HL,protenix,d611,seed4_r2,9yc6_hl_sample_1.cif,0.007,0.2,,45
9yc6_HL,protenix,d611,seed4_r2,9yc6_hl_sample_2.cif,0.017,0.0909,,77
9yc6_HL,protenix,d611,seed4_r2,9yc6_hl_sample_3.cif,0.049,0.3,,40
9yc6_HL,protenix,d611,seed4_r2,9yc6_hl_sample_4.cif,0.009,0.0132,,76
9yc6_HL,protenix,d611,seed4_r3,9yc6_hl_sample_0.cif,0.017,0.2069,,58
9yc6_HL,protenix,d611,seed4_r3,9yc6_hl_sample_1.cif,0.023,0.2692,,52
9yc6_HL,protenix,d611,seed4_r3,9yc6_hl_sample_2.cif,0.022,0.3061,,49
9yc6_HL,protenix,d611,seed4_r3,9yc6_hl_sample_3.cif,0.016,0.117,,94
9yc6_HL,protenix,d611,seed4_r3,9yc6_hl_sample_4.cif,0.018,0.2083,,48
9yc6_HL,protenix,d611,seed5_r0,9yc6_hl_sample_0.cif,0.031,0.1406,,64
9yc6_HL,protenix,d611,seed5_r0,9yc6_hl_sample_1.cif,0.03,0.1067,,75
9yc6_HL,protenix,d611,seed5_r0,9yc6_hl_sample_2.cif,0.019,0.0,,55
9yc6_HL,protenix,d611,seed5_r0,9yc6_hl_sample_3.cif,0.013,0.075,,80
9yc6_HL,protenix,d611,seed5_r0,9yc6_hl_sample_4.cif,0.016,0.119,,42
9yc6_HL,protenix,d611,seed5_r1,9yc6_hl_sample_0.cif,0.017,0.1739,,92
9yc6_HL,protenix,d611,seed5_r1,9yc6_hl_sample_1.cif,0.015,0.2353,,68
9yc6_HL,protenix,d611,seed5_r1,9yc6_hl_sample_2.cif,0.051,0.4167,,36
9yc6_HL,protenix,d611,seed5_r1,9yc6_hl_sample_3.cif,0.02,0.0,,54
9yc6_HL,protenix,d611,seed5_r1,9yc6_hl_sample_4.cif,0.015,0.1791,,67
9yc6_HL,protenix,d611,seed5_r2,9yc6_hl_sample_0.cif,0.012,0.0,,76
9yc6_HL,protenix,d611,seed5_r2,9yc6_hl_sample_1.cif,0.016,0.1585,,82
9yc6_HL,protenix,d611,seed5_r2,9yc6_hl_sample_2.cif,0.015,0.0,,62
9yc6_HL,protenix,d611,seed5_r2,9yc6_hl_sample_3.cif,0.024,0.3095,,42
9yc6_HL,protenix,d611,seed5_r2,9yc6_hl_sample_4.cif,0.023,0.1897,,58
9yc6_HL,protenix,d611,seed5_r3,9yc6_hl_sample_0.cif,0.012,0.1618,,68
9yc6_HL,protenix,d611,seed5_r3,9yc6_hl_sample_1.cif,0.028,0.2857,,56
9yc6_HL,protenix,d611,seed5_r3,9yc6_hl_sample_2.cif,0.03,0.3684,,38
9yc6_HL,protenix,d611,seed5_r3,9yc6_hl_sample_3.cif,0.026,0.1739,,69
9yc6_HL,protenix,d611,seed5_r3,9yc6_hl_sample_4.cif,0.041,0.2105,,57
9yc6_HL,protenix,d611,seedfull_r0,9yc6_hl_sample_0.cif,0.028,0.1837,,49
9yc6_HL,protenix,d611,seedfull_r0,9yc6_hl_sample_1.cif,0.014,0.2143,,56
9yc6_HL,protenix,d611,seedfull_r0,9yc6_hl_sample_2.cif,0.029,0.26,,50
9yc6_HL,protenix,d611,seedfull_r0,9yc6_hl_sample_3.cif,0.009,0.4286,,28
9yc6_HL,protenix,d611,seedfull_r0,9yc6_hl_sample_4.cif,0.007,0.0698,,86
9yc6_HL,protenix,d611,seedfull_r1,9yc6_hl_sample_0.cif,0.008,0.0411,,73
9yc6_HL,protenix,d611,seedfull_r1,9yc6_hl_sample_1.cif,0.01,0.1579,,57
9yc6_HL,protenix,d611,seedfull_r1,9yc6_hl_sample_2.cif,0.017,0.2708,,48
9yc6_HL,protenix,d611,seedfull_r1,9yc6_hl_sample_3.cif,0.024,0.0357,,56
9yc6_HL,protenix,d611,seedfull_r1,9yc6_hl_sample_4.cif,0.008,0.4815,,27
9yc6_HL,protenix,d611,seedfull_r2,9yc6_hl_sample_0.cif,0.011,0.1268,,71
9yc6_HL,protenix,d611,seedfull_r2,9yc6_hl_sample_1.cif,0.019,0.1864,,59
9yc6_HL,protenix,d611,seedfull_r2,9yc6_hl_sample_2.cif,0.018,0.2034,,59
9yc6_HL,protenix,d611,seedfull_r2,9yc6_hl_sample_3.cif,0.03,0.1961,,51
9yc6_HL,protenix,d611,seedfull_r2,9yc6_hl_sample_4.cif,0.06,0.2373,,59
9yc6_HL,protenix,d611,seedfull_r3,9yc6_hl_sample_0.cif,0.007,0.1644,,73
9yc6_HL,protenix,d611,seedfull_r3,9yc6_hl_sample_1.cif,0.023,0.2,,60
9yc6_HL,protenix,d611,seedfull_r3,9yc6_hl_sample_2.cif,0.018,0.1818,,55
9yc6_HL,protenix,d611,seedfull_r3,9yc6_hl_sample_3.cif,0.023,0.193,,57
9yc6_HL,protenix,d611,seedfull_r3,9yc6_hl_sample_4.cif,0.01,0.2895,,38
9yc6_HL,protenix,d611,seedfull_r4,9yc6_hl_sample_0.cif,0.019,0.25,,56
9yc6_HL,protenix,d611,seedfull_r4,9yc6_hl_sample_1.cif,0.028,0.1915,,47
