target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8q7s_C,protenix,d86,seed0_r0,8q7s_c_sample_0.cif,0.205,0.6786,0.8571,28
8q7s_C,protenix,d86,seed0_r0,8q7s_c_sample_1.cif,0.085,0.68,0.92,25
8q7s_C,protenix,d86,seed0_r0,8q7s_c_sample_2.cif,0.057,0.7407,0.9259,27
8q7s_C,protenix,d86,seed0_r0,8q7s_c_sample_3.cif,0.061,0.6552,0.8276,29
8q7s_C,protenix,d86,seed0_r0,8q7s_c_sample_4.cif,0.012,0.0,0.1429,28
8q7s_C,protenix,d86,seed0_r1,8q7s_c_sample_0.cif,0.149,0.6429,0.8571,28
8q7s_C,protenix,d86,seed0_r1,8q7s_c_sample_1.cif,0.057,0.4516,0.7419,31
8q7s_C,protenix,d86,seed0_r1,8q7s_c_sample_2.cif,0.073,0.6667,0.9259,27
8q7s_C,protenix,d86,seed0_r1,8q7s_c_sample_3.cif,0.059,0.6296,0.8148,27
8q7s_C,protenix,d86,seed0_r1,8q7s_c_sample_4.cif,0.011,0.0,0.0741,27
8q7s_C,protenix,d86,seed0_r2,8q7s_c_sample_0.cif,0.199,0.6786,0.8571,28
8q7s_C,protenix,d86,seed0_r2,8q7s_c_sample_1.cif,0.064,0.5769,0.6923,26
8q7s_C,protenix,d86,seed0_r2,8q7s_c_sample_2.cif,0.061,0.6923,0.8462,26
8q7s_C,protenix,d86,seed0_r2,8q7s_c_sample_3.cif,0.074,0.6071,0.7143,28
8q7s_C,protenix,d86,seed0_r2,8q7s_c_sample_4.cif,0.011,0.0,0.069,29
8q7s_C,protenix,d86,seed0_r3,8q7s_c_sample_0.cif,0.168,0.6667,0.8148,27
8q7s_C,protenix,d86,seed0_r3,8q7s_c_sample_1.cif,0.06,0.6333,0.8,30
8q7s_C,protenix,d86,seed0_r3,8q7s_c_sample_2.cif,0.053,0.4667,0.7333,30
8q7s_C,protenix,d86,seed0_r3,8q7s_c_sample_3.cif,0.073,0.6774,0.9355,31
8q7s_C,protenix,d86,seed0_r3,8q7s_c_sample_4.cif,0.012,0.0,0.1379,29
8q7s_C,protenix,d86,seed1_r0,8q7s_c_sample_0.cif,0.079,0.6667,0.9583,24
