target,model,group,ab,n_rung,dq_full,dq_peak,dq_peak_rung,dq_peak_neff,dq_gain,rec_full,rec_peak,rec_peak_rung,rec_gain,rec_at_dqpk,over_full,over_min,over_min_rung,over_drop,coincide,responsive
8y6a_CD,boltz,RBD,B,11,0.042,0.804,9,2.0,0.762,0.0,0.8,9,0.8,0.8,0.0,0.0,0,0.0,True,True
9y0a_AB,boltz,C,C,11,0.061,0.724,6,28.0,0.663,0.0,0.789,10,0.789,0.727,,,,,False,True
8ulr_HL,protenix,Env,A,12,0.013,0.662,2,701.811,0.649,0.373,0.781,2,0.408,0.781,0.352,0.0,1,0.352,True,True
8txu_HL,boltz,HA,B,11,0.055,0.534,1,38.101,0.479,0.25,0.933,7,0.683,0.81,0.05,0.0,1,0.05,False,True
9azr_HL,protenix,HA,A,12,0.076,0.492,4,28.345,0.416,0.298,0.88,4,0.582,0.88,0.935,0.905,5,0.03,True,True
9azr_HL,boltz,HA,A,11,0.154,0.272,1,91.887,0.118,0.656,0.76,1,0.104,0.76,1.0,0.875,2,0.125,True,False
8k3k_D,boltz,RBD,B,10,0.068,0.169,3,12.75,0.101,0.667,0.864,6,0.197,0.636,0.115,0.0,8,0.115,False,False
8k46_I,boltz,RBD,B,10,0.113,0.2,5,9.333,0.087,0.84,0.84,0,0.0,0.783,0.107,0.0,1,0.107,False,False
8txu_HL,protenix,HA,B,12,0.03,0.097,2,28.121,0.067,0.152,0.364,2,0.212,0.364,0.0,0.0,0,0.0,True,False
8ulr_HL,boltz,Env,A,11,0.745,0.804,2,701.811,0.059,0.879,0.913,1,0.034,0.844,0.333,0.217,5,0.116,True,False
8k46_I,protenix,RBD,B,12,0.029,0.087,4,13.0,0.058,0.179,0.742,5,0.563,0.667,0.667,0.082,9,0.585,True,False
9y0a_AB,protenix,C,C,12,0.06,0.109,3,221.42,0.049,0.2,0.462,3,0.262,0.462,,,,,True,False
8k3k_D,protenix,RBD,B,12,0.014,0.049,2,14.258,0.035,0.111,0.571,2,0.46,0.5,0.815,0.026,11,0.789,True,False
8wpy_AB,boltz,RBD,B,10,0.854,0.859,2,19.368,0.005,0.955,1.0,1,0.045,1.0,0.136,0.087,3,0.049,True,False
8y6a_CD,protenix,RBD,B,12,0.024,0.029,9,2.0,0.005,0.086,0.27,8,0.184,0.09,0.417,0.0,7,0.417,True,False
8wpy_AB,protenix,RBD,B,12,0.023,0.023,0,35.938,0.0,0.246,0.305,8,0.059,0.0,0.343,0.041,2,0.302,False,False
