target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8k46_I,protenix,d23,seed0_r0,8k46_i_sample_0.cif,0.017,0.0435,0.9565,23
8k46_I,protenix,d23,seed0_r0,8k46_i_sample_1.cif,0.013,0.0278,0.8056,36
8k46_I,protenix,d23,seed0_r0,8k46_i_sample_2.cif,0.016,0.0556,0.75,36
8k46_I,protenix,d23,seed0_r0,8k46_i_sample_3.cif,0.035,0.2647,0.6765,34
8k46_I,protenix,d23,seed0_r0,8k46_i_sample_4.cif,0.018,0.0263,0.8158,38
8k46_I,protenix,d23,seed0_r1,8k46_i_sample_0.cif,0.036,0.5143,0.2571,35
8k46_I,protenix,d23,seed0_r1,8k46_i_sample_1.cif,0.107,0.6207,0.1379,29
8k46_I,protenix,d23,seed0_r1,8k46_i_sample_2.cif,0.086,0.4762,0.119,42
8k46_I,protenix,d23,seed0_r1,8k46_i_sample_3.cif,0.012,0.0,0.2414,29
8k46_I,protenix,d23,seed0_r1,8k46_i_sample_4.cif,0.014,0.0606,0.9394,33
8k46_I,protenix,d23,seed0_r2,8k46_i_sample_0.cif,0.043,0.439,0.3415,41
8k46_I,protenix,d23,seed0_r2,8k46_i_sample_1.cif,0.048,0.5135,0.3243,37
8k46_I,protenix,d23,seed0_r2,8k46_i_sample_2.cif,0.119,0.5667,0.2,30
8k46_I,protenix,d23,seed0_r2,8k46_i_sample_3.cif,0.013,0.0294,0.9118,34
8k46_I,protenix,d23,seed0_r2,8k46_i_sample_4.cif,0.013,0.0,0.2812,32
8k46_I,protenix,d23,seed0_r3,8k46_i_sample_0.cif,0.121,0.5946,0.2973,37
8k46_I,protenix,d23,seed0_r3,8k46_i_sample_1.cif,0.056,0.5556,0.2222,36
8k46_I,protenix,d23,seed0_r3,8k46_i_sample_2.cif,0.014,0.0571,0.9714,35
8k46_I,protenix,d23,seed0_r3,8k46_i_sample_3.cif,0.01,0.0,0.7308,26
8k46_I,protenix,d23,seed0_r3,8k46_i_sample_4.cif,0.018,0.1034,1.0,29
8k46_I,protenix,d23,seed1_r0,8k46_i_sample_0.cif,0.017,0.0541,0.7838,37
8k46_I,protenix,d23,seed1_r0,8k46_i_sample_1.cif,0.019,0.0909,0.7576,33
8k46_I,protenix,d23,seed1_r0,8k46_i_sample_2.cif,0.017,0.0541,0.8108,37
8k46_I,protenix,d23,seed1_r0,8k46_i_sample_3.cif,0.016,0.0645,0.8065,31
8k46_I,protenix,d23,seed1_r0,8k46_i_sample_4.cif,0.019,0.0857,0.9143,35
8k46_I,protenix,d23,seed1_r1,8k46_i_sample_0.cif,0.02,0.0938,0.75,32
8k46_I,protenix,d23,seed1_r1,8k46_i_sample_1.cif,0.017,0.1081,0.7838,37
8k46_I,protenix,d23,seed1_r1,8k46_i_sample_2.cif,0.017,0.0541,0.8378,37
8k46_I,protenix,d23,seed1_r1,8k46_i_sample_3.cif,0.019,0.0606,0.9394,33
8k46_I,protenix,d23,seed1_r1,8k46_i_sample_4.cif,0.016,0.0714,0.7857,28
8k46_I,protenix,d23,seed1_r2,8k46_i_sample_0.cif,0.018,0.1081,0.7838,37
8k46_I,protenix,d23,seed1_r2,8k46_i_sample_1.cif,0.02,0.0938,0.75,32
8k46_I,protenix,d23,seed1_r2,8k46_i_sample_2.cif,0.018,0.0541,0.8108,37
8k46_I,protenix,d23,seed1_r2,8k46_i_sample_3.cif,0.019,0.0645,0.9355,31
8k46_I,protenix,d23,seed1_r2,8k46_i_sample_4.cif,0.017,0.0714,0.8214,28
8k46_I,protenix,d23,seed1_r3,8k46_i_sample_0.cif,0.019,0.1053,0.7895,38
8k46_I,protenix,d23,seed1_r3,8k46_i_sample_1.cif,0.02,0.1212,0.7576,33
8k46_I,protenix,d23,seed1_r3,8k46_i_sample_2.cif,0.018,0.0286,0.8571,35
8k46_I,protenix,d23,seed1_r3,8k46_i_sample_3.cif,0.019,0.0769,0.7949,39
8k46_I,protenix,d23,seed1_r3,8k46_i_sample_4.cif,0.016,0.1034,0.7931,29
