target,model,depth,seed,pose,dockq,recall
8txu_HL,boltz,d413,seed0,input_model_0.cif,0.002,0.0
8txu_HL,boltz,d413,seed0,input_model_1.cif,0.003,0.0
8txu_HL,boltz,d413,seed0,input_model_2.cif,0.003,0.0
8txu_HL,boltz,d413,seed0,input_model_3.cif,0.003,0.0
8txu_HL,boltz,d413,seed0,input_model_4.cif,0.003,0.0
8txu_HL,boltz,d413,seed1,input_model_0.cif,0.002,0.0
8txu_HL,boltz,d413,seed1,input_model_1.cif,0.003,0.0
8txu_HL,boltz,d413,seed1,input_model_2.cif,0.002,0.0
8txu_HL,boltz,d413,seed1,input_model_3.cif,0.003,0.0
8txu_HL,boltz,d413,seed1,input_model_4.cif,0.003,0.0
8txu_HL,boltz,d413,seed2,input_model_0.cif,0.002,0.0
8txu_HL,boltz,d413,seed2,input_model_1.cif,0.056,0.28
8txu_HL,boltz,d413,seed2,input_model_2.cif,0.065,0.3478
8txu_HL,boltz,d413,seed2,input_model_3.cif,0.05,0.3043
8txu_HL,boltz,d413,seed2,input_model_4.cif,0.006,0.0
8txu_HL,boltz,d413,seed3,input_model_0.cif,0.002,0.0
8txu_HL,boltz,d413,seed3,input_model_1.cif,0.063,0.3077
8txu_HL,boltz,d413,seed3,input_model_2.cif,0.003,0.0
8txu_HL,boltz,d413,seed3,input_model_3.cif,0.003,0.0
8txu_HL,boltz,d413,seed3,input_model_4.cif,0.003,0.0
8txu_HL,boltz,d413,seed4,input_model_0.cif,0.003,0.0
8txu_HL,boltz,d413,seed4,input_model_1.cif,0.069,0.2667
8txu_HL,boltz,d413,seed4,input_model_2.cif,0.056,0.2857
8txu_HL,boltz,d413,seed4,input_model_3.cif,0.055,0.3
8txu_HL,boltz,d413,seed4,input_model_4.cif,0.008,0.0
8txu_HL,boltz,d413,seed5,input_model_0.cif,0.003,0.0
8txu_HL,boltz,d413,seed5,input_model_1.cif,0.607,0.9474
8txu_HL,boltz,d413,seed5,input_model_2.cif,0.003,0.0
8txu_HL,boltz,d413,seed5,input_model_3.cif,0.006,0.0
8txu_HL,boltz,d413,seed5,input_model_4.cif,0.003,0.0
8txu_HL,boltz,d413,seed6,input_model_0.cif,0.002,0.0
8txu_HL,boltz,d413,seed6,input_model_1.cif,0.002,0.0
8txu_HL,boltz,d413,seed6,input_model_2.cif,0.003,0.0
8txu_HL,boltz,d413,seed6,input_model_3.cif,0.003,0.0
8txu_HL,boltz,d413,seed6,input_model_4.cif,0.003,0.0
8txu_HL,boltz,d413,seed7,input_model_0.cif,0.01,0.0
8txu_HL,boltz,d413,seed7,input_model_1.cif,0.002,0.0
8txu_HL,boltz,d413,seed7,input_model_2.cif,0.003,0.0
8txu_HL,boltz,d413,seed7,input_model_3.cif,0.057,0.3333
8txu_HL,boltz,d413,seed7,input_model_4.cif,0.002,0.0
9y0a_AB,boltz,d35,seed0,input_model_0.cif,0.032,0.0769
9y0a_AB,boltz,d35,seed0,input_model_1.cif,0.658,0.75
9y0a_AB,boltz,d35,seed0,input_model_2.cif,0.749,0.7895
9y0a_AB,boltz,d35,seed0,input_model_3.cif,0.599,0.7368
9y0a_AB,boltz,d35,seed0,input_model_4.cif,0.061,0.0
9y0a_AB,boltz,d35,seed1,input_model_0.cif,0.048,0.0
9y0a_AB,boltz,d35,seed1,input_model_1.cif,0.05,0.0
9y0a_AB,boltz,d35,seed1,input_model_2.cif,0.046,0.0
9y0a_AB,boltz,d35,seed1,input_model_3.cif,0.053,0.0455
9y0a_AB,boltz,d35,seed1,input_model_4.cif,0.047,0.0
9y0a_AB,boltz,d35,seed2,input_model_0.cif,0.046,0.0
9y0a_AB,boltz,d35,seed2,input_model_1.cif,0.05,0.0
9y0a_AB,boltz,d35,seed2,input_model_2.cif,0.047,0.0
9y0a_AB,boltz,d35,seed2,input_model_3.cif,0.053,0.0
9y0a_AB,boltz,d35,seed2,input_model_4.cif,0.036,0.0
9y0a_AB,boltz,d35,seed3,input_model_0.cif,0.053,0.0
9y0a_AB,boltz,d35,seed3,input_model_1.cif,0.053,0.0
9y0a_AB,boltz,d35,seed3,input_model_2.cif,0.032,0.0588
9y0a_AB,boltz,d35,seed3,input_model_3.cif,0.051,0.0357
9y0a_AB,boltz,d35,seed3,input_model_4.cif,0.05,0.0
9y0a_AB,boltz,d35,seed4,input_model_0.cif,0.051,0.0
9y0a_AB,boltz,d35,seed4,input_model_1.cif,0.056,0.0
9y0a_AB,boltz,d35,seed4,input_model_2.cif,0.057,0.0
9y0a_AB,boltz,d35,seed4,input_model_3.cif,0.058,0.0
9y0a_AB,boltz,d35,seed4,input_model_4.cif,0.058,0.0
9y0a_AB,boltz,d35,seed5,input_model_0.cif,0.535,0.8235
9y0a_AB,boltz,d35,seed5,input_model_1.cif,0.04,0.0333
9y0a_AB,boltz,d35,seed5,input_model_2.cif,0.057,0.0
9y0a_AB,boltz,d35,seed5,input_model_3.cif,0.047,0.0
9y0a_AB,boltz,d35,seed5,input_model_4.cif,0.608,0.7778
9y0a_AB,boltz,d35,seed6,input_model_0.cif,0.677,0.9375
9y0a_AB,boltz,d35,seed6,input_model_1.cif,0.752,0.9375
9y0a_AB,boltz,d35,seed6,input_model_2.cif,0.776,0.7895
9y0a_AB,boltz,d35,seed6,input_model_3.cif,0.779,0.75
9y0a_AB,boltz,d35,seed6,input_model_4.cif,0.03,0.0
9y0a_AB,boltz,d35,seed7,input_model_0.cif,0.05,0.0
9y0a_AB,boltz,d35,seed7,input_model_1.cif,0.648,0.7368
9y0a_AB,boltz,d35,seed7,input_model_2.cif,0.056,0.0
9y0a_AB,boltz,d35,seed7,input_model_3.cif,0.05,0.0
9y0a_AB,boltz,d35,seed7,input_model_4.cif,0.052,0.0
8y6a_CD,boltz,d3,seed0,input_model_0.cif,0.024,0.0
8y6a_CD,boltz,d3,seed0,input_model_1.cif,0.023,0.0
8y6a_CD,boltz,d3,seed0,input_model_2.cif,0.041,0.0
8y6a_CD,boltz,d3,seed0,input_model_3.cif,0.03,0.0
8y6a_CD,boltz,d3,seed0,input_model_4.cif,0.036,0.0
8y6a_CD,boltz,d3,seed1,input_model_0.cif,0.052,0.0
8y6a_CD,boltz,d3,seed1,input_model_1.cif,0.034,0.0
8y6a_CD,boltz,d3,seed1,input_model_2.cif,0.026,0.0
8y6a_CD,boltz,d3,seed1,input_model_3.cif,0.025,0.0
8y6a_CD,boltz,d3,seed1,input_model_4.cif,0.022,0.0
8y6a_CD,boltz,d3,seed2,input_model_0.cif,0.075,0.4545
8y6a_CD,boltz,d3,seed2,input_model_1.cif,0.036,0.04
8y6a_CD,boltz,d3,seed2,input_model_2.cif,0.763,0.8
8y6a_CD,boltz,d3,seed2,input_model_3.cif,0.035,0.0
8y6a_CD,boltz,d3,seed2,input_model_4.cif,0.036,0.0
8y6a_CD,boltz,d3,seed3,input_model_0.cif,0.122,0.2222
8y6a_CD,boltz,d3,seed3,input_model_1.cif,0.108,0.2222
8y6a_CD,boltz,d3,seed3,input_model_2.cif,0.119,0.2
8y6a_CD,boltz,d3,seed3,input_model_3.cif,0.105,0.2222
8y6a_CD,boltz,d3,seed3,input_model_4.cif,0.107,0.2353
8y6a_CD,boltz,d3,seed4,input_model_0.cif,0.045,0.0
8y6a_CD,boltz,d3,seed4,input_model_1.cif,0.042,0.0417
8y6a_CD,boltz,d3,seed4,input_model_2.cif,0.041,0.0
8y6a_CD,boltz,d3,seed4,input_model_3.cif,0.042,0.0476
8y6a_CD,boltz,d3,seed4,input_model_4.cif,0.036,0.05
8y6a_CD,boltz,d3,seed5,input_model_0.cif,0.023,0.0
8y6a_CD,boltz,d3,seed5,input_model_1.cif,0.037,0.0
8y6a_CD,boltz,d3,seed5,input_model_2.cif,0.037,0.0
8y6a_CD,boltz,d3,seed5,input_model_3.cif,0.06,0.5
8y6a_CD,boltz,d3,seed5,input_model_4.cif,0.037,0.0
8y6a_CD,boltz,d3,seed6,input_model_0.cif,0.047,0.0
8y6a_CD,boltz,d3,seed6,input_model_1.cif,0.036,0.0
8y6a_CD,boltz,d3,seed6,input_model_2.cif,0.028,0.0
8y6a_CD,boltz,d3,seed6,input_model_3.cif,0.024,0.0
8y6a_CD,boltz,d3,seed6,input_model_4.cif,0.03,0.15
8y6a_CD,boltz,d3,seed7,input_model_0.cif,0.052,0.0
8y6a_CD,boltz,d3,seed7,input_model_1.cif,0.124,0.1765
8y6a_CD,boltz,d3,seed7,input_model_2.cif,0.037,0.0
8y6a_CD,boltz,d3,seed7,input_model_3.cif,0.062,0.25
8y6a_CD,boltz,d3,seed7,input_model_4.cif,0.158,0.2609
