target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8ulr_HL,protenix,d1746,seed0_r0,8ulr_hl_sample_0.cif,0.032,0.2188,0.3646,96
8ulr_HL,protenix,d1746,seed0_r0,8ulr_hl_sample_1.cif,0.044,0.1792,0.3491,106
8ulr_HL,protenix,d1746,seed0_r0,8ulr_hl_sample_2.cif,0.03,0.2917,0.4861,72
8ulr_HL,protenix,d1746,seed0_r0,8ulr_hl_sample_3.cif,0.009,0.0,0.0116,86
8ulr_HL,protenix,d1746,seed0_r0,8ulr_hl_sample_4.cif,0.009,0.0,0.0106,94
8ulr_HL,protenix,d1746,seed0_r1,8ulr_hl_sample_0.cif,0.011,0.0135,0.0135,74
8ulr_HL,protenix,d1746,seed0_r1,8ulr_hl_sample_1.cif,0.01,0.0341,0.0682,88
8ulr_HL,protenix,d1746,seed0_r1,8ulr_hl_sample_2.cif,0.011,0.2766,0.383,94
8ulr_HL,protenix,d1746,seed0_r1,8ulr_hl_sample_3.cif,0.008,0.0,0.0,80
8ulr_HL,protenix,d1746,seed0_r1,8ulr_hl_sample_4.cif,0.009,0.0,0.0,78
8ulr_HL,protenix,d1746,seed0_r2,8ulr_hl_sample_0.cif,0.011,0.0116,0.0465,86
8ulr_HL,protenix,d1746,seed0_r2,8ulr_hl_sample_1.cif,0.011,0.0288,0.0577,104
8ulr_HL,protenix,d1746,seed0_r2,8ulr_hl_sample_2.cif,0.009,0.0,0.0,78
8ulr_HL,protenix,d1746,seed0_r2,8ulr_hl_sample_3.cif,0.009,0.0,0.0103,97
8ulr_HL,protenix,d1746,seed0_r2,8ulr_hl_sample_4.cif,0.011,0.2447,0.3617,94
8ulr_HL,protenix,d1746,seed0_r3,8ulr_hl_sample_0.cif,0.011,0.0123,0.0247,81
8ulr_HL,protenix,d1746,seed0_r3,8ulr_hl_sample_1.cif,0.009,0.0,0.0,81
8ulr_HL,protenix,d1746,seed0_r3,8ulr_hl_sample_2.cif,0.009,0.0,0.0102,98
8ulr_HL,protenix,d1746,seed0_r3,8ulr_hl_sample_3.cif,0.011,0.2414,0.3333,87
8ulr_HL,protenix,d1746,seed0_r3,8ulr_hl_sample_4.cif,0.009,0.0,0.0164,61
8ulr_HL,protenix,d1746,seed1_r0,8ulr_hl_sample_0.cif,0.477,0.6364,0.7955,44
8ulr_HL,protenix,d1746,seed1_r0,8ulr_hl_sample_1.cif,0.492,0.7576,0.8485,33
8ulr_HL,protenix,d1746,seed1_r0,8ulr_hl_sample_2.cif,0.422,0.6579,0.8421,38
8ulr_HL,protenix,d1746,seed1_r0,8ulr_hl_sample_3.cif,0.426,0.5778,0.7333,45
