target,epitope_class,stage,best_dockq,best_recall,n_hit,n_scored
8P5M,RBM_edge,rigidbody,0.983,1.00,9,20
8SDF,cryptic,rigidbody,0.163,0.67,0,20
8SIQ,core,rigidbody,0.334,0.54,2,20
8SIS,core_other,rigidbody,0.857,0.87,4,20
8SIT,core,rigidbody,0.181,0.47,0,20
8XSI,cryptic,rigidbody,0.953,1.00,6,20
9ML8,cryptic,rigidbody,0.219,0.65,0,20
9ML9,core,rigidbody,0.989,1.00,2,20
9SBB,other,rigidbody,0.947,0.91,10,20
9ZDU,core,rigidbody,0.068,0.41,0,20
