model,target,family,ab,n_rung,full,best,best_rung,best_neff,amp,spearman,shape
boltz,8k3k_D,RBD,B,10,0.068,0.169,3,12.8,0.149,0.243,flat
boltz,8k46_I,RBD,B,10,0.113,0.2,5,9.3,0.19,-0.146,spiky
boltz,8k5g_HL,RBD,A,10,0.815,0.841,5,8.4,0.047,-0.358,flat
boltz,8k5h_HL,RBD,A,10,0.841,0.842,7,4.0,0.062,0.205,flat
boltz,8kdm_GF,RBD,A,10,0.052,0.227,4,8.0,0.193,-0.28,mid-peak(sweet-spot)
boltz,8kep_HL,RBD,A,10,0.659,0.732,6,6.0,0.222,0.188,spiky
boltz,8q5y_GH,RBD,A,10,0.047,0.411,3,12.5,0.364,-0.257,mid-peak(sweet-spot)
boltz,8q7s_C,RBD,A,10,0.776,0.789,5,8.0,0.127,0.201,flat
boltz,8q7s_H,RBD,B,10,0.014,0.097,8,4.0,0.084,0.042,flat
boltz,8q7s_O,RBD,A,10,0.666,0.811,5,8.0,0.153,-0.503,mid-peak(sweet-spot)
boltz,8t49_PR,Env,A,11,0.223,0.25,10,1.0,0.242,-0.519,spiky
boltz,8t4a_PR,Env,A,11,0.275,0.333,10,2.0,0.145,-0.082,flat
boltz,8t4b_OQ,Env,A,11,0.099,0.115,5,81.0,0.06,-0.137,flat
boltz,8t4d_OQ,Env,A,11,0.012,0.392,3,319.1,0.384,0.428,mid-peak(sweet-spot)
boltz,8tkc_GH,Env,B,11,0.049,0.049,0,209.1,0.031,0.227,flat
boltz,8tl5_IJ,Env,B,11,0.005,0.005,0,212.9,0.0,,flat
boltz,8tp5_HL,HA,A,11,0.073,0.212,5,23.4,0.139,-0.245,flat
boltz,8tq1_CD,Env,B,11,0.032,0.098,4,37.6,0.089,-0.227,flat
boltz,8tx3_FK,HA,B,11,0.007,0.008,8,5.0,0.002,-0.548,flat
boltz,8txm_HL,HA,B,11,0.155,0.186,7,8.0,0.072,0.297,flat
boltz,8txp_HL,HA,B,11,0.135,0.152,9,3.0,0.031,-0.324,flat
