target,model,depth,seed,pose,dockq,recall,overrep,n_contact
8k3k_D,protenix,d57,seed0_r0,8k3k_d_sample_0.cif,0.012,0.0244,0.878,41
8k3k_D,protenix,d57,seed0_r0,8k3k_d_sample_1.cif,0.011,0.1071,0.9643,28
8k3k_D,protenix,d57,seed0_r0,8k3k_d_sample_2.cif,0.01,0.0,0.675,40
8k3k_D,protenix,d57,seed0_r0,8k3k_d_sample_3.cif,0.012,0.0769,0.9231,26
8k3k_D,protenix,d57,seed0_r0,8k3k_d_sample_4.cif,0.038,0.6,0.3714,35
8k3k_D,protenix,d57,seed0_r1,8k3k_d_sample_0.cif,0.012,0.0769,0.9231,26
8k3k_D,protenix,d57,seed0_r1,8k3k_d_sample_1.cif,0.012,0.0714,0.9286,28
8k3k_D,protenix,d57,seed0_r1,8k3k_d_sample_2.cif,0.01,0.0256,0.6923,39
8k3k_D,protenix,d57,seed0_r1,8k3k_d_sample_3.cif,0.012,0.08,0.92,25
8k3k_D,protenix,d57,seed0_r1,8k3k_d_sample_4.cif,0.039,0.6,0.3714,35
8k3k_D,protenix,d57,seed0_r2,8k3k_d_sample_0.cif,0.012,0.0625,0.875,32
8k3k_D,protenix,d57,seed0_r2,8k3k_d_sample_1.cif,0.011,0.1034,0.9655,29
8k3k_D,protenix,d57,seed0_r2,8k3k_d_sample_2.cif,0.01,0.025,0.725,40
8k3k_D,protenix,d57,seed0_r2,8k3k_d_sample_3.cif,0.012,0.08,0.92,25
8k3k_D,protenix,d57,seed0_r2,8k3k_d_sample_4.cif,0.039,0.6176,0.3824,34
8k3k_D,protenix,d57,seed0_r3,8k3k_d_sample_0.cif,0.012,0.0227,0.8182,44
8k3k_D,protenix,d57,seed0_r3,8k3k_d_sample_1.cif,0.01,0.0,0.6905,42
8k3k_D,protenix,d57,seed0_r3,8k3k_d_sample_2.cif,0.011,0.08,0.92,25
8k3k_D,protenix,d57,seed0_r3,8k3k_d_sample_3.cif,0.011,0.0455,0.9545,22
8k3k_D,protenix,d57,seed0_r3,8k3k_d_sample_4.cif,0.04,0.6129,0.3871,31
8k3k_D,protenix,d57,seed1_r0,8k3k_d_sample_0.cif,0.013,0.0556,0.8056,36
8k3k_D,protenix,d57,seed1_r0,8k3k_d_sample_1.cif,0.013,0.0645,0.9032,31
8k3k_D,protenix,d57,seed1_r0,8k3k_d_sample_2.cif,0.013,0.1613,0.7742,31
8k3k_D,protenix,d57,seed1_r0,8k3k_d_sample_3.cif,0.012,0.0385,0.9615,26
8k3k_D,protenix,d57,seed1_r0,8k3k_d_sample_4.cif,0.039,0.5152,0.0606,33
8k3k_D,protenix,d57,seed1_r1,8k3k_d_sample_0.cif,0.013,0.0556,0.8056,36
8k3k_D,protenix,d57,seed1_r1,8k3k_d_sample_1.cif,0.013,0.0333,0.9,30
8k3k_D,protenix,d57,seed1_r1,8k3k_d_sample_2.cif,0.013,0.1562,0.75,32
8k3k_D,protenix,d57,seed1_r1,8k3k_d_sample_3.cif,0.011,0.0385,0.9615,26
8k3k_D,protenix,d57,seed1_r1,8k3k_d_sample_4.cif,0.049,0.4848,0.0606,33
8k3k_D,protenix,d57,seed1_r2,8k3k_d_sample_0.cif,0.01,0.0811,0.7568,37
8k3k_D,protenix,d57,seed1_r2,8k3k_d_sample_1.cif,0.011,0.0,0.8929,28
8k3k_D,protenix,d57,seed1_r2,8k3k_d_sample_2.cif,0.013,0.0882,0.7353,34
8k3k_D,protenix,d57,seed1_r2,8k3k_d_sample_3.cif,0.01,0.0294,0.9118,34
8k3k_D,protenix,d57,seed1_r2,8k3k_d_sample_4.cif,0.04,0.4839,0.0,31
8k3k_D,protenix,d57,seed1_r3,8k3k_d_sample_0.cif,0.015,0.122,0.8049,41
8k3k_D,protenix,d57,seed1_r3,8k3k_d_sample_1.cif,0.013,0.0333,0.9,30
8k3k_D,protenix,d57,seed1_r3,8k3k_d_sample_2.cif,0.013,0.1613,0.7742,31
8k3k_D,protenix,d57,seed1_r3,8k3k_d_sample_3.cif,0.011,0.037,0.963,27
8k3k_D,protenix,d57,seed1_r3,8k3k_d_sample_4.cif,0.039,0.5,0.0588,34
8k3k_D,protenix,d57,seed2_r0,8k3k_d_sample_0.cif,0.015,0.0789,0.7632,38
8k3k_D,protenix,d57,seed2_r0,8k3k_d_sample_1.cif,0.012,0.1034,0.7241,29
8k3k_D,protenix,d57,seed2_r0,8k3k_d_sample_2.cif,0.012,0.0345,0.8276,29
8k3k_D,protenix,d57,seed2_r0,8k3k_d_sample_3.cif,0.031,0.3929,0.0,28
8k3k_D,protenix,d57,seed2_r0,8k3k_d_sample_4.cif,0.012,0.0741,0.7778,27
8k3k_D,protenix,d57,seed2_r1,8k3k_d_sample_0.cif,0.015,0.1,0.75,40
8k3k_D,protenix,d57,seed2_r1,8k3k_d_sample_1.cif,0.012,0.0741,0.7778,27
8k3k_D,protenix,d57,seed2_r1,8k3k_d_sample_2.cif,0.014,0.0588,0.8235,34
8k3k_D,protenix,d57,seed2_r1,8k3k_d_sample_3.cif,0.029,0.5,0.0417,24
8k3k_D,protenix,d57,seed2_r1,8k3k_d_sample_4.cif,0.012,0.0741,0.7778,27
8k3k_D,protenix,d57,seed2_r2,8k3k_d_sample_0.cif,0.012,0.0357,0.8929,28
8k3k_D,protenix,d57,seed2_r2,8k3k_d_sample_1.cif,0.015,0.1163,0.7442,43
8k3k_D,protenix,d57,seed2_r2,8k3k_d_sample_2.cif,0.012,0.1053,0.8158,38
8k3k_D,protenix,d57,seed2_r2,8k3k_d_sample_3.cif,0.012,0.0625,0.8125,32
8k3k_D,protenix,d57,seed2_r2,8k3k_d_sample_4.cif,0.051,0.4815,0.1481,27
8k3k_D,protenix,d57,seed2_r3,8k3k_d_sample_0.cif,0.011,0.0606,0.8182,33
8k3k_D,protenix,d57,seed2_r3,8k3k_d_sample_1.cif,0.026,0.3143,0.0,35
8k3k_D,protenix,d57,seed2_r3,8k3k_d_sample_2.cif,0.014,0.0606,0.8182,33
8k3k_D,protenix,d57,seed2_r3,8k3k_d_sample_3.cif,0.013,0.0909,0.7273,33
8k3k_D,protenix,d57,seed2_r3,8k3k_d_sample_4.cif,0.012,0.0606,0.8182,33
8k3k_D,protenix,d57,seed3_r0,8k3k_d_sample_0.cif,0.014,0.0732,0.7805,41
8k3k_D,protenix,d57,seed3_r0,8k3k_d_sample_1.cif,0.012,0.0968,0.7419,31
8k3k_D,protenix,d57,seed3_r0,8k3k_d_sample_2.cif,0.017,0.0588,0.8529,34
8k3k_D,protenix,d57,seed3_r0,8k3k_d_sample_3.cif,0.012,0.0571,0.8,35
8k3k_D,protenix,d57,seed3_r0,8k3k_d_sample_4.cif,0.059,0.55,0.275,40
8k3k_D,protenix,d57,seed3_r1,8k3k_d_sample_0.cif,0.012,0.0968,0.7419,31
8k3k_D,protenix,d57,seed3_r1,8k3k_d_sample_1.cif,0.012,0.0667,0.7667,30
8k3k_D,protenix,d57,seed3_r1,8k3k_d_sample_2.cif,0.012,0.1212,0.697,33
8k3k_D,protenix,d57,seed3_r1,8k3k_d_sample_3.cif,0.017,0.0571,0.8,35
8k3k_D,protenix,d57,seed3_r1,8k3k_d_sample_4.cif,0.059,0.5366,0.2439,41
8k3k_D,protenix,d57,seed3_r2,8k3k_d_sample_0.cif,0.012,0.0606,0.8485,33
8k3k_D,protenix,d57,seed3_r2,8k3k_d_sample_1.cif,0.012,0.0857,0.7429,35
8k3k_D,protenix,d57,seed3_r2,8k3k_d_sample_2.cif,0.012,0.0833,0.8056,36
8k3k_D,protenix,d57,seed3_r2,8k3k_d_sample_3.cif,0.017,0.0606,0.8788,33
8k3k_D,protenix,d57,seed3_r2,8k3k_d_sample_4.cif,0.059,0.55,0.25,40
8k3k_D,protenix,d57,seed3_r3,8k3k_d_sample_0.cif,0.012,0.0667,0.8,30
8k3k_D,protenix,d57,seed3_r3,8k3k_d_sample_1.cif,0.012,0.0882,0.7353,34
8k3k_D,protenix,d57,seed3_r3,8k3k_d_sample_2.cif,0.017,0.0588,0.8824,34
8k3k_D,protenix,d57,seed3_r3,8k3k_d_sample_3.cif,0.012,0.0857,0.8,35
8k3k_D,protenix,d57,seed3_r3,8k3k_d_sample_4.cif,0.053,0.525,0.225,40
8k3k_D,protenix,d57,seed4_r0,8k3k_d_sample_0.cif,0.012,0.0,0.8718,39
8k3k_D,protenix,d57,seed4_r0,8k3k_d_sample_1.cif,0.023,0.0556,0.7778,36
8k3k_D,protenix,d57,seed4_r0,8k3k_d_sample_2.cif,0.01,0.0,0.6765,34
8k3k_D,protenix,d57,seed4_r0,8k3k_d_sample_3.cif,0.011,0.0513,0.8205,39
8k3k_D,protenix,d57,seed4_r0,8k3k_d_sample_4.cif,0.047,0.6316,0.3684,38
8k3k_D,protenix,d57,seed4_r1,8k3k_d_sample_0.cif,0.012,0.0556,0.8889,36
8k3k_D,protenix,d57,seed4_r1,8k3k_d_sample_1.cif,0.012,0.0294,0.8529,34
8k3k_D,protenix,d57,seed4_r1,8k3k_d_sample_2.cif,0.01,0.0,0.6216,37
8k3k_D,protenix,d57,seed4_r1,8k3k_d_sample_3.cif,0.011,0.05,0.7,40
8k3k_D,protenix,d57,seed4_r1,8k3k_d_sample_4.cif,0.054,0.6389,0.3056,36
8k3k_D,protenix,d57,seed4_r2,8k3k_d_sample_0.cif,0.012,0.0357,0.8571,28
8k3k_D,protenix,d57,seed4_r2,8k3k_d_sample_1.cif,0.012,0.075,0.825,40
8k3k_D,protenix,d57,seed4_r2,8k3k_d_sample_2.cif,0.018,0.0541,0.7838,37
8k3k_D,protenix,d57,seed4_r2,8k3k_d_sample_3.cif,0.01,0.0,0.7368,38
8k3k_D,protenix,d57,seed4_r2,8k3k_d_sample_4.cif,0.033,0.7917,0.1667,24
8k3k_D,protenix,d57,seed4_r3,8k3k_d_sample_0.cif,0.012,0.1026,0.8462,39
8k3k_D,protenix,d57,seed4_r3,8k3k_d_sample_1.cif,0.012,0.0385,0.9231,26
8k3k_D,protenix,d57,seed4_r3,8k3k_d_sample_2.cif,0.012,0.0294,0.9412,34
8k3k_D,protenix,d57,seed4_r3,8k3k_d_sample_3.cif,0.01,0.0,0.7222,36
8k3k_D,protenix,d57,seed4_r3,8k3k_d_sample_4.cif,0.057,0.5714,0.3333,42
8k3k_D,protenix,d57,seed5_r0,8k3k_d_sample_0.cif,0.01,0.0238,0.7381,42
8k3k_D,protenix,d57,seed5_r0,8k3k_d_sample_1.cif,0.012,0.0435,1.0,23
8k3k_D,protenix,d57,seed5_r0,8k3k_d_sample_2.cif,0.014,0.0769,0.9615,26
8k3k_D,protenix,d57,seed5_r0,8k3k_d_sample_3.cif,0.01,0.0345,0.8966,29
8k3k_D,protenix,d57,seed5_r0,8k3k_d_sample_4.cif,0.012,0.087,0.8261,23
8k3k_D,protenix,d57,seed5_r1,8k3k_d_sample_0.cif,0.012,0.04,0.96,25
8k3k_D,protenix,d57,seed5_r1,8k3k_d_sample_1.cif,0.01,0.0333,0.9333,30
8k3k_D,protenix,d57,seed5_r1,8k3k_d_sample_2.cif,0.01,0.0357,1.0,28
8k3k_D,protenix,d57,seed5_r1,8k3k_d_sample_3.cif,0.014,0.0811,0.7568,37
8k3k_D,protenix,d57,seed5_r1,8k3k_d_sample_4.cif,0.012,0.0769,0.8077,26
8k3k_D,protenix,d57,seed5_r2,8k3k_d_sample_0.cif,0.012,0.0435,1.0,23
8k3k_D,protenix,d57,seed5_r2,8k3k_d_sample_1.cif,0.01,0.0357,0.9286,28
8k3k_D,protenix,d57,seed5_r2,8k3k_d_sample_2.cif,0.014,0.0882,0.7647,34
8k3k_D,protenix,d57,seed5_r2,8k3k_d_sample_3.cif,0.01,0.0,1.0,27
8k3k_D,protenix,d57,seed5_r2,8k3k_d_sample_4.cif,0.012,0.08,0.8,25
8k3k_D,protenix,d57,seed5_r3,8k3k_d_sample_0.cif,0.012,0.0435,1.0,23
8k3k_D,protenix,d57,seed5_r3,8k3k_d_sample_1.cif,0.01,0.0,0.8929,28
8k3k_D,protenix,d57,seed5_r3,8k3k_d_sample_2.cif,0.01,0.0333,1.0,30
8k3k_D,protenix,d57,seed5_r3,8k3k_d_sample_3.cif,0.014,0.0882,0.7647,34
8k3k_D,protenix,d57,seed5_r3,8k3k_d_sample_4.cif,0.012,0.0769,0.8462,26
8k3k_D,protenix,d57,seedfull_r0,8k3k_d_sample_0.cif,0.012,0.0357,0.8214,28
8k3k_D,protenix,d57,seedfull_r0,8k3k_d_sample_1.cif,0.014,0.0323,0.8387,31
8k3k_D,protenix,d57,seedfull_r0,8k3k_d_sample_2.cif,0.012,0.0385,0.9615,26
8k3k_D,protenix,d57,seedfull_r0,8k3k_d_sample_3.cif,0.013,0.1034,0.7931,29
8k3k_D,protenix,d57,seedfull_r0,8k3k_d_sample_4.cif,0.01,0.1034,0.9655,29
8k3k_D,protenix,d57,seedfull_r1,8k3k_d_sample_0.cif,0.012,0.0345,0.8276,29
8k3k_D,protenix,d57,seedfull_r1,8k3k_d_sample_1.cif,0.012,0.0435,0.9565,23
8k3k_D,protenix,d57,seedfull_r1,8k3k_d_sample_2.cif,0.014,0.0303,0.8485,33
8k3k_D,protenix,d57,seedfull_r1,8k3k_d_sample_3.cif,0.013,0.129,0.7742,31
8k3k_D,protenix,d57,seedfull_r1,8k3k_d_sample_4.cif,0.011,0.08,0.92,25
8k3k_D,protenix,d57,seedfull_r2,8k3k_d_sample_0.cif,0.011,0.0714,0.8214,28
8k3k_D,protenix,d57,seedfull_r2,8k3k_d_sample_1.cif,0.012,0.037,0.8519,27
8k3k_D,protenix,d57,seedfull_r2,8k3k_d_sample_2.cif,0.014,0.0323,0.8387,31
8k3k_D,protenix,d57,seedfull_r2,8k3k_d_sample_3.cif,0.013,0.0667,0.8667,30
8k3k_D,protenix,d57,seedfull_r2,8k3k_d_sample_4.cif,0.011,0.0909,0.9545,22
8k3k_D,protenix,d57,seedfull_r3,8k3k_d_sample_0.cif,0.011,0.0714,0.8214,28
8k3k_D,protenix,d57,seedfull_r3,8k3k_d_sample_1.cif,0.012,0.0938,0.875,32
8k3k_D,protenix,d57,seedfull_r3,8k3k_d_sample_2.cif,0.014,0.0312,0.8438,32
8k3k_D,protenix,d57,seedfull_r3,8k3k_d_sample_3.cif,0.013,0.0345,0.8621,29
8k3k_D,protenix,d57,seedfull_r3,8k3k_d_sample_4.cif,0.01,0.0909,0.9545,22
8k3k_D,protenix,d57,seedfull_r4,8k3k_d_sample_0.cif,0.012,0.0938,0.8438,32
8k3k_D,protenix,d57,seedfull_r4,8k3k_d_sample_1.cif,0.011,0.0714,0.8214,28
8k3k_D,protenix,d57,seedfull_r4,8k3k_d_sample_2.cif,0.014,0.0312,0.8438,32
8k3k_D,protenix,d57,seedfull_r4,8k3k_d_sample_3.cif,0.013,0.0667,0.8667,30
8k3k_D,protenix,d57,seedfull_r4,8k3k_d_sample_4.cif,0.011,0.0952,0.9524,21
8k3k_D,protenix,d57,seedfull_r5,8k3k_d_sample_0.cif,0.014,0.0323,0.8065,31
8k3k_D,protenix,d57,seedfull_r5,8k3k_d_sample_1.cif,0.012,0.1,0.8,30
8k3k_D,protenix,d57,seedfull_r5,8k3k_d_sample_2.cif,0.012,0.0417,0.9583,24
8k3k_D,protenix,d57,seedfull_r5,8k3k_d_sample_3.cif,0.013,0.129,0.7419,31
8k3k_D,protenix,d57,seedfull_r5,8k3k_d_sample_4.cif,0.011,0.0714,0.9286,28
8k3k_D,protenix,d57,seedfull_r6,8k3k_d_sample_0.cif,0.012,0.0968,0.8065,31
8k3k_D,protenix,d57,seedfull_r6,8k3k_d_sample_1.cif,0.012,0.037,0.963,27
8k3k_D,protenix,d57,seedfull_r6,8k3k_d_sample_2.cif,0.014,0.0294,0.7941,34
8k3k_D,protenix,d57,seedfull_r6,8k3k_d_sample_3.cif,0.013,0.069,0.8276,29
8k3k_D,protenix,d57,seedfull_r6,8k3k_d_sample_4.cif,0.01,0.1071,0.9643,28
8k3k_D,protenix,d57,seedfull_r7,8k3k_d_sample_0.cif,0.014,0.0323,0.8387,31
8k3k_D,protenix,d57,seedfull_r7,8k3k_d_sample_1.cif,0.012,0.0345,0.8621,29
8k3k_D,protenix,d57,seedfull_r7,8k3k_d_sample_2.cif,0.012,0.0417,0.9583,24
8k3k_D,protenix,d57,seedfull_r7,8k3k_d_sample_3.cif,0.013,0.0857,0.7429,35
8k3k_D,protenix,d57,seedfull_r7,8k3k_d_sample_4.cif,0.01,0.1154,0.9615,26
8k46_I,protenix,d23,seed0_r0,8k46_i_sample_0.cif,0.017,0.0435,0.9565,23
8k46_I,protenix,d23,seed0_r0,8k46_i_sample_1.cif,0.013,0.0278,0.8056,36
8k46_I,protenix,d23,seed0_r0,8k46_i_sample_2.cif,0.016,0.0556,0.75,36
8k46_I,protenix,d23,seed0_r0,8k46_i_sample_3.cif,0.035,0.2647,0.6765,34
8k46_I,protenix,d23,seed0_r0,8k46_i_sample_4.cif,0.018,0.0263,0.8158,38
8k46_I,protenix,d23,seed0_r1,8k46_i_sample_0.cif,0.036,0.5143,0.2571,35
8k46_I,protenix,d23,seed0_r1,8k46_i_sample_1.cif,0.107,0.6207,0.1379,29
8k46_I,protenix,d23,seed0_r1,8k46_i_sample_2.cif,0.086,0.4762,0.119,42
8k46_I,protenix,d23,seed0_r1,8k46_i_sample_3.cif,0.012,0.0,0.2414,29
8k46_I,protenix,d23,seed0_r1,8k46_i_sample_4.cif,0.014,0.0606,0.9394,33
8k46_I,protenix,d23,seed0_r2,8k46_i_sample_0.cif,0.043,0.439,0.3415,41
