target,group,ab,model,rung,neff80,n_true,n_ag,n_pose,best_recall,mean_recall,min_recall,best_prec,best_f1,best_mcc,best_auprc,mean_auprc
8q7s_O,RBD,A,boltz,0,35.589,24,183,5,0.958,0.9,0.875,0.821,0.885,0.869,0.952,0.932
8q7s_O,RBD,A,boltz,1,27.526,24,183,5,0.958,0.708,0.0,0.885,0.92,0.908,0.966,0.775
8q7s_O,RBD,A,boltz,2,21.933,24,183,5,0.917,0.85,0.792,0.917,0.917,0.904,0.971,0.944
8q7s_O,RBD,A,boltz,3,14.733,24,183,5,0.833,0.825,0.792,0.87,0.851,0.829,0.964,0.953
8q7s_O,RBD,A,boltz,4,14.0,24,183,5,0.958,0.875,0.833,0.821,0.885,0.869,0.913,0.936
8q7s_O,RBD,A,boltz,5,8.0,24,183,5,1.0,0.9,0.833,0.923,0.96,0.955,0.989,0.945
8q7s_O,RBD,A,boltz,6,7.0,24,183,5,0.917,0.867,0.792,0.759,0.83,0.807,0.888,0.926
8q7s_O,RBD,A,boltz,7,4.0,24,183,5,0.917,0.883,0.833,0.815,0.863,0.843,0.936,0.949
8q7s_O,RBD,A,boltz,8,3.0,24,183,5,0.917,0.85,0.792,0.917,0.917,0.904,0.989,0.95
8q7s_O,RBD,A,boltz,9,2.0,24,183,5,0.917,0.867,0.833,0.786,0.846,0.824,0.915,0.959
8y6a_CD,RBD,B,boltz,0,33.388,19,182,5,0.0,0.0,0.0,0.0,0.0,-0.113,0.077,0.07
8y6a_CD,RBD,B,boltz,1,26.079,19,182,5,0.158,0.032,0.0,0.158,0.158,0.06,0.243,0.113
8y6a_CD,RBD,B,boltz,2,22.568,19,182,5,0.053,0.021,0.0,0.04,0.045,-0.084,0.088,0.081
8y6a_CD,RBD,B,boltz,3,16.2,19,182,5,0.053,0.011,0.0,0.05,0.051,-0.063,0.085,0.08
8y6a_CD,RBD,B,boltz,4,13.333,19,182,5,0.0,0.0,0.0,0.0,0.0,-0.127,0.078,0.079
8y6a_CD,RBD,B,boltz,5,10.0,19,182,5,0.0,0.0,0.0,0.0,0.0,-0.117,0.061,0.074
8y6a_CD,RBD,B,boltz,6,5.0,19,182,5,0.053,0.011,0.0,0.053,0.053,-0.058,0.087,0.082
8y6a_CD,RBD,B,boltz,7,6.0,19,182,5,0.368,0.126,0.0,0.333,0.35,0.27,0.334,0.162
8y6a_CD,RBD,B,boltz,8,3.0,19,182,5,0.053,0.011,0.0,0.059,0.056,-0.048,0.085,0.076
8y6a_CD,RBD,B,boltz,9,2.0,19,182,5,0.842,0.179,0.0,0.8,0.821,0.799,0.948,0.25
8y6a_CD,RBD,B,boltz,10,2.0,19,182,5,0.368,0.116,0.0,0.269,0.311,0.22,0.402,0.182
9azr_HL,HA,A,boltz,0,120.544,24,213,5,0.917,0.542,0.042,0.647,0.759,0.737,0.728,0.489
9azr_HL,HA,A,boltz,1,91.887,24,213,5,0.917,0.542,0.0,0.647,0.759,0.737,0.742,0.481
9azr_HL,HA,A,boltz,2,68.359,24,213,5,0.917,0.558,0.042,0.688,0.786,0.764,0.751,0.534
9azr_HL,HA,A,boltz,3,51.422,24,213,5,0.917,0.492,0.042,0.667,0.772,0.75,0.736,0.496
9azr_HL,HA,A,boltz,4,28.345,24,213,5,0.958,0.45,0.042,0.622,0.754,0.738,0.741,0.464
