path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4d_OQ/d150/seed0_r1/results/8t4d_oq/seed_0/predictions/8t4d_oq_sample_1.cif,8t4d_OQ,seed0_r1,8t4d_oq_sample_1.cif,0.13053
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4d_OQ/d150/seed0_r1/results/8t4d_oq/seed_0/predictions/8t4d_oq_sample_4.cif,8t4d_OQ,seed0_r1,8t4d_oq_sample_4.cif,0.04494
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4d_OQ/d150/seed0_r2/results/8t4d_oq/seed_0/predictions/8t4d_oq_sample_2.cif,8t4d_OQ,seed0_r2,8t4d_oq_sample_2.cif,0.07774
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4d_OQ/d150/seed0_r2/results/8t4d_oq/seed_0/predictions/8t4d_oq_sample_1.cif,8t4d_OQ,seed0_r2,8t4d_oq_sample_1.cif,0.08328
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4d_OQ/d150/seed0_r0/results/8t4d_oq/seed_0/predictions/8t4d_oq_sample_2.cif,8t4d_OQ,seed0_r0,8t4d_oq_sample_2.cif,0.06087
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4d_OQ/d150/seed0_r1/results/8t4d_oq/seed_0/predictions/8t4d_oq_sample_3.cif,8t4d_OQ,seed0_r1,8t4d_oq_sample_3.cif,0.04948
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4d_OQ/d150/seed0_r1/results/8t4d_oq/seed_0/predictions/8t4d_oq_sample_2.cif,8t4d_OQ,seed0_r1,8t4d_oq_sample_2.cif,0.08801
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4d_OQ/d150/seed0_r2/results/8t4d_oq/seed_0/predictions/8t4d_oq_sample_0.cif,8t4d_OQ,seed0_r2,8t4d_oq_sample_0.cif,0.05342
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4d_OQ/d150/seed0_r0/results/8t4d_oq/seed_0/predictions/8t4d_oq_sample_4.cif,8t4d_OQ,seed0_r0,8t4d_oq_sample_4.cif,0.21266
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4d_OQ/d150/seed0_r2/results/8t4d_oq/seed_0/predictions/8t4d_oq_sample_4.cif,8t4d_OQ,seed0_r2,8t4d_oq_sample_4.cif,0.08077
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4d_OQ/d150/seed0_r0/results/8t4d_oq/seed_0/predictions/8t4d_oq_sample_0.cif,8t4d_OQ,seed0_r0,8t4d_oq_sample_0.cif,0.02547
