path,target,run,pose,score
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r1/results/8q7s_o/seed_0/predictions/8q7s_o_sample_1.cif,8q7s_O,seed0_r1,8q7s_o_sample_1.cif,0.09672
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r1/results/8q7s_o/seed_0/predictions/8q7s_o_sample_4.cif,8q7s_O,seed0_r1,8q7s_o_sample_4.cif,0.08374
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r2/results/8q7s_o/seed_0/predictions/8q7s_o_sample_2.cif,8q7s_O,seed0_r2,8q7s_o_sample_2.cif,0.117
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r2/results/8q7s_o/seed_0/predictions/8q7s_o_sample_1.cif,8q7s_O,seed0_r2,8q7s_o_sample_1.cif,0.06912
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r0/results/8q7s_o/seed_0/predictions/8q7s_o_sample_2.cif,8q7s_O,seed0_r0,8q7s_o_sample_2.cif,0.13284
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r1/results/8q7s_o/seed_0/predictions/8q7s_o_sample_3.cif,8q7s_O,seed0_r1,8q7s_o_sample_3.cif,0.20017
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r1/results/8q7s_o/seed_0/predictions/8q7s_o_sample_2.cif,8q7s_O,seed0_r1,8q7s_o_sample_2.cif,0.0582
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r2/results/8q7s_o/seed_0/predictions/8q7s_o_sample_0.cif,8q7s_O,seed0_r2,8q7s_o_sample_0.cif,0.16322
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r0/results/8q7s_o/seed_0/predictions/8q7s_o_sample_4.cif,8q7s_O,seed0_r0,8q7s_o_sample_4.cif,0.04795
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r2/results/8q7s_o/seed_0/predictions/8q7s_o_sample_4.cif,8q7s_O,seed0_r2,8q7s_o_sample_4.cif,0.0745
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r0/results/8q7s_o/seed_0/predictions/8q7s_o_sample_0.cif,8q7s_O,seed0_r0,8q7s_o_sample_0.cif,0.14788
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r3/results/8q7s_o/seed_0/predictions/8q7s_o_sample_2.cif,8q7s_O,seed0_r3,8q7s_o_sample_2.cif,0.05751
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r0/results/8q7s_o/seed_0/predictions/8q7s_o_sample_1.cif,8q7s_O,seed0_r0,8q7s_o_sample_1.cif,0.07224
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r3/results/8q7s_o/seed_0/predictions/8q7s_o_sample_0.cif,8q7s_O,seed0_r3,8q7s_o_sample_0.cif,0.05516
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r3/results/8q7s_o/seed_0/predictions/8q7s_o_sample_3.cif,8q7s_O,seed0_r3,8q7s_o_sample_3.cif,0.13519
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r3/results/8q7s_o/seed_0/predictions/8q7s_o_sample_4.cif,8q7s_O,seed0_r3,8q7s_o_sample_4.cif,0.07562
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r0/results/8q7s_o/seed_0/predictions/8q7s_o_sample_3.cif,8q7s_O,seed0_r0,8q7s_o_sample_3.cif,0.07758
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r3/results/8q7s_o/seed_0/predictions/8q7s_o_sample_1.cif,8q7s_O,seed0_r3,8q7s_o_sample_1.cif,0.16944
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_O/d35/seed0_r2/results/8q7s_o/seed_0/predictions/8q7s_o_sample_3.cif,8q7s_O,seed0_r2,8q7s_o_sample_3.cif,0.15466
