target,n_surface,n_epitope,epitope_frac,mean_recall,frac_ge_0.4,frac_ge_0.2,frac_ge_0.6
8k46_I,828,114,0.1377,0.1346,0.02295,0.31401,0.0
8k5h_HL,854,228,0.267,0.2709,0.02342,0.76815,0.0
8kdm_GF,838,217,0.2589,0.2521,0.17422,0.62172,0.0
8q5y_GH,86,29,0.3372,0.3236,0.43023,0.69767,0.0814
8q7s_C,137,28,0.2044,0.1825,0.16788,0.40876,0.0292
8q7s_H,137,28,0.2044,0.1825,0.16788,0.40876,0.0292
8q7s_O,137,28,0.2044,0.1825,0.16788,0.40876,0.0292
8sdf_HL,129,21,0.1628,0.1525,0.07752,0.31008,0.0
8sit_HL,154,21,0.1364,0.1342,0.11688,0.28571,0.0
8t49_PR,330,46,0.1394,0.1233,0.12121,0.2,0.08182
8t4a_PR,328,48,0.1463,0.134,0.14634,0.21646,0.09146
8t4b_OQ,329,44,0.1337,0.1212,0.12158,0.20973,0.08207
8t4d_OQ,320,49,0.1531,0.137,0.14062,0.2375,0.08438
8tjr_HL,717,75,0.1046,0.0887,0.053,0.17573,0.0
8tkc_GH,349,59,0.1691,0.1429,0.11461,0.30086,0.0659
8tl5_IJ,438,33,0.0753,0.0643,0.00228,0.17123,0.0
8tp5_HL,246,67,0.2724,0.2239,0.23171,0.34146,0.12602
8tq1_CD,396,10,0.0253,0.0263,0.02778,0.07071,0.00253
8tx3_FK,361,66,0.1828,0.1777,0.00831,0.36565,0.0
8txt_GI,370,54,0.1459,0.1251,0.0,0.26216,0.0
8txt_HL,370,54,0.1459,0.1251,0.0,0.26216,0.0
8txu_HL,366,63,0.1721,0.167,0.00546,0.36612,0.0
8ulr_HL,312,75,0.2404,0.1865,0.16987,0.46474,0.03526
8ume_HL,350,75,0.2143,0.1898,0.08857,0.45143,0.0
8vfv_GI,401,9,0.0224,0.0213,0.00998,0.05985,0.0
8wpy_AB,192,44,0.2292,0.2341,0.07292,0.61979,0.0
8xsj_HL,441,20,0.0454,0.0415,0.03401,0.10204,0.0
8y6a_CD,457,26,0.0569,0.0508,0.03282,0.10066,0.0
9b7g_QP,259,67,0.2587,0.2366,0.12741,0.62548,0.0
9bdg_FI,290,79,0.2724,0.2648,0.11724,0.78276,0.0
9bnp_HL,332,51,0.1536,0.1412,0.1506,0.25301,0.08434
9evz_HL,230,60,0.2609,0.2686,0.31304,0.57391,0.08696
9ly5_AB,173,55,0.3179,0.3024,0.12717,0.89595,0.0
9vxl_BC,175,12,0.0686,0.059,0.05143,0.10286,0.0
9w43_AB,165,58,0.3515,0.3229,0.22424,0.86061,0.0
9y0a_AB,149,57,0.3826,0.3217,0.26846,0.97987,0.0
