cons_frac,merge_frac,max_res,target,model,depth,f1,recall,precision,n_res,n_cand,n_cons,n_group,n_true
0.5,0.0,0,8k3k_D,protenix,d57,0.5682,0.9615,0.4032,62,2,7,7,26
0.5,0.0,0,8k46_I,protenix,d23,0.6102,0.72,0.5294,34,3,7,7,25
0.5,0.0,0,8k5g_HL,protenix,d90,0.3947,1.0,0.2459,61,1,7,7,15
0.5,0.0,0,8k5h_HL,protenix,d15,0.3488,1.0,0.2113,71,1,7,7,15
0.5,0.0,0,8kep_HL,protenix,d37,0.3134,1.0,0.1858,113,1,7,7,21
0.5,0.0,0,8q7s_C,protenix,d86,0.7042,1.0,0.5435,46,1,7,7,25
0.5,0.0,0,8q7s_H,protenix,d55,0.4167,0.5769,0.3261,46,1,7,7,26
0.5,0.0,0,8q7s_O,protenix,d35,0.7059,1.0,0.5455,44,1,7,7,24
0.5,0.0,0,8siq_HL,protenix,d670,0.5079,0.5926,0.4444,36,7,7,7,27
0.5,0.0,0,8sis_HL,protenix,d4169,0.4,1.0,0.25,108,2,7,7,27
0.5,0.0,0,8sit_HL,protenix,d4035,0.5652,0.8966,0.4127,63,2,7,7,29
0.5,0.0,0,8t4a_PR,protenix,d1824,0.359,0.875,0.2258,62,4,7,7,16
0.5,0.0,0,8t4d_OQ,protenix,d150,0.38,0.76,0.2533,75,4,7,7,25
0.5,0.0,0,8tp5_HL,protenix,d307,0.7077,0.8519,0.6053,38,4,7,7,27
0.5,0.0,0,8u44_ST,protenix,d413,0.5455,0.7742,0.4211,57,2,7,7,31
0.5,0.0,0,8ulr_HL,protenix,d1746,0.5743,0.9667,0.4085,71,3,9,9,30
0.5,0.0,0,8ume_HL,protenix,d653,0.6667,0.9545,0.5122,41,5,7,7,22
0.5,0.0,0,8xsi_HL,protenix,d8894,0.0,0.0,0.0,0,1,7,7,18
0.5,0.0,0,9azr_HL,protenix,d552,0.6389,0.9583,0.4792,48,2,7,7,24
0.5,0.0,0,9azt_HL,protenix,d4,0.5676,0.875,0.42,50,7,7,7,24
0.5,0.0,0,9azv_HL,protenix,d293,0.4842,0.9583,0.3239,71,5,7,7,24
0.5,0.0,0,9b7g_QP,protenix,d625,0.6582,1.0,0.4906,53,1,7,7,26
0.5,0.0,0,9bdg_FI,protenix,d173,0.5106,0.8276,0.3692,65,1,7,7,29
0.5,0.0,0,9kkj_HL,protenix,d2220,0.4792,1.0,0.3151,73,1,7,7,23
0.5,0.0,0,9ml9_HL,protenix,d8769,0.3538,0.9583,0.217,106,1,7,7,24
0.5,0.0,0,9mqr_DE,protenix,d3538,0.7467,1.0,0.5957,47,5,7,7,28
0.5,0.0,0,9w43_AB,protenix,d51,0.2857,0.4091,0.2195,41,2,7,7,22
0.5,0.0,0,9y0a_AB,protenix,d289,0.225,0.5,0.1452,62,1,7,7,18
0.5,0.0,0,9yc6_HL,protenix,d611,0.2406,0.8889,0.1391,115,1,7,7,18
0.5,0.0,0,9zdu_HL,protenix,d11017,0.4906,1.0,0.325,80,2,7,7,26
0.5,0.0,40,8k3k_D,protenix,d57,0.697,0.8846,0.575,40,2,7,7,26
0.5,0.0,40,8k46_I,protenix,d23,0.6102,0.72,0.5294,34,3,7,7,25
0.5,0.0,40,8k5g_HL,protenix,d90,0.5455,1.0,0.375,40,1,7,7,15
0.5,0.0,40,8k5h_HL,protenix,d15,0.4364,0.8,0.3,40,1,7,7,15
0.5,0.0,40,8kep_HL,protenix,d37,0.459,0.6667,0.35,40,1,7,7,21
0.5,0.0,40,8q7s_C,protenix,d86,0.7385,0.96,0.6,40,1,7,7,25
0.5,0.0,40,8q7s_H,protenix,d55,0.4545,0.5769,0.375,40,1,7,7,26
0.5,0.0,40,8q7s_O,protenix,d35,0.75,1.0,0.6,40,1,7,7,24
0.5,0.0,40,8siq_HL,protenix,d670,0.5079,0.5926,0.4444,36,7,7,7,27
0.5,0.0,40,8sis_HL,protenix,d4169,0.5075,0.6296,0.425,40,2,7,7,27
0.5,0.0,40,8sit_HL,protenix,d4035,0.7246,0.8621,0.625,40,2,7,7,29
0.5,0.0,40,8t4a_PR,protenix,d1824,0.5714,1.0,0.4,40,4,7,7,16
0.5,0.0,40,8t4d_OQ,protenix,d150,0.4923,0.64,0.4,40,4,7,7,25
0.5,0.0,40,8tp5_HL,protenix,d307,0.7077,0.8519,0.6053,38,4,7,7,27
0.5,0.0,40,8u44_ST,protenix,d413,0.5352,0.6129,0.475,40,2,7,7,31
0.5,0.0,40,8ulr_HL,protenix,d1746,0.7714,0.9,0.675,40,3,9,9,30
0.5,0.0,40,8ume_HL,protenix,d653,0.6774,0.9545,0.525,40,5,7,7,22
0.5,0.0,40,8xsi_HL,protenix,d8894,0.0,0.0,0.0,0,1,7,7,18
0.5,0.0,40,9azr_HL,protenix,d552,0.7188,0.9583,0.575,40,2,7,7,24
0.5,0.0,40,9azt_HL,protenix,d4,0.5,0.6667,0.4,40,7,7,7,24
0.5,0.0,40,9azv_HL,protenix,d293,0.4688,0.625,0.375,40,5,7,7,24
0.5,0.0,40,9b7g_QP,protenix,d625,0.7879,1.0,0.65,40,1,7,7,26
0.5,0.0,40,9bdg_FI,protenix,d173,0.5507,0.6552,0.475,40,1,7,7,29
0.5,0.0,40,9kkj_HL,protenix,d2220,0.4762,0.6522,0.375,40,1,7,7,23
0.5,0.0,40,9ml9_HL,protenix,d8769,0.125,0.1667,0.1,40,1,7,7,24
0.5,0.0,40,9mqr_DE,protenix,d3538,0.7059,0.8571,0.6,40,5,7,7,28
0.5,0.0,40,9w43_AB,protenix,d51,0.2903,0.4091,0.225,40,2,7,7,22
0.5,0.0,40,9y0a_AB,protenix,d289,0.2414,0.3889,0.175,40,1,7,7,18
0.5,0.0,40,9yc6_HL,protenix,d611,0.4828,0.7778,0.35,40,1,7,7,18
0.5,0.0,40,9zdu_HL,protenix,d11017,0.6364,0.8077,0.525,40,2,7,7,26
0.5,0.0,30,8k3k_D,protenix,d57,0.6786,0.7308,0.6333,30,2,7,7,26
0.5,0.0,30,8k46_I,protenix,d23,0.5818,0.64,0.5333,30,3,7,7,25
0.5,0.0,30,8k5g_HL,protenix,d90,0.5333,0.8,0.4,30,1,7,7,15
0.5,0.0,30,8k5h_HL,protenix,d15,0.4889,0.7333,0.3667,30,1,7,7,15
0.5,0.0,30,8kep_HL,protenix,d37,0.4314,0.5238,0.3667,30,1,7,7,21
0.5,0.0,30,8q7s_C,protenix,d86,0.8,0.88,0.7333,30,1,7,7,25
0.5,0.0,30,8q7s_H,protenix,d55,0.5,0.5385,0.4667,30,1,7,7,26
0.5,0.0,30,8q7s_O,protenix,d35,0.7778,0.875,0.7,30,1,7,7,24
0.5,0.0,30,8siq_HL,protenix,d670,0.4211,0.4444,0.4,30,7,7,7,27
0.5,0.0,30,8sis_HL,protenix,d4169,0.4561,0.4815,0.4333,30,2,7,7,27
0.5,0.0,30,8sit_HL,protenix,d4035,0.678,0.6897,0.6667,30,2,7,7,29
0.5,0.0,30,8t4a_PR,protenix,d1824,0.6522,0.9375,0.5,30,4,7,7,16
0.5,0.0,30,8t4d_OQ,protenix,d150,0.4364,0.48,0.4,30,4,7,7,25
0.5,0.0,30,8tp5_HL,protenix,d307,0.7018,0.7407,0.6667,30,4,7,7,27
0.5,0.0,30,8u44_ST,protenix,d413,0.5246,0.5161,0.5333,30,2,7,7,31
0.5,0.0,30,8ulr_HL,protenix,d1746,0.8333,0.8333,0.8333,30,3,9,9,30
0.5,0.0,30,8ume_HL,protenix,d653,0.6923,0.8182,0.6,30,5,7,7,22
0.5,0.0,30,8xsi_HL,protenix,d8894,0.0,0.0,0.0,0,1,7,7,18
0.5,0.0,30,9azr_HL,protenix,d552,0.8148,0.9167,0.7333,30,2,7,7,24
0.5,0.0,30,9azt_HL,protenix,d4,0.3704,0.4167,0.3333,30,7,7,7,24
0.5,0.0,30,9azv_HL,protenix,d293,0.4074,0.4583,0.3667,30,5,7,7,24
0.5,0.0,30,9b7g_QP,protenix,d625,0.8214,0.8846,0.7667,30,1,7,7,26
0.5,0.0,30,9bdg_FI,protenix,d173,0.5424,0.5517,0.5333,30,1,7,7,29
0.5,0.0,30,9kkj_HL,protenix,d2220,0.3774,0.4348,0.3333,30,1,7,7,23
0.5,0.0,30,9ml9_HL,protenix,d8769,0.0741,0.0833,0.0667,30,1,7,7,24
0.5,0.0,30,9mqr_DE,protenix,d3538,0.6552,0.6786,0.6333,30,5,7,7,28
0.5,0.0,30,9w43_AB,protenix,d51,0.1923,0.2273,0.1667,30,2,7,7,22
0.5,0.0,30,9y0a_AB,protenix,d289,0.25,0.3333,0.2,30,1,7,7,18
0.5,0.0,30,9yc6_HL,protenix,d611,0.5,0.6667,0.4,30,1,7,7,18
0.5,0.0,30,9zdu_HL,protenix,d11017,0.5714,0.6154,0.5333,30,2,7,7,26
0.5,0.5,0,8k3k_D,protenix,d57,0.6849,0.9615,0.5319,47,2,7,7,26
0.5,0.5,0,8k46_I,protenix,d23,0.6102,0.72,0.5294,34,3,7,7,25
0.5,0.5,0,8k5g_HL,protenix,d90,0.52,0.8667,0.3714,35,1,7,7,15
0.5,0.5,0,8k5h_HL,protenix,d15,0.4483,0.8667,0.3023,43,1,7,7,15
0.5,0.5,0,8kep_HL,protenix,d37,0.4156,0.7619,0.2857,56,1,7,7,21
0.5,0.5,0,8q7s_C,protenix,d86,0.8214,0.92,0.7419,31,1,7,7,25
0.5,0.5,0,8q7s_H,protenix,d55,0.4839,0.5769,0.4167,36,1,7,7,26
0.5,0.5,0,8q7s_O,protenix,d35,0.7547,0.8333,0.6897,29,1,7,7,24
0.5,0.5,0,8siq_HL,protenix,d670,0.5079,0.5926,0.4444,36,7,7,7,27
0.5,0.5,0,8sis_HL,protenix,d4169,0.4906,0.963,0.3291,79,2,7,7,27
0.5,0.5,0,8sit_HL,protenix,d4035,0.75,0.8276,0.6857,35,2,7,7,29
0.5,0.5,0,8t4a_PR,protenix,d1824,0.4571,1.0,0.2963,54,4,7,7,16
0.5,0.5,0,8t4d_OQ,protenix,d150,0.4078,0.84,0.2692,78,4,7,7,25
0.5,0.5,0,8tp5_HL,protenix,d307,0.7077,0.8519,0.6053,38,4,7,7,27
0.5,0.5,0,8u44_ST,protenix,d413,0.5278,0.6129,0.4634,41,2,7,7,31
0.5,0.5,0,8ulr_HL,protenix,d1746,0.7606,0.9,0.6585,41,3,9,9,30
