path,target,run,pose,score
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r1/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_1.cif,9b7g_QP,seed0_r1,9b7g_qp_sample_1.cif,0.27226
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r1/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_4.cif,9b7g_QP,seed0_r1,9b7g_qp_sample_4.cif,0.10574
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r2/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_2.cif,9b7g_QP,seed0_r2,9b7g_qp_sample_2.cif,0.11039
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r2/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_1.cif,9b7g_QP,seed0_r2,9b7g_qp_sample_1.cif,0.03963
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r0/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_2.cif,9b7g_QP,seed0_r0,9b7g_qp_sample_2.cif,0.08829
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r1/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_3.cif,9b7g_QP,seed0_r1,9b7g_qp_sample_3.cif,0.09506
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r1/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_2.cif,9b7g_QP,seed0_r1,9b7g_qp_sample_2.cif,0.0541
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r2/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_0.cif,9b7g_QP,seed0_r2,9b7g_qp_sample_0.cif,0.05
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r0/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_4.cif,9b7g_QP,seed0_r0,9b7g_qp_sample_4.cif,0.05905
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r2/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_4.cif,9b7g_QP,seed0_r2,9b7g_qp_sample_4.cif,0.09224
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r0/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_0.cif,9b7g_QP,seed0_r0,9b7g_qp_sample_0.cif,0.04444
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r3/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_2.cif,9b7g_QP,seed0_r3,9b7g_qp_sample_2.cif,0.0625
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r0/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_1.cif,9b7g_QP,seed0_r0,9b7g_qp_sample_1.cif,0.0541
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r3/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_0.cif,9b7g_QP,seed0_r3,9b7g_qp_sample_0.cif,0.07427
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r3/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_3.cif,9b7g_QP,seed0_r3,9b7g_qp_sample_3.cif,0.11431
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r3/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_4.cif,9b7g_QP,seed0_r3,9b7g_qp_sample_4.cif,0.25471
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r0/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_3.cif,9b7g_QP,seed0_r0,9b7g_qp_sample_3.cif,0.11117
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r3/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_1.cif,9b7g_QP,seed0_r3,9b7g_qp_sample_1.cif,0.11286
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r2/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_3.cif,9b7g_QP,seed0_r2,9b7g_qp_sample_3.cif,0.07612
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed0_r1/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_0.cif,9b7g_QP,seed0_r1,9b7g_qp_sample_0.cif,0.08082
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed1_r1/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_4.cif,9b7g_QP,seed1_r1,9b7g_qp_sample_4.cif,0.17425
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed1_r3/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_2.cif,9b7g_QP,seed1_r3,9b7g_qp_sample_2.cif,0.07778
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed1_r3/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_4.cif,9b7g_QP,seed1_r3,9b7g_qp_sample_4.cif,0.14889
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed1_r3/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_0.cif,9b7g_QP,seed1_r3,9b7g_qp_sample_0.cif,0.04799
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed1_r0/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_2.cif,9b7g_QP,seed1_r0,9b7g_qp_sample_2.cif,0.1554
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9b7g_QP/d625/seed1_r3/results/9b7g_qp/seed_0/predictions/9b7g_qp_sample_3.cif,9b7g_QP,seed1_r3,9b7g_qp_sample_3.cif,0.04574
