target,model,depth,seed,pose,dockq,recall
8ulr_HL,protenix,d1746,seed0,8ulr_hl_sample_0.cif,0.561,0.7297
8ulr_HL,protenix,d1746,seed0,8ulr_hl_sample_1.cif,0.541,0.6842
8ulr_HL,protenix,d1746,seed0,8ulr_hl_sample_2.cif,0.53,0.7576
8ulr_HL,protenix,d1746,seed0,8ulr_hl_sample_3.cif,0.588,0.7222
8ulr_HL,protenix,d1746,seed0,8ulr_hl_sample_4.cif,0.517,0.7188
8ulr_HL,protenix,d1746,seed1,8ulr_hl_sample_0.cif,0.012,0.2911
8ulr_HL,protenix,d1746,seed1,8ulr_hl_sample_1.cif,0.011,0.2791
8ulr_HL,protenix,d1746,seed1,8ulr_hl_sample_2.cif,0.011,0.2785
8ulr_HL,protenix,d1746,seed1,8ulr_hl_sample_3.cif,0.01,0.2727
8ulr_HL,protenix,d1746,seed1,8ulr_hl_sample_4.cif,0.01,0.2637
8ulr_HL,protenix,d1746,seed2,8ulr_hl_sample_0.cif,0.058,0.1681
8ulr_HL,protenix,d1746,seed2,8ulr_hl_sample_1.cif,0.041,0.1919
8ulr_HL,protenix,d1746,seed2,8ulr_hl_sample_2.cif,0.046,0.1913
8ulr_HL,protenix,d1746,seed2,8ulr_hl_sample_3.cif,0.038,0.1313
8ulr_HL,protenix,d1746,seed2,8ulr_hl_sample_4.cif,0.049,0.2471
8ulr_HL,protenix,d1746,seed3,8ulr_hl_sample_0.cif,0.601,0.7812
8ulr_HL,protenix,d1746,seed3,8ulr_hl_sample_1.cif,0.613,0.65
8ulr_HL,protenix,d1746,seed3,8ulr_hl_sample_2.cif,0.644,0.6923
8ulr_HL,protenix,d1746,seed3,8ulr_hl_sample_3.cif,0.621,0.6136
8ulr_HL,protenix,d1746,seed3,8ulr_hl_sample_4.cif,0.605,0.7
8ulr_HL,protenix,d1746,seed4,8ulr_hl_sample_0.cif,0.593,0.6842
8ulr_HL,protenix,d1746,seed4,8ulr_hl_sample_1.cif,0.569,0.7429
8ulr_HL,protenix,d1746,seed4,8ulr_hl_sample_2.cif,0.551,0.7941
8ulr_HL,protenix,d1746,seed4,8ulr_hl_sample_3.cif,0.611,0.619
8ulr_HL,protenix,d1746,seed4,8ulr_hl_sample_4.cif,0.608,0.7353
8ulr_HL,protenix,d1746,seed5,8ulr_hl_sample_0.cif,0.012,0.3247
8ulr_HL,protenix,d1746,seed5,8ulr_hl_sample_1.cif,0.01,0.2759
8ulr_HL,protenix,d1746,seed5,8ulr_hl_sample_2.cif,0.01,0.2963
8ulr_HL,protenix,d1746,seed5,8ulr_hl_sample_3.cif,0.011,0.2963
8ulr_HL,protenix,d1746,seed5,8ulr_hl_sample_4.cif,0.009,0.0
8ulr_HL,protenix,d1746,seed6,8ulr_hl_sample_0.cif,0.204,0.4127
8ulr_HL,protenix,d1746,seed6,8ulr_hl_sample_1.cif,0.232,0.403
8ulr_HL,protenix,d1746,seed6,8ulr_hl_sample_2.cif,0.218,0.3939
8ulr_HL,protenix,d1746,seed6,8ulr_hl_sample_3.cif,0.204,0.3636
8ulr_HL,protenix,d1746,seed6,8ulr_hl_sample_4.cif,0.198,0.3382
8ulr_HL,protenix,d1746,seed7,8ulr_hl_sample_0.cif,0.534,0.7273
8ulr_HL,protenix,d1746,seed7,8ulr_hl_sample_1.cif,0.522,0.7931
8ulr_HL,protenix,d1746,seed7,8ulr_hl_sample_2.cif,0.535,0.6364
8ulr_HL,protenix,d1746,seed7,8ulr_hl_sample_3.cif,0.554,0.7
8ulr_HL,protenix,d1746,seed7,8ulr_hl_sample_4.cif,0.527,0.6486
