target,model,depth,seed,pose,dockq,recall,overrep,n_contact
9azv_HL,protenix,d293,seed0_r0,9azv_hl_sample_0.cif,0.016,0.0244,0.9512,41
9azv_HL,protenix,d293,seed0_r0,9azv_hl_sample_1.cif,0.012,0.0,0.9722,36
9azv_HL,protenix,d293,seed0_r0,9azv_hl_sample_2.cif,0.06,0.3704,0.9815,54
9azv_HL,protenix,d293,seed0_r0,9azv_hl_sample_3.cif,0.008,0.0222,0.9556,45
9azv_HL,protenix,d293,seed0_r0,9azv_hl_sample_4.cif,0.013,0.0116,0.9535,86
9azv_HL,protenix,d293,seed0_r1,9azv_hl_sample_0.cif,0.01,0.0,1.0,18
9azv_HL,protenix,d293,seed0_r1,9azv_hl_sample_1.cif,0.006,0.0,0.9706,34
9azv_HL,protenix,d293,seed0_r1,9azv_hl_sample_2.cif,0.028,0.5152,0.9697,33
9azv_HL,protenix,d293,seed0_r1,9azv_hl_sample_3.cif,0.06,0.3636,1.0,55
9azv_HL,protenix,d293,seed0_r1,9azv_hl_sample_4.cif,0.012,0.3261,0.9783,46
9azv_HL,protenix,d293,seed0_r2,9azv_hl_sample_0.cif,0.028,0.0,1.0,42
9azv_HL,protenix,d293,seed0_r2,9azv_hl_sample_1.cif,0.023,0.3269,0.9615,52
9azv_HL,protenix,d293,seed0_r2,9azv_hl_sample_2.cif,0.019,0.3,1.0,30
9azv_HL,protenix,d293,seed0_r2,9azv_hl_sample_3.cif,0.041,0.2581,0.9677,62
9azv_HL,protenix,d293,seed0_r2,9azv_hl_sample_4.cif,0.005,0.0,0.9737,38
9azv_HL,protenix,d293,seed0_r3,9azv_hl_sample_0.cif,0.011,0.0172,0.9483,58
9azv_HL,protenix,d293,seed0_r3,9azv_hl_sample_1.cif,0.048,0.3091,1.0,55
9azv_HL,protenix,d293,seed0_r3,9azv_hl_sample_2.cif,0.007,0.3962,0.9811,53
9azv_HL,protenix,d293,seed0_r3,9azv_hl_sample_3.cif,0.024,0.3396,0.9623,53
9azv_HL,protenix,d293,seed0_r3,9azv_hl_sample_4.cif,0.005,0.0,0.9767,43
9azv_HL,protenix,d293,seed1_r0,9azv_hl_sample_0.cif,0.005,0.0714,0.9762,42
9azv_HL,protenix,d293,seed1_r0,9azv_hl_sample_1.cif,0.008,0.0208,0.9792,48
9azv_HL,protenix,d293,seed1_r0,9azv_hl_sample_2.cif,0.014,0.0476,0.9524,42
9azv_HL,protenix,d293,seed1_r0,9azv_hl_sample_3.cif,0.019,0.0,0.9697,33
9azv_HL,protenix,d293,seed1_r0,9azv_hl_sample_4.cif,0.019,0.0435,0.971,69
9azv_HL,protenix,d293,seed1_r1,9azv_hl_sample_0.cif,0.017,0.0,0.9231,26
9azv_HL,protenix,d293,seed1_r1,9azv_hl_sample_1.cif,0.013,0.122,0.9024,41
9azv_HL,protenix,d293,seed1_r1,9azv_hl_sample_2.cif,0.006,0.0,0.9348,46
9azv_HL,protenix,d293,seed1_r1,9azv_hl_sample_3.cif,0.017,0.0303,0.9697,66
9azv_HL,protenix,d293,seed1_r1,9azv_hl_sample_4.cif,0.007,0.0,0.9302,43
9azv_HL,protenix,d293,seed1_r2,9azv_hl_sample_0.cif,0.009,0.0303,0.9242,66
9azv_HL,protenix,d293,seed1_r2,9azv_hl_sample_1.cif,0.013,0.058,0.971,69
9azv_HL,protenix,d293,seed1_r2,9azv_hl_sample_2.cif,0.007,0.4419,0.9535,43
9azv_HL,protenix,d293,seed1_r2,9azv_hl_sample_3.cif,0.005,0.05,0.95,40
9azv_HL,protenix,d293,seed1_r2,9azv_hl_sample_4.cif,0.014,0.0,0.8519,27
9azv_HL,protenix,d293,seed1_r3,9azv_hl_sample_0.cif,0.006,0.0149,0.9403,67
9azv_HL,protenix,d293,seed1_r3,9azv_hl_sample_1.cif,0.008,0.0179,0.9821,56
9azv_HL,protenix,d293,seed1_r3,9azv_hl_sample_2.cif,0.013,0.0476,0.9524,42
9azv_HL,protenix,d293,seed1_r3,9azv_hl_sample_3.cif,0.017,0.0204,0.9388,49
9azv_HL,protenix,d293,seed1_r3,9azv_hl_sample_4.cif,0.018,0.0889,1.0,45
9azv_HL,protenix,d293,seed2_r0,9azv_hl_sample_0.cif,0.029,0.3333,0.9412,51
9azv_HL,protenix,d293,seed2_r0,9azv_hl_sample_1.cif,0.006,0.0,0.9787,47
9azv_HL,protenix,d293,seed2_r0,9azv_hl_sample_2.cif,0.008,0.02,0.98,50
9azv_HL,protenix,d293,seed2_r0,9azv_hl_sample_3.cif,0.006,0.0263,0.9474,38
9azv_HL,protenix,d293,seed2_r0,9azv_hl_sample_4.cif,0.012,0.2237,0.9737,76
9azv_HL,protenix,d293,seed2_r1,9azv_hl_sample_0.cif,0.016,0.0,0.9688,32
9azv_HL,protenix,d293,seed2_r1,9azv_hl_sample_1.cif,0.017,0.025,0.95,40
9azv_HL,protenix,d293,seed2_r1,9azv_hl_sample_2.cif,0.006,0.0,1.0,25
9azv_HL,protenix,d293,seed2_r1,9azv_hl_sample_3.cif,0.023,0.383,0.9787,47
9azv_HL,protenix,d293,seed2_r1,9azv_hl_sample_4.cif,0.019,0.25,0.9375,64
9azv_HL,protenix,d293,seed2_r2,9azv_hl_sample_0.cif,0.007,0.0185,0.9815,54
9azv_HL,protenix,d293,seed2_r2,9azv_hl_sample_1.cif,0.01,0.0167,1.0,60
9azv_HL,protenix,d293,seed2_r2,9azv_hl_sample_2.cif,0.009,0.5,1.0,36
9azv_HL,protenix,d293,seed2_r2,9azv_hl_sample_3.cif,0.013,0.0217,0.9565,46
9azv_HL,protenix,d293,seed2_r2,9azv_hl_sample_4.cif,0.015,0.0,0.9512,41
9azv_HL,protenix,d293,seed2_r3,9azv_hl_sample_0.cif,0.004,0.0,0.9,20
9azv_HL,protenix,d293,seed2_r3,9azv_hl_sample_1.cif,0.004,0.0,0.913,23
9azv_HL,protenix,d293,seed2_r3,9azv_hl_sample_2.cif,0.019,0.0769,0.9487,39
9azv_HL,protenix,d293,seed2_r3,9azv_hl_sample_3.cif,0.007,0.0167,0.9667,60
9azv_HL,protenix,d293,seed2_r3,9azv_hl_sample_4.cif,0.017,0.04,0.94,50
9azv_HL,protenix,d293,seed3_r0,9azv_hl_sample_0.cif,0.01,0.037,1.0,27
9azv_HL,protenix,d293,seed3_r0,9azv_hl_sample_1.cif,0.009,0.0426,0.9787,47
9azv_HL,protenix,d293,seed3_r0,9azv_hl_sample_2.cif,0.007,0.0145,0.9565,69
9azv_HL,protenix,d293,seed3_r0,9azv_hl_sample_3.cif,0.01,0.0189,0.9623,53
9azv_HL,protenix,d293,seed3_r0,9azv_hl_sample_4.cif,0.016,0.0,1.0,50
9azv_HL,protenix,d293,seed3_r1,9azv_hl_sample_0.cif,0.015,0.0,0.9545,22
9azv_HL,protenix,d293,seed3_r1,9azv_hl_sample_1.cif,0.015,0.0,0.9583,24
9azv_HL,protenix,d293,seed3_r1,9azv_hl_sample_2.cif,0.011,0.0,0.9474,19
9azv_HL,protenix,d293,seed3_r1,9azv_hl_sample_3.cif,0.021,0.0,0.96,25
9azv_HL,protenix,d293,seed3_r1,9azv_hl_sample_4.cif,0.009,0.027,0.973,37
9azv_HL,protenix,d293,seed3_r2,9azv_hl_sample_0.cif,0.006,0.0,0.9565,23
9azv_HL,protenix,d293,seed3_r2,9azv_hl_sample_1.cif,0.019,0.0,0.9474,38
9azv_HL,protenix,d293,seed3_r2,9azv_hl_sample_2.cif,0.022,0.0,0.96,25
9azv_HL,protenix,d293,seed3_r2,9azv_hl_sample_3.cif,0.017,0.0244,0.9268,41
9azv_HL,protenix,d293,seed3_r2,9azv_hl_sample_4.cif,0.011,0.0426,0.9574,47
9azv_HL,protenix,d293,seed3_r3,9azv_hl_sample_0.cif,0.005,0.0,0.9545,22
9azv_HL,protenix,d293,seed3_r3,9azv_hl_sample_1.cif,0.022,0.0,0.9167,24
9azv_HL,protenix,d293,seed3_r3,9azv_hl_sample_2.cif,0.018,0.0227,0.9318,44
9azv_HL,protenix,d293,seed3_r3,9azv_hl_sample_3.cif,0.005,0.0,0.9565,46
9azv_HL,protenix,d293,seed3_r3,9azv_hl_sample_4.cif,0.017,0.027,0.973,37
9azv_HL,protenix,d293,seed4_r0,9azv_hl_sample_0.cif,0.014,0.4348,1.0,46
9azv_HL,protenix,d293,seed4_r0,9azv_hl_sample_1.cif,0.019,0.0789,0.9474,38
9azv_HL,protenix,d293,seed4_r0,9azv_hl_sample_2.cif,0.005,0.0833,0.9722,36
9azv_HL,protenix,d293,seed4_r0,9azv_hl_sample_3.cif,0.005,0.0,1.0,38
9azv_HL,protenix,d293,seed4_r0,9azv_hl_sample_4.cif,0.019,0.75,1.0,28
9azv_HL,protenix,d293,seed4_r1,9azv_hl_sample_0.cif,0.005,0.2353,0.9706,68
9azv_HL,protenix,d293,seed4_r1,9azv_hl_sample_1.cif,0.006,0.02,1.0,50
