path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8xsi_HL/d8894/seed0_r1/results/8xsi_hl/seed_0/predictions/8xsi_hl_sample_1.cif,8xsi_HL,seed0_r1,8xsi_hl_sample_1.cif,0.11017
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8xsi_HL/d8894/seed0_r1/results/8xsi_hl/seed_0/predictions/8xsi_hl_sample_4.cif,8xsi_HL,seed0_r1,8xsi_hl_sample_4.cif,0.27374
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8xsi_HL/d8894/seed0_r2/results/8xsi_hl/seed_0/predictions/8xsi_hl_sample_2.cif,8xsi_HL,seed0_r2,8xsi_hl_sample_2.cif,0.22841
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8xsi_HL/d8894/seed0_r2/results/8xsi_hl/seed_0/predictions/8xsi_hl_sample_1.cif,8xsi_HL,seed0_r2,8xsi_hl_sample_1.cif,0.25341
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8xsi_HL/d8894/seed0_r0/results/8xsi_hl/seed_0/predictions/8xsi_hl_sample_2.cif,8xsi_HL,seed0_r0,8xsi_hl_sample_2.cif,0.09017
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8xsi_HL/d8894/seed0_r1/results/8xsi_hl/seed_0/predictions/8xsi_hl_sample_3.cif,8xsi_HL,seed0_r1,8xsi_hl_sample_3.cif,0.03821
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8xsi_HL/d8894/seed0_r1/results/8xsi_hl/seed_0/predictions/8xsi_hl_sample_2.cif,8xsi_HL,seed0_r1,8xsi_hl_sample_2.cif,0.16681
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8xsi_HL/d8894/seed0_r2/results/8xsi_hl/seed_0/predictions/8xsi_hl_sample_0.cif,8xsi_HL,seed0_r2,8xsi_hl_sample_0.cif,0.09952
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8xsi_HL/d8894/seed0_r0/results/8xsi_hl/seed_0/predictions/8xsi_hl_sample_4.cif,8xsi_HL,seed0_r0,8xsi_hl_sample_4.cif,0.11001
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8xsi_HL/d8894/seed0_r2/results/8xsi_hl/seed_0/predictions/8xsi_hl_sample_4.cif,8xsi_HL,seed0_r2,8xsi_hl_sample_4.cif,0.16213
