target,selector,cand,n_comp,n_res,true_covered,precision,f1,from_full_msa
8k3k_D,abepi_max,1,5,22,0.0385,0.0455,0.0417,True
8k46_I,abepi_max,1,6,33,0.08,0.0606,0.069,True
8k5h_HL,abepi_max,1,6,37,0.8,0.3243,0.4615,True
8q7s_C,abepi_max,1,6,26,0.8,0.7692,0.7843,True
8q7s_H,abepi_max,1,5,32,0.5769,0.4688,0.5173,False
8q7s_O,abepi_max,2,1,44,0.75,0.4091,0.5294,False
8siq_HL,abepi_max,7,1,35,0.3704,0.2857,0.3226,True
8sis_HL,abepi_max,2,2,42,0.8519,0.5476,0.6667,False
8sit_HL,abepi_max,1,4,27,0.0345,0.037,0.0357,True
8t4a_PR,abepi_max,7,1,70,0.8125,0.1857,0.3023,True
8t4d_OQ,abepi_max,1,1,59,0.72,0.3051,0.4286,False
8tp5_HL,abepi_max,2,1,33,0.8519,0.697,0.7667,False
8u44_ST,abepi_max,1,3,32,0.5484,0.5312,0.5397,True
8ulr_HL,abepi_max,2,3,40,0.9,0.675,0.7714,False
8ume_HL,abepi_max,1,2,23,0.7273,0.6957,0.7111,False
8xsi_HL,abepi_max,1,5,26,0.0,0.0,0.0,True
9azr_HL,abepi_max,1,5,26,0.75,0.6923,0.72,True
9azt_HL,abepi_max,7,1,45,0.0417,0.0222,0.029,True
9azv_HL,abepi_max,2,2,42,0.0417,0.0238,0.0303,False
9b7g_QP,abepi_max,1,6,30,0.9231,0.8,0.8572,True
9bdg_FI,abepi_max,1,5,28,0.1379,0.1429,0.1404,True
9mqr_DE,abepi_max,1,5,23,0.0,0.0,0.0,False
9w43_AB,abepi_max,2,1,16,0.0455,0.0625,0.0527,False
