path,target,run,pose,score
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r1/results/8q7s_h/seed_0/predictions/8q7s_h_sample_1.cif,8q7s_H,seed0_r1,8q7s_h_sample_1.cif,0.19743
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r1/results/8q7s_h/seed_0/predictions/8q7s_h_sample_4.cif,8q7s_H,seed0_r1,8q7s_h_sample_4.cif,0.02472
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r2/results/8q7s_h/seed_0/predictions/8q7s_h_sample_2.cif,8q7s_H,seed0_r2,8q7s_h_sample_2.cif,0.14134
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r2/results/8q7s_h/seed_0/predictions/8q7s_h_sample_1.cif,8q7s_H,seed0_r2,8q7s_h_sample_1.cif,0.15717
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r0/results/8q7s_h/seed_0/predictions/8q7s_h_sample_2.cif,8q7s_H,seed0_r0,8q7s_h_sample_2.cif,0.04506
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r1/results/8q7s_h/seed_0/predictions/8q7s_h_sample_3.cif,8q7s_H,seed0_r1,8q7s_h_sample_3.cif,0.02421
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r1/results/8q7s_h/seed_0/predictions/8q7s_h_sample_2.cif,8q7s_H,seed0_r1,8q7s_h_sample_2.cif,0.03065
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r2/results/8q7s_h/seed_0/predictions/8q7s_h_sample_0.cif,8q7s_H,seed0_r2,8q7s_h_sample_0.cif,0.15958
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r0/results/8q7s_h/seed_0/predictions/8q7s_h_sample_4.cif,8q7s_H,seed0_r0,8q7s_h_sample_4.cif,0.02088
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r2/results/8q7s_h/seed_0/predictions/8q7s_h_sample_4.cif,8q7s_H,seed0_r2,8q7s_h_sample_4.cif,0.02366
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r0/results/8q7s_h/seed_0/predictions/8q7s_h_sample_0.cif,8q7s_H,seed0_r0,8q7s_h_sample_0.cif,0.04682
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r3/results/8q7s_h/seed_0/predictions/8q7s_h_sample_2.cif,8q7s_H,seed0_r3,8q7s_h_sample_2.cif,0.06641
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r0/results/8q7s_h/seed_0/predictions/8q7s_h_sample_1.cif,8q7s_H,seed0_r0,8q7s_h_sample_1.cif,0.16488
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r3/results/8q7s_h/seed_0/predictions/8q7s_h_sample_0.cif,8q7s_H,seed0_r3,8q7s_h_sample_0.cif,0.02389
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r3/results/8q7s_h/seed_0/predictions/8q7s_h_sample_3.cif,8q7s_H,seed0_r3,8q7s_h_sample_3.cif,0.02211
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r3/results/8q7s_h/seed_0/predictions/8q7s_h_sample_4.cif,8q7s_H,seed0_r3,8q7s_h_sample_4.cif,0.02124
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r0/results/8q7s_h/seed_0/predictions/8q7s_h_sample_3.cif,8q7s_H,seed0_r0,8q7s_h_sample_3.cif,0.04707
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r3/results/8q7s_h/seed_0/predictions/8q7s_h_sample_1.cif,8q7s_H,seed0_r3,8q7s_h_sample_1.cif,0.0473
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r2/results/8q7s_h/seed_0/predictions/8q7s_h_sample_3.cif,8q7s_H,seed0_r2,8q7s_h_sample_3.cif,0.02927
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed0_r1/results/8q7s_h/seed_0/predictions/8q7s_h_sample_0.cif,8q7s_H,seed0_r1,8q7s_h_sample_0.cif,0.07041
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r1/results/8q7s_h/seed_0/predictions/8q7s_h_sample_4.cif,8q7s_H,seed1_r1,8q7s_h_sample_4.cif,0.04587
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r3/results/8q7s_h/seed_0/predictions/8q7s_h_sample_2.cif,8q7s_H,seed1_r3,8q7s_h_sample_2.cif,0.08059
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r3/results/8q7s_h/seed_0/predictions/8q7s_h_sample_4.cif,8q7s_H,seed1_r3,8q7s_h_sample_4.cif,0.05822
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r3/results/8q7s_h/seed_0/predictions/8q7s_h_sample_0.cif,8q7s_H,seed1_r3,8q7s_h_sample_0.cif,0.05147
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r0/results/8q7s_h/seed_0/predictions/8q7s_h_sample_2.cif,8q7s_H,seed1_r0,8q7s_h_sample_2.cif,0.1376
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r3/results/8q7s_h/seed_0/predictions/8q7s_h_sample_3.cif,8q7s_H,seed1_r3,8q7s_h_sample_3.cif,0.03489
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r1/results/8q7s_h/seed_0/predictions/8q7s_h_sample_2.cif,8q7s_H,seed1_r1,8q7s_h_sample_2.cif,0.05188
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r2/results/8q7s_h/seed_0/predictions/8q7s_h_sample_4.cif,8q7s_H,seed1_r2,8q7s_h_sample_4.cif,0.02522
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r0/results/8q7s_h/seed_0/predictions/8q7s_h_sample_1.cif,8q7s_H,seed1_r0,8q7s_h_sample_1.cif,0.06764
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r3/results/8q7s_h/seed_0/predictions/8q7s_h_sample_1.cif,8q7s_H,seed1_r3,8q7s_h_sample_1.cif,0.0592
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r2/results/8q7s_h/seed_0/predictions/8q7s_h_sample_3.cif,8q7s_H,seed1_r2,8q7s_h_sample_3.cif,0.06917
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r2/results/8q7s_h/seed_0/predictions/8q7s_h_sample_2.cif,8q7s_H,seed1_r2,8q7s_h_sample_2.cif,0.04269
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r1/results/8q7s_h/seed_0/predictions/8q7s_h_sample_1.cif,8q7s_H,seed1_r1,8q7s_h_sample_1.cif,0.03071
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r0/results/8q7s_h/seed_0/predictions/8q7s_h_sample_4.cif,8q7s_H,seed1_r0,8q7s_h_sample_4.cif,0.04814
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r2/results/8q7s_h/seed_0/predictions/8q7s_h_sample_0.cif,8q7s_H,seed1_r2,8q7s_h_sample_0.cif,0.11576
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r1/results/8q7s_h/seed_0/predictions/8q7s_h_sample_3.cif,8q7s_H,seed1_r1,8q7s_h_sample_3.cif,0.06394
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r0/results/8q7s_h/seed_0/predictions/8q7s_h_sample_3.cif,8q7s_H,seed1_r0,8q7s_h_sample_3.cif,0.02867
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r2/results/8q7s_h/seed_0/predictions/8q7s_h_sample_1.cif,8q7s_H,seed1_r2,8q7s_h_sample_1.cif,0.04093
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r1/results/8q7s_h/seed_0/predictions/8q7s_h_sample_0.cif,8q7s_H,seed1_r1,8q7s_h_sample_0.cif,0.03249
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed1_r0/results/8q7s_h/seed_0/predictions/8q7s_h_sample_0.cif,8q7s_H,seed1_r0,8q7s_h_sample_0.cif,0.08131
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed2_r2/results/8q7s_h/seed_0/predictions/8q7s_h_sample_2.cif,8q7s_H,seed2_r2,8q7s_h_sample_2.cif,0.03433
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed2_r0/results/8q7s_h/seed_0/predictions/8q7s_h_sample_1.cif,8q7s_H,seed2_r0,8q7s_h_sample_1.cif,0.06006
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed2_r1/results/8q7s_h/seed_0/predictions/8q7s_h_sample_1.cif,8q7s_H,seed2_r1,8q7s_h_sample_1.cif,0.09952
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/8q7s_H/d55/seed2_r1/results/8q7s_h/seed_0/predictions/8q7s_h_sample_4.cif,8q7s_H,seed2_r1,8q7s_h_sample_4.cif,0.05385
