path,target,run,pose,score
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r1/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_1.cif,9bdg_FI,seed0_r1,9bdg_fi_sample_1.cif,0.1181
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r1/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_4.cif,9bdg_FI,seed0_r1,9bdg_fi_sample_4.cif,0.02856
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r2/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_2.cif,9bdg_FI,seed0_r2,9bdg_fi_sample_2.cif,0.16099
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r2/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_1.cif,9bdg_FI,seed0_r2,9bdg_fi_sample_1.cif,0.09714
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r0/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_2.cif,9bdg_FI,seed0_r0,9bdg_fi_sample_2.cif,0.17133
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r1/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_3.cif,9bdg_FI,seed0_r1,9bdg_fi_sample_3.cif,0.15369
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r1/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_2.cif,9bdg_FI,seed0_r1,9bdg_fi_sample_2.cif,0.05881
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r2/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_0.cif,9bdg_FI,seed0_r2,9bdg_fi_sample_0.cif,0.07443
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r0/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_4.cif,9bdg_FI,seed0_r0,9bdg_fi_sample_4.cif,0.1259
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r2/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_4.cif,9bdg_FI,seed0_r2,9bdg_fi_sample_4.cif,0.20188
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r0/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_0.cif,9bdg_FI,seed0_r0,9bdg_fi_sample_0.cif,0.10819
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r3/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_2.cif,9bdg_FI,seed0_r3,9bdg_fi_sample_2.cif,0.04909
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r0/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_1.cif,9bdg_FI,seed0_r0,9bdg_fi_sample_1.cif,0.03042
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r3/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_0.cif,9bdg_FI,seed0_r3,9bdg_fi_sample_0.cif,0.26887
/mnt/data/admuser/msadepth/compreps/seedrep_cand/protenix/9bdg_FI/d173/seed0_r3/results/9bdg_fi/seed_0/predictions/9bdg_fi_sample_3.cif,9bdg_FI,seed0_r3,9bdg_fi_sample_3.cif,0.19673
