path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r1/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_1.cif,8t4a_PR,seed0_r1,8t4a_pr_sample_1.cif,0.04815
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r1/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_4.cif,8t4a_PR,seed0_r1,8t4a_pr_sample_4.cif,0.08969
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r2/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_2.cif,8t4a_PR,seed0_r2,8t4a_pr_sample_2.cif,0.02749
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r2/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_1.cif,8t4a_PR,seed0_r2,8t4a_pr_sample_1.cif,0.05851
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r0/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_2.cif,8t4a_PR,seed0_r0,8t4a_pr_sample_2.cif,0.0687
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r1/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_3.cif,8t4a_PR,seed0_r1,8t4a_pr_sample_3.cif,0.02318
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r1/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_2.cif,8t4a_PR,seed0_r1,8t4a_pr_sample_2.cif,0.02543
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r2/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_0.cif,8t4a_PR,seed0_r2,8t4a_pr_sample_0.cif,0.11739
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r0/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_4.cif,8t4a_PR,seed0_r0,8t4a_pr_sample_4.cif,0.02679
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r2/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_4.cif,8t4a_PR,seed0_r2,8t4a_pr_sample_4.cif,0.02292
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r0/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_0.cif,8t4a_PR,seed0_r0,8t4a_pr_sample_0.cif,0.04949
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r3/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_2.cif,8t4a_PR,seed0_r3,8t4a_pr_sample_2.cif,0.02568
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r0/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_1.cif,8t4a_PR,seed0_r0,8t4a_pr_sample_1.cif,0.05335
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r3/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_0.cif,8t4a_PR,seed0_r3,8t4a_pr_sample_0.cif,0.03598
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r3/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_3.cif,8t4a_PR,seed0_r3,8t4a_pr_sample_3.cif,0.02501
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r3/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_4.cif,8t4a_PR,seed0_r3,8t4a_pr_sample_4.cif,0.03035
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r0/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_3.cif,8t4a_PR,seed0_r0,8t4a_pr_sample_3.cif,0.07111
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r3/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_1.cif,8t4a_PR,seed0_r3,8t4a_pr_sample_1.cif,0.06291
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r2/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_3.cif,8t4a_PR,seed0_r2,8t4a_pr_sample_3.cif,0.05465
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed0_r1/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_0.cif,8t4a_PR,seed0_r1,8t4a_pr_sample_0.cif,0.04398
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed1_r1/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_4.cif,8t4a_PR,seed1_r1,8t4a_pr_sample_4.cif,0.02829
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed1_r3/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_2.cif,8t4a_PR,seed1_r3,8t4a_pr_sample_2.cif,0.02644
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8t4a_PR/d1824/seed1_r3/results/8t4a_pr/seed_0/predictions/8t4a_pr_sample_4.cif,8t4a_PR,seed1_r3,8t4a_pr_sample_4.cif,0.02986
